pmid,pmcid,title,journal,insert_time
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58
16732891,PMC1488855,Bartonella quintana coinfection with Mycobacterium avium complex and CMV in an AIDS patient: case presentation.,BMC Infect Dis,2024-02-14-09-12-58
17953088,PMC2828084,Genetic diversity of Bartonella henselae in human infection detected with multispacer typing.,Emerg Infect Dis,2024-02-14-09-12-58
18403608,PMC2329782,Emerging pathogens: challenges and successes of molecular diagnostics.,J Mol Diagn,2024-02-14-09-12-58
18452613,PMC2390557,"Seroprevalence of Bartonella spp. infection in HIV patients in Catalonia, Spain.",BMC Infect Dis,2024-02-14-09-12-58
21489243,PMC3083372,Adhesion and host cell modulation: critical pathogenicity determinants of Bartonella henselae.,Parasit Vectors,2024-02-14-09-12-58
21637717,PMC3103534,Differential effects of Bartonella henselae on human and feline macro- and micro-vascular endothelial cells.,PLoS One,2024-02-14-09-12-58
23563383,PMC3657863,Strategy for identification & characterization of Bartonella henselae with conventional & molecular methods.,Indian J Med Res,2024-02-14-09-12-58
23587194,PMC3637281,Bartonella henselae bacteremia in a mother and son potentially associated with tick exposure.,Parasit Vectors,2024-02-14-09-12-58
23710386,PMC3655512,Bacillary Angiomatosis and Bacteremia due to Bartonella quintana in a Patient with Chronic Lymphocytic Leukemia.,Case Rep Infect Dis,2024-02-14-09-12-58
24470916,PMC3892654,Concomitant cat scratch disease and squamous cell carcinoma in a cardiac transplant.,Infect Dis Rep,2024-02-14-09-12-58
24751237,PMC4012801,"Bartonella quintana in body lice from scalp hair of homeless persons, France.",Emerg Infect Dis,2024-02-14-09-12-58
25187668,PMC4155541,Bacillary angiomatosis.,Am J Trop Med Hyg,2024-02-14-09-12-58
26392666,PMC4555912,Multiple osteolytic lesions in a 14-year-old boy with HIV disease.,Indian J Sex Transm Dis AIDS,2024-02-14-09-12-58
26538736,PMC4601457,Bacillary Angiomatosis in Immunocompetent Patient with Atypical Manifestations.,Indian J Dermatol,2024-02-14-09-12-58
26999057,PMC4801220,Risk Factors for Bartonella species Infection in Blood Donors from Southeast Brazil.,PLoS Negl Trop Dis,2024-02-14-09-12-58
27051835,PMC4809473,Successful treatment of bacillary angiomatosis with oral doxycycline in an HIV-infected child with skin lesions mimicking Kaposi sarcoma.,JAAD Case Rep,2024-02-14-09-12-58
27375211,PMC7106389,"The centenary of the discovery of trench fever, an emerging infectious disease of World War 1.",Lancet Infect Dis,2024-02-14-09-12-58
27428207,PMC4956801,Bacillary angiomatosis presenting with facial tumor and multiple abscesses: A case report.,Medicine (Baltimore),2024-02-14-09-12-58
27752473,PMC5066186,Bacillary angiomatosis presenting with polymorphic skin lesions.,IDCases,2024-02-14-09-12-58
27790856,PMC5387305,A family of genus-specific RNAs in tandem with DNA-binding proteins control expression of the badA major virulence factor gene in Bartonella henselae.,Microbiologyopen,2024-02-14-09-12-58
27981217,PMC5148776,Multifocal eruptive cutaneous epithelioid angiomatous nodules.,JAAD Case Rep,2024-02-14-09-12-58
28099606,PMC5193195,Bacillary angiomatosis with bone invasion.,An Bras Dermatol,2024-02-14-09-12-58
28902296,PMC5574626,An unusual case of bacillary angiomatosis in the oral cavity of an AIDS patient who had no concomitant tegumentary lesions - case report and review.,Rev Inst Med Trop Sao Paulo,2024-02-14-09-12-58
29854648,PMC5956875,Bacillary Angiomatosis in an Immunocompetent Individual.,Indian Dermatol Online J,2024-02-14-09-12-58
30068900,PMC6083936,Cat-Scratch Disease in an AIDS Patient Presenting with Generalized Lymphadenopathy: An Unusual Presentation with Delayed Diagnosis.,Am J Case Rep,2024-02-14-09-12-58
30514361,PMC6280416,Bartonella infections in cats and dogs including zoonotic aspects.,Parasit Vectors,2024-02-14-09-12-58
31192986,PMC6510958,Disseminated skin nodules in a migrant patient.,JAAD Case Rep,2024-02-14-09-12-58
31780437,PMC6857551,Cutaneous manifestations of bartonellosis.,An Bras Dermatol,2024-02-14-09-12-58
31828013,PMC6889470,Bacillary angiomatosis in a solid organ transplant recipient.,IDCases,2024-02-14-09-12-58
33133853,PMC7593209,Recurrent Gastrointestinal Bleeding in an HIV-Positive Patient: A Case Report.,Cureus,2024-02-14-09-12-58
33802018,PMC7998106,"Bartonella henselae Detected in Malignant Melanoma, a Preliminary Study.",Pathogens,2024-02-14-09-12-58
34394972,PMC8335775,Giant bacillary angiomatosis.,South Afr J HIV Med,2024-02-14-09-12-58
34722156,PMC8536538,Bartonella endocarditis in patients with right ventricle-to-pulmonary artery conduit: 2 case reports and literature review.,IDCases,2024-02-14-09-12-58
34853045,PMC8638125,"Rare, disseminated Kaposi sarcoma in advanced HIV with high-burden pulmonary and skeletal involvement.",BMJ Case Rep,2024-02-14-09-12-58
35024220,PMC8648418,Dermoscopy of Bacillary Angiomatosis: Utility in Diagnosis and Therapeutic Control.,Dermatol Pract Concept,2024-02-14-09-12-58
35197960,PMC8859334,Long-Read Sequencing Reveals Genetic Adaptation of Bartonella Adhesin A Among Different Bartonella henselae Isolates.,Front Microbiol,2024-02-14-09-12-58
35736664,PMC9295814,Detection of Bartonella vinsonii subsp. berkhoffii in an HIV patient using metagenomic Next-Generation Sequencing.,Emerg Microbes Infect,2024-02-14-09-12-58
35976332,PMC9405931,Cutaneous lesions of bacillary angiomatosis.,Rev Soc Bras Med Trop,2024-02-14-09-12-58
36262580,PMC9574148,Bacillary Angiomatosis in an Immunocompetent Patient: An Unusual Occurrence.,Indian Dermatol Online J,2024-02-14-09-12-58
36568647,PMC9759493,Recent advances in sensitive surface-enhanced Raman scattering-based lateral flow assay platforms for point-of-care diagnostics of infectious diseases.,Sens Actuators B Chem,2024-02-14-09-12-58
36998856,PMC10043696,Bacillary Angiomatosis Involving Tongue in a Patient with Myelofibrosis.,Indian J Dermatol,2024-02-14-09-12-58
37123686,PMC10147494,Bacillary Angiomatosis Mimicking Pyogenic Granuloma.,Cureus,2024-02-14-09-12-58
37496761,PMC10368516,A Comprehensive Review on HIV-Associated Dermatologic Manifestations: From Epidemiology to Clinical Management.,Int J Microbiol,2024-02-14-09-12-58
37772236,PMC10532035,Cat Scratch Disease: An Unusual Case of Right Inguinal Lymphadenitis Due to Bartonella henselae.,Cureus,2024-02-14-09-12-58
38192503,PMC10772291,Is Bartonella sp. infection relevant in hematological malignancies in HIV-negative patients? A literature review.,Leuk Res Rep,2024-02-14-09-12-58
8903149,PMC2626823,"Unraveling mysteries associated with cat-scratch disease, bacillary angiomatosis, and related syndromes.",Emerg Infect Dis,2024-02-14-09-12-58
8903225,PMC2626790,Molecular approaches to the identification of unculturable infectious agents.,Emerg Infect Dis,2024-02-14-09-12-58
