pmid,pmcid,title,journal,insert_time,has_targz,disease
21965855,PMC3179010,Hemosiderotic clear-cell acanthoma: a pigmented mimicker.,Indian J Dermatol,2023-12-17-22-07-53,True,NotMatch
23539008,PMC3699953,"Clear cell acanthoma of the areola and nipple: clinical, histopathological, and immunohistochemical features of two Brazilian cases.",An Bras Dermatol,2023-12-17-22-07-53,True,Match
23716849,PMC3657259,A case of multiple facial clear cell acanthomas successfully treated by cryotherapy.,Indian J Dermatol,2023-12-17-22-07-53,True,Match
24626678,PMC3938384,Clear cell acanthoma of the nipple: another report from Italy.,An Bras Dermatol,2023-12-17-22-07-53,True,Match
25184922,PMC4155961,Topical calcipotriol as a new therapeutic option for the treatment of clear cell acanthoma.,An Bras Dermatol,2023-12-17-22-07-53,True,Match
26595821,PMC4894790,GATA3 Expression in Normal Skin and in Benign and Malignant Epidermal and Cutaneous Adnexal Neoplasms.,Am J Dermatopathol,2023-12-17-22-07-53,True,NotMatch
29267438,PMC5726669,Bilateral clear cell acanthoma of the areola and nipple: good response to topical corticosteroids.,An Bras Dermatol,2023-12-17-22-07-53,True,Match
29267474,PMC5726705,"""String of pearls pattern"": report of three cases of non clear-cell acanthoma.",An Bras Dermatol,2023-12-17-22-07-53,True,NotMatch
29692468,PMC5903056,Multiple Eruptive Clear Cell Acanthoma.,Indian J Dermatol,2023-12-17-22-07-53,True,Match
29924237,PMC6001098,Dermoscopic features of clear cell acanthoma.,An Bras Dermatol,2023-12-17-22-07-53,True,Match
30116672,PMC6092078,Giant clear cell acanthoma with dermatoscopic white lines.,Dermatol Pract Concept,2023-12-17-22-07-53,True,Match
31123619,PMC6421483,Clear Cell Acanthoma with Atypical Location -Case Report and Literature Review.,Curr Health Sci J,2023-12-17-22-07-53,True,Match
32792892,PMC7394162,The complexity of clear cell acanthoma diagnosis based on the literature review.,Postepy Dermatol Alergol,2023-12-17-22-07-53,True,Match
32854184,PMC7583597,Clear Cell Acanthoma: A Review of Clinical and Histologic Variants.,Dermatopathology (Basel),2023-12-17-22-07-53,True,Match
32885010,PMC7452362,Polarizing-specific white lines in a clear cell acanthoma.,JAAD Case Rep,2023-12-17-22-07-53,True,Match
32985678,PMC9274922,"Soft, Erythematous Nodule of the Ankle with a String of Pearls Vascular Pattern: A Quiz.",Acta Derm Venereol,2023-12-17-22-07-53,True,NotMatch
34006397,PMC8245719,Hidden clear cell acanthoma with uncommon dermoscopic findings.,An Bras Dermatol,2023-12-17-22-07-53,True,Match
34079188,PMC8137321,Non-Invasive Diagnosis of a Facial Tumor Using Dermoscopy and Successful Treatment with 595 nm Pulsed Dye Laser.,Ann Dermatol,2023-12-17-22-07-53,True,NotMatch
34414014,PMC8337025,Clear Cell Acanthoma with Melanophages Simulating a Spitz Nevus.,Dermatol Pract Concept,2023-12-17-22-07-53,True,Match
36278542,PMC9590090,Clear Cell Acanthoma with Malignant Cytologic Features: A Case Report and Review of the Literature.,Dermatopathology (Basel),2023-12-17-22-07-53,True,Match
37992357,PMC10656184,"Non-invasive Imaging Techniques for the Diagnosis of Clear Cell Acanthomas: Dermoscopy, Reflectance Confocal Microscopy and Line-Field Confocal Optical Coherence Tomography.",Dermatol Pract Concept,2023-12-17-22-07-53,False,Match
