pmcid,label,caption,graphic
PMC3657259,Figure 1,"Clinical appearance of clear cell acanthoma before and after 12 times of cryotherapy. (a) The patient had several papules and plaques on her right lateral cheek before therapy. (b) After 12 times of cryotherapy, the lesions resolved almost completely, leaving a slight pigmentation and erythema",IJD-58-162f-g001
PMC3657259,Figure 2,"Histopathological findings. (a) The epidermis shows marked acanthosis and elongation of rete ridges (H and E, original magnification, × 10). (b) The epidermis is composed of clear cells without atypia (H and E, original magnification, × 100). (c) The corneal layer of the epidermis shows parakeratosis and is infiltrated with many erythrocytes and neutrophils (H and E, original magnification × 100). (d and e) The pale cells in the epidermis are (d) PAS-positive and (e) diastase-sensitive",IJD-58-162f-g002
PMC3179010,Figure 1,(a) Clinical picture: Pigmented macule with a desquamative surface. (b) Dermoscopy (×20): Diffuse black/gray pigmentation accompanied by dotted-globular dark red-black structures distributed in a regular reticular arrangement; peripheral translucid desquamation,IJD-56-426-g001
PMC3179010,Figure 2,"Histologic picture (hematoxylin-eosin, ×10): Acanthotic epidermis composed of large, pale cells; suprapapillary thinning, tortuous dilated papillary capillary surrounded by hemosiderin deposits",IJD-56-426-g002
PMC3699953,FIGURE 1,"Case 1: A – A bright-red, lobulated plaque with an oozing-surface on
the left nipple and areola (original presentation in 2004); B –
Bright erythematous, eczematoid plaque with a slightly mamillated surface and
ill-defined hyperchromatic margins (year 2010); C – Psoriasiform
hyperplasia with diffuse clear-cell change of keratinocytes in the Malpighian
layer and fusion of rete ridges (H-E, original magnification 100x); D
– Clear cells stained in red, basal cell layer spared (PAS, original
magnification 100x); E – Clear cells failed to stain with PAS after
diastase digestion (PAS-diastase, original magnification 100x); F –
Intense expression of EMA by clear cells (EMA immunoperoxidase, original
magnification 100x)",abd-88-0084-g01
PMC3699953,FIGURE 2,"Case 2: A – Somewhat raised, infiltrated plaque on the left
nipple/areola with eroded, wet surface and well-defined margins; B –
Elongated, fusioned, club shaped rete ridges with numerous clear cells. Note
papillary-dermal edema, elongated capillaries, and inflammatory cell infiltrate
(H-E, original magnification 100x); C – Eroded epidermis, congestive
capillaries, and erythrocyte extravasation beside an acantotic epidermis with
intense clear-cell change; D – Neutrophils scattered among clear
cells (H-E, original magnification 400x); E – Mixed interstitial and
perivascular inflammatory cell infiltrate composed of lymphocytes and numerous
eosinophils (H-E, original magnification 400x); F – Intense
expression of EMA by clear cells (EMA immunoperoxidase, original magnification
100x)",abd-88-0084-g02
PMC4155961,FIGURE 1,"A. Before therapy. Macroscopic aspect of the clear cell acanthoma: solitary,
well-defined pink papule of the leg. B. Dermoscopic image showing dotted vessels
organized as “strings of pearls” and keratinized collarette (DermLite). C. After
15 days of therapy. Yellowish, irregular, star-shaped area in the center of the
lesion (Delta 20).D. After 30 days of therapy. Dermoscopy showing a scaly
collarette, central yellow area and persistence of a few dotted vessels
(DermLite). E. After 45 days of therapy. Dermoscopy showing a pink to light brown
background area, lacking vascular structures and covered with fine white scales
(Dermlite). F. After 60 days of therapy. Dermoscopy showing a light brown
pigmentation was visible on a slightly pinkish background, with no evident vessels
(Dermlite). G. After 12 months without therapy. Dermoscopy showing a slightly
hypochromic area (Dermlite). H. Macroscopic aspect exhibits full regression of CCA
with only a slightly hypochromic area. Photographic records of all clinical and
dermatoscopic inter-stages excluded from this paper due to editorial limits are
available at http://www.gaetanoscanni.it/CCA_full_story",abd-89-05-0803-g01
PMC5726705,Figure 1,"A - Clinical image of a reddish nodule in the forearm.
B - polarized dermoscopy showing dotted, and some
coiled vessels arranged in serpiginous lines. C -
histologic image, X10 Hematoxylin & eosin with hyperkeratosis, areas
of hypergranulosis and irregular acanthosis with foci of basal cell
liquefactive degeneration and lichenoid lymphocytic infiltrate",abd-92-05-s1-0142-g01
PMC5726705,Figure 2,"A Polarized dermoscopy shows coiled an dotted vessels
arranged in linear and serpiginous rows (B) clinical
reddish papule on the lower back (C) histologic image 10x
Hematoxylin & eosin of basaloid cells regular acanthosis, with
fusion of the rete ridges.",abd-92-05-s1-0142-g02
PMC5726705,Figure 3,"A - Clinical image of an itching reddish plaque in left
mandibular region B - polarized dermoscopy showing a small
ulceration on the right up corner, and mostly coiled vessels arranged in
a serpiginous lines C - histologic image X10 Hematoxylin
& eosin showing keratotic plugs and intraepidermal cyst on an
irregular basaloid cell proliferation",abd-92-05-s1-0142-g03
PMC5726669,Figure 1,"A bright-red, exudative, lobulated plaque with a crusty surface on the
right nipple and areola",abd-92-05-s1-0027-g01
PMC5726669,Figure 2,"Markedly acanthotic epidermis, with fused rete ridges. Clear cell in the
Malpighian layer (Hematoxylin & eosin, X10)",abd-92-05-s1-0027-g02
PMC5726669,Figure 3,"Individual cells showing clear cytoplasm. The epidermis and dermis showed
infiltration by neutrophils and eosinophils (Hematoxylin & eosin,
X40)",abd-92-05-s1-0027-g03
PMC5726669,Figure 4,"Treatment led to rapid improvement, with disappearance of lesions after 3
months",abd-92-05-s1-0027-g04
PMC5903056,Figure 1,Multiple erythematous to brown and irregular sessile nodules on the perineum,IJD-63-190-g001
PMC5903056,Figure 2,Dermoscopic appearance. Red pinpoint dots on a whitish background,IJD-63-190-g002
PMC5903056,Figure 3,"Histopathological features showed acanthosis, hyperkeratosis, parakeratosis, and neutrophils in the epidermis and inflammatory cell infiltration and blood vessel dilation in the upper dermis. (a) Low magnification (H and E, ×40), (b) high magnification (H and E, ×200)",IJD-63-190-g003
PMC5903056,Figure 4,"Pictograph showing (a) abundant cytoplasmic glycogen by periodic acid-Schiff, (b) complete negative for CK20 in the epidermis, (c and d) intensely positive of CK34βE12 and CK5/6, respectively, in almost all keratinocytes, (e) positive stain for epithelial membrane antigen, (f) negative stain for carcinoembryonic antigen in tumor cells (IHC, ×100)",IJD-63-190-g004
