pmcid,figure_name,width,height
PMC3657259,IJD-58-162f-g001.jpg,740,999
PMC3657259,IJD-58-162f-g002.jpg,609,356
PMC3179010,IJD-56-426-g002.jpg,744,559
PMC3179010,IJD-56-426-g001.jpg,745,557
PMC4155961,abd-89-05-0803-g01.jpg,771,280
PMC3699953,abd-88-0084-g01.jpg,771,514
PMC3699953,abd-88-0084-g02.jpg,771,748
PMC5726705,abd-92-05-s1-0142-g02.jpg,771,530
PMC5726705,abd-92-05-s1-0142-g01.jpg,771,569
PMC5726705,abd-92-05-s1-0142-g03.jpg,771,562
PMC4894790,ajd-37-0885-g002.jpg,1200,668
PMC4894790,ajd-37-0885-g003.jpg,706,288
PMC4894790,ajd-37-0885-g005.jpg,705,286
PMC4894790,ajd-37-0885-g001.jpg,705,286
PMC4894790,ajd-37-0885-g004.jpg,1200,440
PMC5726669,abd-92-05-s1-0027-g02.jpg,600,430
PMC5726669,abd-92-05-s1-0027-g01.jpg,600,721
PMC5726669,abd-92-05-s1-0027-g03.jpg,600,428
PMC5726669,abd-92-05-s1-0027-g04.jpg,600,729
PMC5903056,IJD-63-190-g002.jpg,784,586
PMC5903056,IJD-63-190-g004.jpg,605,317
PMC5903056,IJD-63-190-g005.jpg,730,587
PMC5903056,IJD-63-190-g003.jpg,539,213
PMC5903056,IJD-63-190-g001.jpg,539,359
PMC6092078,dp0803a18g001.jpg,648,551
PMC6092078,dp0803a18g002.jpg,634,846
PMC6092078,dp0803a18g003.jpg,666,321
PMC6001098,abd-93-03-0449-g02.jpg,600,351
PMC6001098,abd-93-03-0449-g04.jpg,771,437
PMC6001098,abd-93-03-0449-g01.jpg,600,351
PMC6001098,abd-93-03-0449-g03.jpg,771,434
PMC6001098,abd-93-03-0449-g05.jpg,771,415
PMC7394162,PDIA-37-96270-g002.jpg,767,576
PMC7394162,PDIA-37-96270-g003.jpg,767,802
PMC7394162,PDIA-37-96270-g001.jpg,767,443
PMC6421483,CHSJ-44-4-397-fig3.jpg,577,433
PMC6421483,CHSJ-44-4-397-fig2.jpg,280,372
PMC6421483,CHSJ-44-4-397-fig5.jpg,578,433
PMC6421483,CHSJ-44-4-397-fig4.jpg,577,433
PMC6421483,CHSJ-44-4-397-fig6.jpg,579,433
PMC6421483,CHSJ-44-4-397-fig1.jpg,280,280
PMC7452362,gr2.jpg,711,263
PMC7452362,gr3.jpg,759,571
PMC7452362,gr1.jpg,602,621
PMC7583597,dermatopathology-07-00005-g004.jpg,693,492
PMC7583597,dermatopathology-07-00005-g003.jpg,768,585
PMC7583597,dermatopathology-07-00005-g001.jpg,689,444
PMC7583597,dermatopathology-07-00005-g005.jpg,717,546
PMC7583597,dermatopathology-07-00005-g006.jpg,670,527
PMC7583597,dermatopathology-07-00005-g008.jpg,789,486
PMC7583597,dermatopathology-07-00005-g002.jpg,673,513
PMC7583597,dermatopathology-07-00005-g007.jpg,714,750
PMC7583597,dermatopathology-07-00005-g009.jpg,686,489
PMC9274922,ActaDV-100-17-5899-g001.jpg,667,337
PMC9274922,ActaDV-100-17-5899-g002.jpg,669,325
PMC8337025,dp1103a89g002.jpg,735,213
PMC8337025,dp1103a89g001.jpg,732,276
PMC8245719,gr2.jpg,669,572
PMC8245719,gr3.jpg,669,354
PMC8245719,gr1.jpg,669,465
PMC9590090,dermatopathology-09-00041-g001.jpg,753,386
PMC9590090,dermatopathology-09-00041-g002.jpg,763,518
PMC8137321,ad-33-275-g001.jpg,622,324
PMC8137321,ad-33-275-g003.jpg,622,324
PMC8137321,ad-33-275-g002.jpg,622,324
