pmid,pmcid,title,journal,insert_time,has_targz,disease
19133154,PMC2639561,Accessory nipple reconstruction following a central quadrantectomy: a case report.,Cases J,2023-12-17-21-58-18,True,Match
25097482,PMC4112267,Dermoscopy of accessory nipples in authors' own study.,Postepy Dermatol Alergol,2023-12-17-21-58-18,True,Match
26131883,PMC4516107,Cleft-like appearance of accessory nipple in digital microscopy.,An Bras Dermatol,2023-12-17-21-58-18,True,Match
26783489,PMC4689912,A Rare Case of a 15-Year-Old Boy with Two Accessory Nipples: One in the Forearm and One in the Milk Line.,Case Rep Surg,2023-12-17-21-58-18,True,Match
30684816,PMC6351429,"Accessory nipple over the right scapula of a 14-year-old boy: An extremely rare and unreported location, case report.",Int J Surg Case Rep,2023-12-17-21-58-18,True,Match
32282731,PMC7220069,Clinical and sonographic features of nipple lesions.,Medicine (Baltimore),2023-12-17-21-58-18,True,NotMatch
32490120,PMC7256431,Invasive ductal carcinoma arising from an accessory nipple.,JAAD Case Rep,2023-12-17-21-58-18,True,Match
34495428,PMC8426447,Accessory breast cancer in the inframammary region: a case report and review of the literature.,Surg Case Rep,2023-12-17-21-58-18,True,NotMatch
37744672,PMC10516387,Treatment Options for the Clinical Management of Axillary Breast Tissue.,Plast Reconstr Surg Glob Open,2023-12-17-21-58-18,True,NotMatch
37752967,PMC10518438,Implications of a Supernumerary Nipple Breast Cancer in a BReast CAncer Sequence Variation Carrier: A Case Report.,Mayo Clin Proc Innov Qual Outcomes,2023-12-17-21-58-18,False,Match
5581295,PMC2008552,Florid papillomatosis (adenoma) and other benign tumours of the nipple and areola.,Br J Cancer,2023-12-17-21-58-18,True,NotMatch
