pmcid,figure_name,width,height
PMC4516107,abd-90-03-0434-g01.jpg,600,471
PMC4516107,abd-90-03-0434-g02.jpg,690,542
PMC4516107,abd-90-03-0434-g03.jpg,690,542
PMC2639561,1757-1626-2-32-2.jpg,600,561
PMC2639561,1757-1626-2-32-3.jpg,600,497
PMC2639561,1757-1626-2-32-1.jpg,600,447
PMC6351429,gr1.jpg,670,540
PMC4689912,CRIS2015-752479.001.jpg,511,750
PMC4689912,CRIS2015-752479.002.jpg,750,511
PMC4689912,CRIS2015-752479.005.jpg,750,446
PMC4689912,CRIS2015-752479.003.jpg,750,511
PMC4689912,CRIS2015-752479.004.jpg,750,511
PMC4689912,CRIS2015-752479.006.jpg,750,444
PMC4112267,PDIA-31-22872-g007.jpg,767,597
PMC4112267,PDIA-31-22872-g008.jpg,767,597
PMC4112267,PDIA-31-22872-g005.jpg,767,597
PMC4112267,PDIA-31-22872-g006.jpg,767,597
PMC4112267,PDIA-31-22872-g010.jpg,767,597
PMC4112267,PDIA-31-22872-g004.jpg,767,597
PMC4112267,PDIA-31-22872-g001.jpg,767,597
PMC4112267,PDIA-31-22872-g009.jpg,767,597
PMC4112267,PDIA-31-22872-g002.jpg,767,597
PMC4112267,PDIA-31-22872-g011.jpg,765,746
PMC4112267,PDIA-31-22872-g003.jpg,767,597
PMC4112267,PDIA-31-22872-g012.jpg,752,745
PMC7256431,gr2.jpg,602,452
PMC7256431,gr4.jpg,747,335
PMC7256431,gr3.jpg,747,261
PMC7256431,gr1.jpg,602,338
PMC7220069,medi-99-e19728-g006.jpg,800,731
PMC7220069,medi-99-e19728-g009.jpg,800,1348
PMC7220069,medi-99-e19728-g011.jpg,800,548
PMC7220069,medi-99-e19728-g007.jpg,800,682
PMC7220069,medi-99-e19728-g005.jpg,800,680
PMC7220069,medi-99-e19728-g003.jpg,800,393
PMC7220069,medi-99-e19728-g002.jpg,800,147
PMC7220069,medi-99-e19728-g004.jpg,800,299
PMC7220069,medi-99-e19728-g008.jpg,800,745
PMC7220069,medi-99-e19728-g010.jpg,800,1087
PMC7220069,medi-99-e19728-g001.jpg,800,266
PMC8426447,40792_2021_1285_Fig5_HTML.jpg,784,620
PMC8426447,40792_2021_1285_Fig4_HTML.jpg,797,451
PMC8426447,40792_2021_1285_Fig1_HTML.jpg,598,398
PMC8426447,40792_2021_1285_Fig2_HTML.jpg,797,653
PMC8426447,40792_2021_1285_Fig3_HTML.jpg,598,964
PMC2008552,brjcancer00358-0013-a.jpg,476,667
PMC2008552,brjcancer00358-0015-a.jpg,438,677
PMC2008552,brjcancer00358-0010-a.jpg,441,677
PMC2008552,brjcancer00358-0014-a.jpg,415,681
PMC2008552,brjcancer00358-0011-a.jpg,438,682
PMC2008552,brjcancer00358-0009-a.jpg,452,681
PMC2008552,brjcancer00358-0012-a.jpg,481,626
PMC10516387,gox-11-e5189-g007.jpg,800,228
PMC10516387,gox-11-e5189-g001.jpg,800,729
PMC10516387,gox-11-e5189-g003.jpg,800,985
PMC10516387,gox-11-e5189-g004.jpg,800,212
PMC10516387,gox-11-e5189-g008.jpg,800,224
PMC10516387,gox-11-e5189-g005.jpg,800,240
PMC10516387,gox-11-e5189-g002.jpg,800,374
PMC10516387,gox-11-e5189-g006.jpg,800,250
