pmcid,figure_name,width,height
PMC7646431,JCAS-13-261-g001.jpg,666,888
PMC7646431,JCAS-13-261-g002.jpg,666,379
PMC7646431,JCAS-13-261-g003.jpg,666,375
PMC8149993,JCAS-14-121-g006.jpg,666,494
PMC8149993,JCAS-14-121-g003.jpg,666,789
PMC8149993,JCAS-14-121-g001.jpg,666,888
PMC8149993,JCAS-14-121-g002.jpg,666,500
PMC8149993,JCAS-14-121-g004.jpg,666,960
PMC8149993,JCAS-14-121-g005.jpg,666,494
PMC4430176,gr6.jpg,393,257
PMC4430176,gr2.jpg,301,283
PMC4430176,gr4.jpg,301,235
PMC4430176,gr3.jpg,301,258
PMC4430176,gr5.jpg,393,236
PMC4430176,gr1.jpg,301,284
PMC4430176,gr7.jpg,393,256
PMC7477026,13555_2020_418_Fig1_HTML.jpg,708,380
PMC7477026,13555_2020_418_Fig2_HTML.jpg,708,400
PMC7477026,13555_2020_418_Fig3_HTML.jpg,708,381
PMC7477026,13555_2020_418_Fig4_HTML.jpg,708,382
PMC9644781,IJD-67-312c-g006.jpg,537,267
PMC9644781,IJD-67-312c-g004.jpg,524,586
PMC9644781,IJD-67-312c-g001.jpg,713,587
PMC9644781,IJD-67-312c-g007.jpg,590,586
PMC9644781,IJD-67-312c-g009.jpg,782,586
PMC9644781,IJD-67-312c-g002.jpg,539,378
PMC9644781,IJD-67-312c-g005.jpg,520,586
PMC9644781,IJD-67-312c-g008.jpg,539,274
PMC9644781,IJD-67-312c-g003.jpg,539,329
