pmid,pmcid,title,journal,insert_time,label,caption,graphic
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 1,Shows the site and the shape of the lump.,gr1
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig.2,Shows nail like changes.,gr2
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 3,Shows the base of the growth and nail like changes.,gr3
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 4,After the excision.,gr4
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 5,Dense hyalinized and irregularly arranged collagen bundles.,gr5
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 6,Variable numbers of fibroblasts and numerous thin-walled vessels.,gr6
25863992,PMC4430176,"Giant fibrokeratoma, a rare soft tissue tumor presenting like an accessory digit, a case report and review of literature.",Int J Surg Case Rep,2023-12-17-22-02-53,Fig. 7,The overlying epidermis is hyperkeratotic and acanthotic.,gr7
32728848,PMC7477026,Cellular Digital Fibroma: A Comprehensive Review of a CD34-Positive Acral Lesion of the Distal Fingers and Toes.,Dermatol Ther (Heidelb),2023-12-17-22-02-53,Fig. 1,"Clinical presentation of a cellular digital fibroma on the left great toe. Distant (a, c) and closer (b), plantar (a, b) and lateral (c) views of a new asymptomatic flesh-colored 5 mm papule on the lateral side of the left great toe of a 61-year-old man. The lesion had been present for 18 month and had been enlarging slowly until it stopped growing 4 months ago. There had been no trauma to the site",13555_2020_418_Fig1_HTML
32728848,PMC7477026,Cellular Digital Fibroma: A Comprehensive Review of a CD34-Positive Acral Lesion of the Distal Fingers and Toes.,Dermatol Ther (Heidelb),2023-12-17-22-02-53,Fig. 2,"Microscopic features of a cellular digital fibroma that was present on the left great toe of a 61-year-old man. Distant (a) and closer (b–d) views of the cellular digital fibroma show characteristic pathologic features. The hematoxylin and eosin (a–c) stained sections show compact orthokeratosis and acanthosis of the epidermis. In the predominantly collagenous dermis, there is a tumor composed of spindle-shaped fibroblasts and minimal myxoid stroma. Neither cellular atypia nor mast cells are noted. The CD34 stained section shows diffuse and strong staining of the entire dermal tumor (hematoxylin and eosin: a × 2; b, × 4; c × 10; CD34: d, × 10)",13555_2020_418_Fig2_HTML
32728848,PMC7477026,Cellular Digital Fibroma: A Comprehensive Review of a CD34-Positive Acral Lesion of the Distal Fingers and Toes.,Dermatol Ther (Heidelb),2023-12-17-22-02-53,Fig. 3,"Excision specimen of cellular digital fibroma that had been present on the left great toe of a 61-year-old man. Distant (a) and closer (b) views of the gross specimen (a) and the wound repair (a, b) following an elliptical excisional biopsy of the cellular digital fibroma. The wound was closed with polypropylene (prolene) suture using two horizontal mattresses and three interrupted stitches",13555_2020_418_Fig3_HTML
