pmcid,figure_name,width,height
PMC4681204,IJD-60-609-g003.jpg,598,586
PMC4681204,IJD-60-609-g002.jpg,684,587
PMC4681204,IJD-60-609-g001.jpg,539,375
PMC9764949,JCAS-15-230-g005.jpg,658,890
PMC9764949,JCAS-15-230-g007.jpg,664,448
PMC9764949,JCAS-15-230-g003.jpg,780,522
PMC9764949,JCAS-15-230-g009.jpg,729,643
PMC9764949,JCAS-15-230-g004.jpg,782,525
PMC9764949,JCAS-15-230-g006.jpg,665,452
PMC9764949,JCAS-15-230-g008.jpg,664,446
PMC9764949,JCAS-15-230-g002.jpg,779,518
PMC9764949,JCAS-15-230-g001.jpg,664,405
PMC3125665,JOMFP-15-88-g002.jpg,743,495
PMC3125665,JOMFP-15-88-g001.jpg,744,495
PMC9913707,cancers-15-00856-g004.jpg,734,521
PMC9913707,cancers-15-00856-g003.jpg,751,598
PMC9913707,cancers-15-00856-g005.jpg,736,594
PMC9913707,cancers-15-00856-g001.jpg,761,591
PMC9913707,cancers-15-00856-g002.jpg,723,597
