pmid,pmcid,title,journal,insert_time,has_targz,disease
10362121,PMC2363037,"Expression of matrix metalloproteinase-1, -2 and -3 in squamous cell carcinoma and actinic keratosis.",Br J Cancer,2023-12-17-22-07-57,True,Match
10682671,PMC2363323,Angiogenic switch occurs late in squamous cell carcinomas of human skin.,Br J Cancer,2023-12-17-22-07-57,True,NotMatch
11237387,PMC2363801,Differential patterns of stromelysin-2 (MMP-10) and MT1-MMP (MMP-14) expression in epithelial skin cancers.,Br J Cancer,2023-12-17-22-07-57,True,NotMatch
12600274,PMC151671,Psoriasin (S100A7) expression is altered during skin tumorigenesis.,BMC Dermatol,2023-12-17-22-07-57,True,NotMatch
15279680,PMC509244,"8-Cl-Adenosine enhances 1,25-dihydroxyvitamin D3-induced growth inhibition without affecting 1,25-dihydroxyvitamin D3-stimulated differentiation of primary mouse epidermal keratinocytes.",BMC Pharmacol,2023-12-17-22-07-57,True,NotMatch
16893473,PMC1569867,Identification of differentially expressed genes in cutaneous squamous cell carcinoma by microarray expression profiling.,Mol Cancer,2023-12-17-22-07-57,True,NotMatch
17257431,PMC1796543,Immune-mediated changes in actinic keratosis following topical treatment with imiquimod 5% cream.,J Transl Med,2023-12-17-22-07-57,True,Match
17699945,PMC2636007,Immunohistochemical localization of human papilloma virus in conjunctival neoplasias: a retrospective study.,Indian J Ophthalmol,2023-12-17-22-07-57,True,NotMatch
18728698,PMC2503644,Review of photodynamic therapy in actinic keratosis and basal cell carcinoma.,Ther Clin Risk Manag,2023-12-17-22-07-57,True,Match
19104487,PMC6245357,"A preliminary pharmacokinetic study of betulin, the main pentacyclic triterpene from extract of outer bark of birch (Betulae alba cortex).",Molecules,2023-12-17-22-07-57,True,NotMatch
19108017,PMC2628022,Prevalence of Foxp3 positive T regulatory cells is increased during progression of cutaneous squamous tumors.,Yonsei Med J,2023-12-17-22-07-57,True,NotMatch
19657382,PMC2715883,Human disease-drug network based on genomic expression profiles.,PLoS One,2023-12-17-22-07-57,True,NotMatch
19829884,PMC2740192,Inflammation of actinic keratosis with combination of alkylating and taxane agents: a case report.,Cases J,2023-12-17-22-07-57,True,Match
19881543,PMC2813408,UVB-induced ERK/AKT-dependent PTEN suppression promotes survival of epidermal keratinocytes.,Oncogene,2023-12-17-22-07-57,True,NotMatch
19946586,PMC2783049,Russell bodies in a skin biopsy: a case report.,J Med Case Rep,2023-12-17-22-07-57,True,NotMatch
20514316,PMC2877235,Recent trend in the incidence of premalignant and malignant skin lesions in Korea between 1991 and 2006.,J Korean Med Sci,2023-12-17-22-07-57,True,NotMatch
21115882,PMC3001966,"Chemoprevention of nonmelanoma skin cancer with celecoxib: a randomized, double-blind, placebo-controlled trial.",J Natl Cancer Inst,2023-12-17-22-07-57,True,NotMatch
21437066,PMC3047952,Current and emerging treatment strategies for the treatment of actinic keratosis.,Clin Cosmet Investig Dermatol,2023-12-17-22-07-57,True,Match
21463984,PMC3353424,Topical treatment of actinic keratoses with potassium dobesilate 5% cream. a preliminary open-label study.,Eur J Med Res,2023-12-17-22-07-57,True,NotMatch
