pmcid,label,caption,graphic
PMC509244,Figure 1,"8-Cl-Ado and 1,25(OH)2D3 Inhibit Keratinocyte Proliferation. Near-confluent primary mouse epidermal keratinocytes were treated with the indicated concentrations of (A) 8-Cl-Ado or (B) 1,25(OH)2D3 for 24 hours, and [3H]thymidine incorporation was determined as indicated in Materials and Methods. Data represent the mean ± SEM of five experimentsperformed in triplicate; *p < 0.05, **p < 0.01 versus the control value.",1471-2210-4-13-1
PMC509244,Figure 2,"8-Cl-Ado and 1,25(OH)2D3 Act Additively to Inhibit Keratinocyte Proliferation. Near-confluent primary mouse epidermal keratinocytes were treated with the indicated concentrations of 8-Cl-Ado in the presence of no (closed circles), 1 nM (open squares) or 10 nM (open triangles) 1,25(OH)2D3 for 24 hours, and [3H]thymidine incorporation was determined as indicated in Materials and Methods. Data represent the mean ± SEM of five experiments performed in triplicate; *p < 0.05, **p < 0.01 versus the control value, †p < 0.01 versus the corresponding concentration of 1,25(OH)2D3 alone, §p < 0.01 versus the corresponding concentration of 8-Cl-Ado alone.",1471-2210-4-13-2
PMC509244,Figure 3,"8-Cl-Ado Has No Effect on 1,25(OH)2D3-Stimulated Transglutaminase Activity. Near-confluent primary mouse epidermal keratinocytes were treated with and without 10 μM 8-Cl-Ado in the presence and absence of 10 nM 1,25(OH)2D3 for 24 hours, and transglutaminase activity was determined as indicated in Materials and Methods. Data represent the mean ± SEM of four experiments performed in triplicate; *p < 0.01 versus the control value.",1471-2210-4-13-3
PMC509244,Figure 4,"8-Cl-Ado Has No Effect on the 1,25(OH)2D3-Induced Increase in Keratin 1 Protein Levels. Near-confluent keratinocytes were incubated for 24 hours with and without 25 μM 8-Cl-Ado in the presence and absence of 20 nM 1,25(OH)2D3 and were then processed for western analysis. (A) A representative immunoblot is shown. (B) Keratin 1 levels were quantified, corrected for background and normalized for loading, as described in Materials and Methods. Data represent the mean ± SEM of four experiments performed in duplicate; *p < 0.05 versus the control value.",1471-2210-4-13-4
PMC151671,Figure 1,"Immunohistochemical detection of psoriasin in normal and psoriatic skin Pattern of psoriasin expression in normal skin and psoriatic lesions detected by immunohistochemistry. Psoriasin is absent from normal dermis, epidermis (A, double arrow), and eccrine glands (A & D, single arrow) but is expressed in hair follicles and occasional associated sebaceous glands (A & C, asterix). Psoriasin is highly expressed in superficial layers of epidermis within psoriatic lesions (B). Original magnification A&B 200×, C&D 400×.",1471-5945-3-1-1
PMC151671,Figure 2,"Immunohistochemical detection of psoriasin in skin Pattern of psoriasin expression in pre-neoplastic and neoplastic skin lesions detected by immunohistochemistry (panels A,C,E,F) with corresponding areas from H&E stains (panels B,D,F,H). Psoriasin is moderately (A, right) or highly (C) expressed in carcinoma in-situ alone and carcinoma in-situ associated with invasive carcinoma (E, upper), and downregulated in invasive squamous carcinoma (E, lower). Psoriasin is absent in invasive basal cell carcinoma (G, upper) in comparison with adjacent positively staining normal hair follicles (G, lower right). Original magnification, 200×.",1471-5945-3-1-2
PMC151671,Figure 3,"Psoriasin expression relative to lesion type Panel A: distribution of expression within cases with normal skin (N), actinic keratosis (AK), squamous carcinoma in-situ (IS), invasive squamous cell carcinoma (INV), and basal cell carcinoma (BCC). Bars represent medians. All p values were determined by Mann Whitney test. Panel B: comparison of expression within individual cases between areas of squamous carcinoma in-situ (IS) and invasive squamous cell carcinoma (INV). The p value was determined by Wilcoxon Rank Sum test.",1471-5945-3-1-3
PMC151671,Figure 4,"Psoriasin expression relative to mitosis and inflammation within lesion type. Panel A: Psoriasin expression levels determined by IHC score relative to mitotic count in squamous epithelial pathologies (actinic keratosis, squamous carcinoma in-situ and squamous invasive lesions). Panel B: Psoriasin expression levels determined by IHC score relative to inflammation within each lesion type. Distribution of expression within cases without inflammation (-) and with inflammation (+) for actinic keratosis (AK-, AK+), squamous carcinoma in-situ (IS-, IS+), and invasive squamous cell carcinoma (INV-, INV+). Bars represent medians. P values determined by Mann Whitney test.",1471-5945-3-1-4
PMC2636007,Figure 1,"Squamous papilloma, arrow points to koilocyte (H/E, x200)",IndianJOphthalmol-55-361-g001
PMC2636007,Figure 2,"Positive nuclear and cytoplasmic staining for human papilloma virus antigen in a case of squamous papilloma (Avidin-biotin, x400)",IndianJOphthalmol-55-361-g002
