pmcid,figure_name,width,height
PMC151671,1471-5945-3-1-1.jpg,600,583
PMC151671,1471-5945-3-1-3.jpg,600,1024
PMC151671,1471-5945-3-1-4.jpg,600,1027
PMC151671,1471-5945-3-1-2.jpg,416,911
PMC1569867,1476-4598-5-30-2.jpg,600,1358
PMC1569867,1476-4598-5-30-1.jpg,600,800
PMC509244,1471-2210-4-13-3.jpg,600,604
PMC509244,1471-2210-4-13-4.jpg,600,750
PMC509244,1471-2210-4-13-2.jpg,600,540
PMC509244,1471-2210-4-13-1.jpg,600,1161
PMC2636007,IndianJOphthalmol-55-361-g003.jpg,765,123
PMC2636007,IndianJOphthalmol-55-361-g002.jpg,599,411
PMC2636007,IndianJOphthalmol-55-361-g001.jpg,598,412
PMC6245357,molecules-13-03224-g002.jpg,672,593
PMC6245357,molecules-13-03224-g006.jpg,678,619
PMC6245357,molecules-13-03224-g001.jpg,721,613
PMC6245357,molecules-13-03224-g007.jpg,747,850
PMC6245357,molecules-13-03224-g003.jpg,660,586
PMC6245357,molecules-13-03224-g005.jpg,750,758
PMC6245357,molecules-13-03224-g004.jpg,773,744
PMC1796543,1479-5876-5-7-7.jpg,600,244
PMC1796543,1479-5876-5-7-6.jpg,600,458
PMC1796543,1479-5876-5-7-4.jpg,600,232
PMC1796543,1479-5876-5-7-10.jpg,600,228
PMC1796543,1479-5876-5-7-3.jpg,600,380
PMC1796543,1479-5876-5-7-8.jpg,600,230
PMC1796543,1479-5876-5-7-9.jpg,600,236
PMC1796543,1479-5876-5-7-5.jpg,600,438
PMC1796543,1479-5876-5-7-11.jpg,600,235
PMC1796543,1479-5876-5-7-1.jpg,600,356
PMC1796543,1479-5876-5-7-2.jpg,600,402
PMC2740192,1757-1626-0002-0000006946-002.jpg,502,334
PMC2740192,1757-1626-0002-0000006946-001.jpg,502,334
PMC2715883,pone.0006536.t002.jpg,657,520
PMC2715883,pone.0006536.t003.jpg,658,211
PMC2715883,pone.0006536.g001.jpg,532,622
PMC2715883,pone.0006536.g003.jpg,498,457
PMC2715883,pone.0006536.g002.jpg,411,796
PMC2715883,pone.0006536.t001.jpg,658,461
PMC2813408,nihms147984f3.jpg,800,352
PMC2813408,nihms147984f1.jpg,800,339
PMC2813408,nihms147984f2.jpg,800,577
PMC2813408,nihms147984f7.jpg,800,380
PMC2813408,nihms147984f5.jpg,800,584
PMC2813408,nihms147984f4.jpg,800,394
PMC2813408,nihms147984f6.jpg,800,343
PMC2628022,ymj-49-942-i001.jpg,637,98
PMC2628022,ymj-49-942-g002.jpg,551,413
PMC2628022,ymj-49-942-g003.jpg,552,414
PMC2628022,ymj-49-942-g004.jpg,466,280
PMC2628022,ymj-49-942-g001.jpg,551,203
PMC2783049,1752-1947-3-108-1.jpg,600,475
PMC2783049,1752-1947-3-108-2.jpg,600,475
PMC3001966,jncidjq442f01_lw.jpg,502,504
PMC2877235,jkms-25-924-g001.jpg,479,336
PMC2877235,jkms-25-924-g005.jpg,473,479
PMC2877235,jkms-25-924-g002.jpg,590,211
PMC2877235,jkms-25-924-g004.jpg,473,480
PMC2877235,jkms-25-924-g007.jpg,616,273
PMC2877235,jkms-25-924-g003.jpg,601,211
PMC2877235,jkms-25-924-i001.jpg,635,424
PMC2877235,jkms-25-924-g006.jpg,621,265
PMC3093780,cln-66-04-523-g001.jpg,498,472
PMC3093780,cln-66-04-523-g002.jpg,443,941
PMC3085431,CRIM2011-518758.001.jpg,401,602
PMC3085431,CRIM2011-518758.002.jpg,404,671
PMC3132090,tcrm-7-207f1.jpg,564,303
PMC3108519,IJD-56-190-g006.jpg,743,523
PMC3108519,IJD-56-190-g004.jpg,743,523
PMC3108519,IJD-56-190-g002.jpg,743,523
PMC3108519,IJD-56-190-g001.jpg,736,523
PMC3108519,IJD-56-190-g007.jpg,742,524
PMC3108519,IJD-56-190-g003.jpg,742,538
PMC3108519,IJD-56-190-g005.jpg,743,523
PMC3353424,2047-783X-16-2-67-1.jpg,600,893
PMC3504077,path0226-0451-f7.jpg,796,1569
PMC3504077,path0226-0451-f3.jpg,724,611
PMC3504077,path0226-0451-f1.jpg,780,1263
PMC3504077,path0226-0451-f4.jpg,746,232
PMC3504077,path0226-0451-f5.jpg,797,1675
PMC3504077,path0226-0451-f6.jpg,651,212
PMC3504077,path0226-0451-f2.jpg,786,1132
PMC3283857,ad-24-77-g002.jpg,632,474
PMC3283857,ad-24-77-i001.jpg,665,173
PMC3283857,ad-24-77-g001.jpg,632,816
PMC3339136,JCAS-5-53-g002.jpg,560,258
PMC3339136,JCAS-5-53-g003.jpg,560,240
PMC3339136,JCAS-5-53-g001.jpg,560,241
PMC3448047,12253_2012_9513_Fig3_HTML.jpg,793,1265
PMC3448047,12253_2012_9513_Fig2_HTML.jpg,742,551
PMC3448047,12253_2012_9513_Fig1_HTML.jpg,761,563
PMC3386999,pone.0039954.t002.jpg,746,505
PMC3386999,pone.0039954.g001.jpg,683,358
PMC3386999,pone.0039954.g002.jpg,672,771
PMC3386999,pone.0039954.t001.jpg,746,666
PMC3386999,pone.0039954.g003.jpg,660,1030
PMC3136451,ppat.1002125.g003.jpg,466,398
PMC3136451,ppat.1002125.g004.jpg,575,718
PMC3136451,ppat.1002125.g006.jpg,573,725
PMC3136451,ppat.1002125.g005.jpg,615,474
PMC3136451,ppat.1002125.g002.jpg,501,393
PMC3136451,ppat.1002125.g001.jpg,650,462
PMC3505430,IDOJ-3-199-g001.jpg,718,358
PMC3505430,IDOJ-3-199-g002.jpg,644,358
PMC3505430,IDOJ-3-199-g003.jpg,649,269
PMC3505938,CRIM.DM2011-412684.002.jpg,600,931
PMC3505938,CRIM.DM2011-412684.001.jpg,600,870
PMC3660784,bjd0168-0825-f1.jpg,663,595
PMC3660784,bjd0168-0825-mu2.jpg,181,15
PMC3660784,bjd0168-0825-mu4.jpg,144,14
PMC3660784,bjd0168-0825-f2.jpg,600,723
PMC3660784,bjd0168-0825-mu3.jpg,106,15
PMC3660784,bjd0168-0825-mu1.jpg,183,15
PMC3430094,ccid-5-111f2.jpg,776,1089
PMC3430094,ccid-5-111f3.jpg,769,709
PMC3430094,ccid-5-111f4.jpg,783,583
PMC3430094,ccid-5-111f5.jpg,700,933
PMC3430094,ccid-5-111f1.jpg,624,346
PMC3574755,ISRN.DERMATOLOGY2013-546813.001.jpg,600,1672
PMC3574755,ISRN.DERMATOLOGY2013-546813.003.jpg,600,886
PMC3574755,ISRN.DERMATOLOGY2013-546813.006.jpg,600,792
PMC3574755,ISRN.DERMATOLOGY2013-546813.002.jpg,600,1700
PMC3574755,ISRN.DERMATOLOGY2013-546813.007.jpg,600,886
PMC3574755,ISRN.DERMATOLOGY2013-546813.004.jpg,600,931
PMC3574755,ISRN.DERMATOLOGY2013-546813.005.jpg,600,1790
PMC3683614,ejh-2013-1-e7-g003.jpg,500,148
PMC3683614,ejh-2013-1-e7-g001.jpg,500,356
PMC3683614,ejh-2013-1-e7-g002.jpg,500,352
PMC3581285,ccid-6-051Fig1.jpg,760,438
PMC3581285,ccid-6-051Fig2.jpg,702,332
PMC3581285,ccid-6-051Fig3.jpg,698,480
PMC3581285,ccid-6-051Fig4.jpg,590,386
PMC3642014,1471-2334-13-186-2.jpg,600,768
PMC3642014,1471-2334-13-186-3.jpg,600,238
PMC3642014,1471-2334-13-186-1.jpg,600,208
PMC3663395,dp0302a02g001a.jpg,800,637
PMC3663395,dp0302a02g004.jpg,689,293
PMC3663395,dp0302a02g002a.jpg,800,626
PMC3663395,dp0302a02g006.jpg,693,292
PMC3663395,dp0302a02g001b.jpg,800,600
PMC3663395,dp0302a02g005.jpg,690,290
PMC3663395,dp0302a02g003.jpg,692,295
PMC3663395,dp0302a02g002b.jpg,800,600
PMC3726892,IJD-58-325b-g003.jpg,743,538
PMC3726892,IJD-58-325b-g004.jpg,743,538
PMC3726892,IJD-58-325b-g005.jpg,559,247
PMC3726892,IJD-58-325b-g002.jpg,1158,244
PMC3726892,IJD-58-325b-g006.jpg,742,460
PMC3726892,IJD-58-325b-g001.jpg,1157,733
PMC3630146,pone.0062347.g001.jpg,665,318
PMC3630146,pone.0062347.g004.jpg,662,380
PMC3630146,pone.0062347.g003.jpg,660,394
PMC3630146,pone.0062347.g006.jpg,663,504
PMC3630146,pone.0062347.g002.jpg,660,484
PMC3630146,pone.0062347.g005.jpg,667,247
PMC3752492,IDOJ-4-246-g001.jpg,690,408
PMC3752492,IDOJ-4-246-g002.jpg,1154,453
PMC3764943,cde-0005-0215-g01.jpg,780,402
PMC3778778,IJD-58-377-g002.jpg,404,538
PMC3778778,IJD-58-377-g003.jpg,743,537
PMC3778778,IJD-58-377-g004.jpg,403,538
PMC3778778,IJD-58-377-g001.jpg,742,255
PMC3789663,pone.0076416.g002.jpg,659,432
PMC3789663,pone.0076416.g006.jpg,659,409
PMC3789663,pone.0076416.t001.jpg,746,947
PMC3789663,pone.0076416.g004.jpg,570,397
PMC3789663,pone.0076416.g001.jpg,647,944
PMC3789663,pone.0076416.g003.jpg,757,1001
PMC3789663,pone.0076416.g005.jpg,681,276
PMC3774981,DM35-03-787130.001.jpg,600,533
PMC3798349,abd-88-05-0732-g01.jpg,771,484
PMC3798349,abd-88-05-0732-g02.jpg,771,489
PMC3747062,pone.0071887.g002.jpg,683,827
PMC3747062,pone.0071887.g003.jpg,620,1379
PMC3747062,pone.0071887.g004.jpg,683,753
PMC3747062,pone.0071887.g001.jpg,683,918
PMC3747062,pone.0071887.g005.jpg,683,607
PMC3887296,bjc2013697f2.jpg,675,721
PMC3887296,bjc2013697f3.jpg,741,802
PMC3887296,bjc2013697f1.jpg,747,196
PMC3887296,bjc2013697f4.jpg,744,345
PMC3887296,bjc2013697f5.jpg,793,432
PMC3583890,de-4-285-g2.jpg,679,900
PMC3583890,de-4-285-g7.jpg,678,900
PMC3583890,de-4-285-g6.jpg,700,529
PMC3583890,de-4-285-g5.jpg,700,529
PMC3583890,de-4-285-g8.jpg,700,1067
PMC3583890,de-4-285-g4.jpg,700,1217
PMC3583890,de-4-285-g1.jpg,700,529
PMC3583890,de-4-285-g3.jpg,700,529
PMC3842183,can-7-376fig2.jpg,787,353
PMC3842183,can-7-376fig1.jpg,554,428
