pmcid,figure_name,width,height
PMC526771,1471-2466-4-10-3.jpg,204,172
PMC526771,1471-2466-4-10-2.jpg,198,356
PMC526771,1471-2466-4-10-1.jpg,284,256
PMC2816852,jkms-19-462-g001.jpg,635,302
PMC2816852,jkms-19-462-g002.jpg,635,302
PMC2816852,jkms-19-462-g003.jpg,635,302
PMC2816852,jkms-19-462-g004.jpg,462,402
PMC324571,1477-7819-1-28-1.jpg,600,480
PMC509249,1471-2407-4-41-2.jpg,600,429
PMC509249,1471-2407-4-41-1.jpg,600,441
PMC509249,1471-2407-4-41-3.jpg,600,441
PMC2747720,91-6602004t1.jpg,595,422
PMC2747720,91-6602004f2.jpg,427,657
PMC2747720,91-6602004f3.jpg,388,515
PMC2747720,91-6602004f1.jpg,385,767
PMC2747720,91-6602004f4.jpg,402,474
PMC2747720,91-6602004f5.jpg,400,428
PMC1180430,1472-6815-5-4-2.jpg,600,595
PMC1180430,1472-6815-5-4-1.jpg,600,579
PMC1180430,1472-6815-5-4-3.jpg,600,555
PMC1526742,1477-7800-3-17-2.jpg,514,383
PMC1526742,1477-7800-3-17-1.jpg,514,384
PMC1891784,umj7503-223-f1.jpg,486,365
PMC1891784,umj7503-223-f3.jpg,486,365
PMC1891784,umj7503-223-f2.jpg,487,404
PMC1560395,1746-1596-1-20-2.jpg,600,450
PMC1560395,1746-1596-1-20-3.jpg,600,450
PMC1560395,1746-1596-1-20-1.jpg,600,450
PMC9448935,gr1.jpg,682,469
PMC1592487,1477-7819-4-66-2.jpg,600,450
PMC1592487,1477-7819-4-66-4.jpg,600,450
PMC1592487,1477-7819-4-66-3.jpg,600,481
PMC1592487,1477-7819-4-66-5.jpg,600,450
PMC1592487,1477-7819-4-66-1.jpg,600,492
PMC1810540,1471-2407-7-37-3.jpg,600,614
PMC1810540,1471-2407-7-37-4.jpg,600,582
PMC1810540,1471-2407-7-37-1.jpg,600,740
PMC1810540,1471-2407-7-37-2.jpg,600,734
PMC1808473,1742-6413-4-5-8.jpg,600,480
PMC1808473,1742-6413-4-5-7.jpg,600,480
PMC1808473,1742-6413-4-5-10.jpg,600,480
PMC1808473,1742-6413-4-5-2.jpg,600,480
PMC1808473,1742-6413-4-5-1.jpg,600,480
PMC1808473,1742-6413-4-5-9.jpg,600,480
PMC1808473,1742-6413-4-5-4.jpg,600,480
PMC1808473,1742-6413-4-5-6.jpg,600,373
PMC1808473,1742-6413-4-5-3.jpg,600,480
PMC1808473,1742-6413-4-5-5.jpg,600,480
