pmid,pmcid,title,journal,insert_time,has_targz,disease
12784970,PMC2588787,"Vulvar syringoma, report of a case and review of the literature.",Yale J Biol Med,2023-12-17-21-58-26,True,NotMatch
14316199,PMC2071355,VERY LATE RECURRENCE OF A PREVIOUSLY EXCISED SWEAT GLAND CARCINOMA: CASE REPORT WITH REVIEW OF THE LITERATURE.,Br J Cancer,2023-12-17-21-58-26,True,NotMatch
22148038,PMC3229053,Syringocystadenoma papilliferum of the back combined with a tubular apocrine adenoma.,Ann Dermatol,2023-12-17-21-58-26,True,NotMatch
23188940,PMC3505290,Rare sweat gland tumors of vulva: Report of two cases.,Indian J Sex Transm Dis AIDS,2023-12-17-21-58-26,True,NotMatch
23788972,PMC3685341,Neck sweat gland cancer hemorrhage. Case study.,Contemp Oncol (Pozn),2023-12-17-21-58-26,True,NotMatch
25671052,PMC4294179,Eyebrow lesion: an unusual suspect.,Eplasty,2023-12-17-21-58-26,True,NotMatch
26312678,PMC4540512,Eccrine poroma and porocarcinoma on the same unusual location: report on two cases.,An Bras Dermatol,2023-12-17-21-58-26,True,NotMatch
26312728,PMC4540562,Late-onset of eruptive syringomas: a diagnostic challenge.,An Bras Dermatol,2023-12-17-21-58-26,True,NotMatch
28936056,PMC5598299,Syringocystadenoma Papilliferum of Sweat Gland of Caruncle: A Unique Case Report.,Middle East Afr J Ophthalmol,2023-12-17-21-58-26,True,NotMatch
29166517,PMC5674711,Syringocystadenoma papilliferum combined with a tubular apocrine adenoma.,An Bras Dermatol,2023-12-17-21-58-26,True,NotMatch
29924021,PMC6023949,Mammographic and ultrasound findings in poroid hidradenoma of the breast mimicking intraductal papilloma and papillary carcinoma: A case report.,Medicine (Baltimore),2023-12-17-21-58-26,True,Match
30484540,PMC6256207,Dermatoscopy: an auxiliary resource for the diagnosis of poroid neoplasms.,An Bras Dermatol,2023-12-17-21-58-26,True,NotMatch
31065284,PMC6466859,Expression of Potential Dermal Progenitor Cell Markers in the Tumour and Stroma of Skin Adnexal Malignant and Benign Tumours.,Stem Cells Int,2023-12-17-21-58-26,True,NotMatch
31448032,PMC6689838,[Palpebral hidrocystoma].,Pan Afr Med J,2023-12-17-21-58-26,True,NotMatch
31686976,PMC6819710,Tubular apocrine adenoma of the eyelid - A case report and literature review.,Saudi J Ophthalmol,2023-12-17-21-58-26,True,NotMatch
32169099,PMC7071686,"Low grade malignant eccrine spiradenoma of the vulva: case report, review of the literature and discussion about the role of p53 and HPV.",Diagn Pathol,2023-12-17-21-58-26,True,NotMatch
33110653,PMC7574794,Clear Cell Hidradenoma of the Breast Diagnosed on a Core Needle Biopsy: A case report and review of the literature.,Sultan Qaboos Univ Med J,2023-12-17-21-58-26,True,Match
34745849,PMC8564211,Expression and Significance of AQP3 in Cutaneous Lesions.,Anal Cell Pathol (Amst),2023-12-17-21-58-26,True,NotMatch
34926057,PMC8671072,Syringomatous Adenoma of the Nipple in a Male Breast: A Case Report With a Brief Review of Literature and Histomorphological Approach to Diagnosis.,Cureus,2023-12-17-21-58-26,True,NotMatch
35158743,PMC8833812,Recent Advances on Immunohistochemistry and Molecular Biology for the Diagnosis of Adnexal Sweat Gland Tumors.,Cancers (Basel),2023-12-17-21-58-26,True,NotMatch
35199797,PMC9200037,Recurrent Eccrine Acrospiroma of the Parotid Region: A Case Report.,JNMA J Nepal Med Assoc,2023-12-17-21-58-26,True,NotMatch
35919844,PMC9340293,Co-existence of mixed meibomian gland and ductal adenoma with an apocrine sweat gland cyst in a dog: histological and immunohistochemical analyses.,Vet Res Forum,2023-12-17-21-58-26,True,NotMatch
36238890,PMC9431981,Syringomatous Adenoma of the Nipple on Screening Mammography: A Case Report.,Taehan Yongsang Uihakhoe Chi,2023-12-17-21-58-26,True,NotMatch
