pmcid,figure_name,width,height
PMC3229053,ad-23-S151-i001.jpg,672,286
PMC3229053,ad-23-S151-g002.jpg,647,486
PMC3229053,ad-23-S151-g001.jpg,482,365
PMC3505290,IJSTD-33-124-g005.jpg,514,538
PMC3505290,IJSTD-33-124-g003.jpg,717,538
PMC3505290,IJSTD-33-124-g006.jpg,726,538
PMC3505290,IJSTD-33-124-g001.jpg,365,539
PMC3505290,IJSTD-33-124-g004.jpg,401,535
PMC3505290,IJSTD-33-124-g002.jpg,365,538
PMC4294179,eplasty15ic01_fig3.jpg,800,569
PMC4294179,eplasty15ic01_fig2.jpg,800,797
PMC4294179,eplasty15ic01_fig1.jpg,800,800
PMC3685341,WO-17-20415-g004.jpg,792,591
PMC3685341,WO-17-20415-g001.jpg,793,615
PMC3685341,WO-17-20415-g005.jpg,793,598
PMC3685341,WO-17-20415-g003.jpg,793,591
PMC3685341,WO-17-20415-g002.jpg,792,591
PMC4540562,abd-90-03-s1-0242-g01.jpg,771,597
PMC4540562,abd-90-03-s1-0242-g02.jpg,771,282
PMC4540512,abd-90-03-s1-0069-g02.jpg,771,766
PMC4540512,abd-90-03-s1-0069-g01.jpg,771,547
PMC5598299,MEAJO-24-103-g001.jpg,668,586
PMC5598299,MEAJO-24-103-g002.jpg,781,586
PMC6023949,medi-97-e11154-g003.jpg,800,601
PMC6023949,medi-97-e11154-g004.jpg,800,601
PMC6023949,medi-97-e11154-g002.jpg,800,1086
PMC6023949,medi-97-e11154-g001.jpg,800,584
PMC2071355,brjcancer00487-0054-a.jpg,412,671
PMC2071355,brjcancer00487-0053-a.jpg,453,615
PMC2071355,brjcancer00487-0055-a.jpg,410,669
PMC5674711,abd-92-05-0721-g01.jpg,600,751
PMC5674711,abd-92-05-0721-g04.jpg,600,455
PMC5674711,abd-92-05-0721-g02.jpg,600,692
PMC5674711,abd-92-05-0721-g03.jpg,600,557
PMC6689838,PAMJ-33-70-g001.jpg,332,316
PMC6256207,abd-93-06-0896-g04.jpg,771,1079
PMC6256207,abd-93-06-0896-g03.jpg,771,551
PMC6256207,abd-93-06-0896-g02.jpg,771,1079
PMC6256207,abd-93-06-0896-g05.jpg,771,551
PMC6256207,abd-93-06-0896-g01.jpg,771,219
PMC7071686,13000_2020_945_Fig1_HTML.jpg,778,421
PMC7071686,13000_2020_945_Fig2_HTML.jpg,709,383
PMC6819710,gr2.jpg,738,554
PMC6819710,gr3.jpg,738,554
PMC6819710,gr1.jpg,669,502
PMC7574794,squmj2008-e357-361f2.jpg,709,466
PMC7574794,squmj2008-e357-361f4.jpg,709,492
PMC7574794,squmj2008-e357-361f3.jpg,708,466
PMC7574794,squmj2008-e357-361f1.jpg,709,395
PMC8564211,ACP2021-7866471.002.jpg,730,308
PMC8564211,ACP2021-7866471.001.jpg,686,175
PMC8564211,ACP2021-7866471.003.jpg,730,623
PMC8564211,ACP2021-7866471.004.jpg,730,1261
PMC8671072,cureus-0013-00000019586-i05.jpg,750,188
PMC8671072,cureus-0013-00000019586-i01.jpg,750,296
PMC8671072,cureus-0013-00000019586-i04.jpg,750,188
PMC8671072,cureus-0013-00000019586-i03.jpg,750,605
PMC8671072,cureus-0013-00000019586-i02.jpg,750,296
PMC9200037,JNMA-59-244-1307-g3.jpg,750,188
PMC9200037,JNMA-59-244-1307-g2.jpg,460,382
PMC9200037,JNMA-59-244-1307-g1.jpg,455,300
PMC9340293,vrf-13-289-g002.jpg,719,123
PMC9340293,vrf-13-289-g003.jpg,684,267
PMC9340293,vrf-13-289-g001.jpg,685,299
PMC9340293,vrf-13-289-g004.jpg,719,124
PMC8833812,cancers-14-00476-g005.jpg,719,666
PMC8833812,cancers-14-00476-g003.jpg,719,450
PMC8833812,cancers-14-00476-g008.jpg,750,469
PMC8833812,cancers-14-00476-g009.jpg,775,720
PMC8833812,cancers-14-00476-g004.jpg,716,451
PMC8833812,cancers-14-00476-g002.jpg,750,464
PMC8833812,cancers-14-00476-g007.jpg,718,448
PMC8833812,cancers-14-00476-g001.jpg,799,743
PMC8833812,cancers-14-00476-g006.jpg,717,450
PMC9431981,jksr-82-1565-g001.jpg,691,172
PMC6466859,SCI2019-9320701.001.jpg,785,997
PMC6466859,SCI2019-9320701.002.jpg,793,1154
PMC6466859,SCI2019-9320701.003.jpg,738,566
PMC6466859,SCI2019-9320701.005.jpg,672,573
PMC6466859,SCI2019-9320701.004.jpg,746,598
PMC6466859,SCI2019-9320701.006.jpg,671,389
