pmcid,figure_name,width,height
PMC1555608,1742-4690-3-50-1.jpg,600,825
PMC7112430,gr2_lrg.jpg,777,619
PMC7112430,gr1_lrg.jpg,720,404
PMC7112430,gr3_lrg.jpg,800,388
PMC1977688,brjcancer00074-0149-a.jpg,570,354
PMC3130707,1756-0381-4-17-2.jpg,600,450
PMC3130707,1756-0381-4-17-1.jpg,600,424
PMC3130707,1756-0381-4-17-3.jpg,600,450
PMC4284927,CRIHEM2014-917369.002.jpg,750,932
PMC4284927,CRIHEM2014-917369.003.jpg,750,555
PMC4284927,CRIHEM2014-917369.001.jpg,750,750
PMC4554315,jds-16-214-g001.jpg,666,258
PMC4554315,jds-16-214-g002.jpg,733,297
PMC4317909,cas0105-0897-t2.jpg,800,194
PMC4317909,cas0105-0897-f1.jpg,686,1075
PMC4317909,cas0105-0897-f4.jpg,692,1175
PMC4317909,cas0105-0897-f3.jpg,685,503
PMC4317909,cas0105-0897-m1.jpg,276,15
PMC4317909,cas0105-0897-m2.jpg,331,15
PMC4317909,cas0105-0897-f2.jpg,686,561
PMC5491815,1349-7235-56-1193-g003.jpg,708,403
PMC5491815,1349-7235-56-1193-g002.jpg,756,484
PMC5491815,1349-7235-56-1193-g001.jpg,661,951
PMC5491815,1349-7235-56-1193-g004.jpg,756,424
PMC5122274,IJD-61-608-g004.jpg,776,587
PMC5122274,IJD-61-608-g011.jpg,558,586
PMC5122274,IJD-61-608-g002.jpg,538,335
PMC5122274,IJD-61-608-g010.jpg,1010,170
PMC5122274,IJD-61-608-g012.jpg,539,448
PMC5122274,IJD-61-608-g007.jpg,1010,369
PMC5122274,IJD-61-608-g013.jpg,539,259
PMC5122274,IJD-61-608-g009.jpg,1010,860
PMC5122274,IJD-61-608-g001.jpg,1010,249
PMC5122274,IJD-61-608-g014.jpg,487,710
PMC5122274,IJD-61-608-g006.jpg,487,295
PMC5122274,IJD-61-608-g003.jpg,1010,359
PMC5122274,IJD-61-608-g008.jpg,538,258
PMC5122274,IJD-61-608-g005.jpg,465,587
PMC5442215,fonc-07-00091-g001.jpg,649,458
PMC5438227,1657-9534-cm-48-01-00035-gf6.jpg,750,578
PMC5438227,1657-9534-cm-48-01-00035-gf5.jpg,750,289
PMC5438227,1657-9534-cm-48-01-00035-gf2.jpg,750,290
PMC5438227,1657-9534-cm-48-01-00035-gf4.jpg,800,213
