pmid,pmcid,title,journal,insert_time,label,caption,graphic
15743526,PMC555587,The discovery of the first human retrovirus: HTLV-1 and HTLV-2.,Retrovirology,2023-12-17-22-11-39,,,
16899128,PMC1555608,HTLV-1 Tax: centrosome amplification and cancer.,Retrovirology,2023-12-17-22-11-39,Figure 1,"Role of Tax binding proteins in centrosomal abnormalities observed in ATL cells. (A) TaxBP181 (hsMad1). During interphase TaxBP181 (light blue) is localized to the nucleus (yellow) and some co-localize with Tax (green) in infected cells. During the transition to prophase (1) in normal cells, TaxBP181 localizes to the kinetochores of chromosomes and allows proper segregation. (2) In normal cells during anaphase and telophase, TaxBP181 localizes to the midbody and finally in newly formed progeny nuclei. (3) When Tax is expressed in ATL cells, TaxBP181 is translocated to the nucleus, allowing for chromosome missegregation, resulting in multinucleated cells (4). (B) RanBP1. During interphase, Tax (green) is found in the nucleus and a portion is co-localized with RanBP1 (purple) on centrosomes. Interaction of Tax with RanBP1 dysregulates the centrosome duplication pathway resulting in cells with two or more centrosomes following mitosis. (C) Tax1BP2. During interphase Tax (green) is expressed in the nucleus and a portion co-localizes with pericentrin (purple) in centrosomes. During S phase centrosomes are duplicated. However, the interaction of Tax with Tax1BP2 (yellow) disrupts the normal controls that prevent centrosome re-duplication resulting in cells with more than two centrosomes. During mitosis, supernumerary centrosomes are separated into two daughter cells resulting in a percentage of cells with two or more centrosomes.",1742-4690-3-50-1
1911223,PMC1977688,Immunocytochemical demonstration of PTHrP protein in neoplastic tissue of HTLV-1 positive human adult T cell leukaemia/lymphoma: implications for the mechanism of hypercalcaemia.,Br J Cancer,2023-12-17-22-11-39,Figure 1,,brjcancer00074-0149-a
20211490,PMC7112430,Genomic instability and rapid clinical course in adult T-cell lymphoma/leukemia patient.,Leuk Res,2023-12-17-22-11-39,Fig. 1,Peripheral blood smear illustrating abnormal lymphocytes with indented or lobulated nuclei and irregular nuclear borders described as clover leaf cells as well larger cells with more dispersed chromatin and a cerebriform-shaped nucleus and clumped chromatin.,gr1_lrg
20211490,PMC7112430,Genomic instability and rapid clinical course in adult T-cell lymphoma/leukemia patient.,Leuk Res,2023-12-17-22-11-39,Fig. 2,"Karyotype from the leukemic blood cell of a patient showing deletion of chromosome 3 and 14 as well as rearrangement of chromosome 7, monosomy 13 and an extra isochromosome 18 (A). Partial karyotypes displaying extensive and varied forms of genomic anomalies involving chromosomes 3, 7, 13, 14, 18 and 19 (B). Hypo-tetraploid metaphase with multiple anomalies (C). Clonal evolution in a patient detected in the sideline karyotype showing an abnormal chromosome 11 indicative of an additional chromosomal change in the ATLL karyotype (D).",gr2_lrg
20211490,PMC7112430,Genomic instability and rapid clinical course in adult T-cell lymphoma/leukemia patient.,Leuk Res,2023-12-17-22-11-39,Fig. 3,"Fluorescence in situ hybridization studies applying the LSI IGH (green)/BCL (red) probe showing two normal green signals of IGH on chromosome 14 and 4 red signal of the BCL gene indicative of the presence of two normal chromosomes 18 and an additional isochromosome 18 (A). Combination of LSI 7p (green)/7q (red) and MLL probe showing normal signal pattern on the add(7)(q) and add(11) chromosomes confirming the rearrangements of chromosomes 7 and (B and C). The green signal of the rearranged chromosome 7 hybridizing to 7p10 appeared double sized compared with the signal on normal chromosome 7 indicating duplication of the centromeric region (Fig. 2D). (For interpretation of the references to color in this figure legend, the reader is referred to the web version of the article.)",gr3_lrg
21234251,PMC3019594,"Localized nasal cavity, sinus, and massive bilateral orbital involvement by human T cell leukemia virus 1 adult T cell lymphoma, with epidermal hypertrophy due to mite infestation.",Rare Tumors,2023-12-17-22-11-39,Figure 1,Hypertrophied upper eye lids.,rt-2010-4-e59-g001
21234251,PMC3019594,"Localized nasal cavity, sinus, and massive bilateral orbital involvement by human T cell leukemia virus 1 adult T cell lymphoma, with epidermal hypertrophy due to mite infestation.",Rare Tumors,2023-12-17-22-11-39,Figure 2,Computed tomography depicting encasement of optic nerve by tumor.,rt-2010-4-e59-g002
21234251,PMC3019594,"Localized nasal cavity, sinus, and massive bilateral orbital involvement by human T cell leukemia virus 1 adult T cell lymphoma, with epidermal hypertrophy due to mite infestation.",Rare Tumors,2023-12-17-22-11-39,Figure 3,"(A) Biopsy showed large, highly pleomorphic, and hyperchromatic cells infiltrates. Hemotoxylin-Eosin stain © 200× magnification. Immunohistochemical studies performed on paraffin sections at 200× magnification: (B) CD 45 (C) CD3 (D) CD45RO (E) CD20 (F) CD79a",rt-2010-4-e59-g003
21234251,PMC3019594,"Localized nasal cavity, sinus, and massive bilateral orbital involvement by human T cell leukemia virus 1 adult T cell lymphoma, with epidermal hypertrophy due to mite infestation.",Rare Tumors,2023-12-17-22-11-39,Figure 4,Skin biopsy taken from patient revealing mite infestation.,rt-2010-4-e59-g004
