pmid,pmcid,title,journal,insert_time
16129702,PMC1378109,MCP-1 overexpressed in tuberous sclerosis lesions acts as a paracrine factor for tumor development.,J Exp Med,2023-12-17-22-02-55
16361146,PMC1665243,Imaging of lumps and bumps in the nose: a review of sinonasal tumours.,Cancer Imaging,2023-12-17-22-02-55
16891831,PMC2729909,Recurrent juvenile nasopharyngeal angiofibroma treated with gamma knife surgery.,J Korean Med Sci,2023-12-17-22-02-55
17143426,PMC9445678,Endoscopic surgery of nasopharyngeal angiofibroma.,Braz J Otorhinolaryngol,2023-12-17-22-02-55
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2023-12-17-22-02-55
18706100,PMC2535598,Radiofrequency-induced thermotherapy of nasopharyngeal angiofibroma and immunohistochemical analysis of vessel proliferation: a case report.,J Med Case Rep,2023-12-17-22-02-55
18852986,PMC9442087,Surgical treatment of non-embolized patients with nasoangiofibroma.,Braz J Otorhinolaryngol,2023-12-17-22-02-55
19115994,PMC2636789,Recurrent retroperitoneal hemorrhage in a patient with tuberous sclerosis complex: a case report.,Cases J,2023-12-17-22-02-55
19644547,PMC2715461,Cellular angiofibroma of oral mucosa: report of two cases.,Head Neck Pathol,2023-12-17-22-02-55
19668408,PMC2698692,Pyocele of the lachrymal sac: A late and unusual complication after surgery for a juvenile nasopharyngeal angiofibroma.,Clin Ophthalmol,2023-12-17-22-02-55
20199940,PMC2842180,The role of radiology in head and neck tumours in children.,Cancer Imaging,2023-12-17-22-02-55
20549087,PMC9446179,A seven-year experience with patients with juvenile nasopharyngeal angiofibroma.,Braz J Otorhinolaryngol,2023-12-17-22-02-55
20689199,PMC2992919,A case of central retinal artery occlusion following embolization procedure for juvenile nasopharyngeal angiofibroma.,Indian J Ophthalmol,2023-12-17-22-02-55
21878118,PMC3179756,Angiofibroma of the spermatic cord: a case report and a review of the literature.,J Med Case Rep,2023-12-17-22-02-55
21938166,PMC3168009,Fine needle aspiration cytology of parapharyngeal tumors.,J Cytol,2023-12-17-22-02-55
22030982,PMC9444547,Juvenile nasopharyngeal angiofibroma with intradural extension.,Braz J Otorhinolaryngol,2023-12-17-22-02-55
22164185,PMC3228400,Juvenile angiofibroma: evolution of management.,Int J Pediatr,2023-12-17-22-02-55
22392242,PMC9444542,Comparison between endoscopic and open surgery in 37 patients with nasopharyngeal angiofibroma.,Braz J Otorhinolaryngol,2023-12-17-22-02-55
