pmcid,label,caption,graphic,disease,modality
PMC2729909,Fig. 1,Preoperative axial Gd-DTPA-enhanced T1-weighted magnetic resonance image (A) demonstrating homogeneously enhancing mass in the right orbit. This mass was subtotally removed with small residual remaining in the orbital cone as postoperative computed tomography shows (B).,jkms-21-773-g001,NotMatch,NotMatch
PMC2729909,Fig. 2,"Histopathological appearance of juvenile nasopharyngeal angiofibroma. Note typical feature of dense fibro-colllagenous tissue with interspersed slit-like and gaping vascular channels (H&E, ×45).",jkms-21-773-g002,Match,Match
PMC2729909,Fig. 3,Axial (A) and sagittal (B) Gd-DTPA-enhanced T1-weighted magnetic resonance images obtained four years after the initial surgery. Multilobulated homogeneously enhancing recurrent mass in the right orbit extending to the inferior orbital fissure and cavernous sinus is shown.,jkms-21-773-g003,NotMatch,NotMatch
PMC2729909,Fig. 4,Axial Gd-DTPA-enhanced T1-weighted magnetic resonance image showing dose distribution for gamma knife surgery. Total volume is measured 6.8 cm3. A dose of 17 Gy was delivered to the 50% isodose line of tumor margin.,jkms-21-773-g004,NotMatch,NotMatch
PMC2729909,Fig. 5,"Serial follow-up Gd-DTPA-enhanced T1-weighted magnetic resonance images after gamma knife surgery. Gradual decrease in size of the mass is noted after a year with total volume of 2.2 cm3 (A) and two years with 0.97 cm3 (B), and finally disappeared four years after the gamma knife surgery (C).",jkms-21-773-g005,NotMatch,NotMatch
PMC1378109,Figure 1.,"CD68-positive cells are more abundant in TSC skin tumors than in normal-appearing skin from a patient with TSC. (A) In sections of normal-appearing skin, cells staining for CD68 (brown) are sparse in the dermis. Bar, 65 μm. (B) In sections of a periungual fibroma, there are dilated vessels and fibrosis and a more cellular stroma. Many stromal cells stain positive for CD68. Bar, 65 μm. (C) CD68-positive cells are located near vessels among CD68-negative, fibroblast-like cells. Bar, 15 μm. Similar results were observed in four angiofibromas and four periungual fibromas from six patients.",20042469f1,Match,NotMatch
PMC1378109,Figure 2.,"Cells cultured from TSC skin tumors express the fibroblast marker HSP47 but not CD68. The cytoplasm of TSC fibroblasts (A) and angiofibroma cells (B) stain positive for HSP47 (green), whereas U937 cells (C), a human monocytic cell line, are negative. In contrast, the cytoplasm of TSC fibroblasts (D) and angiofibroma cells (E) are negative for CD68, and the cytoplasm of U937 cells (F) stains positive (green). Nuclei fluoresce blue with DAPI. Bar, 15 μm. Similar results were observed in cells from two other patients.",20042469f2,Match,NotMatch
PMC1378109,Figure 3.,"Measurement of cytokines in culture supernatants reveals increased production of MCP-1 by angiofibroma cells. Fibroblasts from normal-appearing skin (NL) or angiofibroma cells (AF) from seven patients were incubated in 1% FBS/DMEM for 24 h, and supernatants were collected for cytokine measurement using ELISA. Lines connect paired samples for each patient. The inset shows the data as a box plot. *, P = 0.018.",20042469f3,Match,NotMatch
PMC1378109,Figure 4.,"MCP-1 production is stimulated by FBS. Paired cultures of angiofibroma cells (AF) and TSC fibroblasts (NL) from two patients were seeded at 10,000 cells/well in 96-well plates, in DMEM containing 0%, 1%, 2%, or 10% FBS (1% BSA was added to the 0% FBS condition). After a 12-h incubation, MCP-1 concentration in the medium was measured by ELISA (pg/ml), and expressed per total cellular ATP (luminescence units) as an indication of cell number. Results are means ± SD of values from triplicate wells. Fresh medium with 10% FBS does not contain detectable MCP-1.",20042469f4,Match,NotMatch
PMC1378109,Figure 5.,"MCP-1 produced by TSC tumor cells is chemotactic for monocytes. Conditioned medium (CM), from TSC fibroblasts (closed bars) or angiofibroma cells (open bars), CM plus control antibody, or CM plus anti-MCP-1 antibody was added to the bottom chamber of cell migration plates. THP-1 cells (a human monocytic cell line) were added to the top chamber. Cells that migrated through 8-μm pores to the feeder tray after a 2-h incubation were lysed and detected by CyQuant GR dye that exhibits enhanced fluorescence upon binding cellular nucleic acids. Results are geometric means ± SD of values from three separate migration chambers. *, P = 0.019 and **, P = 0.007 as compared with CM from TSC fibroblasts. Conditioned medium from angiofibroma cells or TSC fibroblasts contained 1640 and 60 pg/ml MCP-1, respectively. Similar results were observed in three separate experiments.",20042469f5,Match,NotMatch
PMC1378109,Figure 6.,"EEF Tsc2
−/− fibroblasts produced more MCP-1 than normal (EEF Tsc2
+/+) fibroblasts. Culture supernatants were collected after incubating EEF cells for the indicated time, and MCP-1 in the medium was measured by ELISA. Results are means ± SD of triplicate supernatants.",20042469f6,NotMatch,NotMatch
PMC1378109,Figure 7.,"Transfection of WT but not mutant TSC2 into EEF Tsc2
−/− cells inhibits MCP-1 production. EEF Tsc2
−/− cells were transfected with the indicated amounts of human TSC2 constructs and/or empty vector. In the last lane, EEF Tsc2+/+ cells were transfected with empty vector. After transfection, cells were maintained in DMEM with 10% FBS overnight before the culture medium was replaced with DMEM containing 2% FBS; then incubation continued for an additional 24 h. The cells were harvested, and tuberin expression was detected by Western blot. Culture supernatants were collected, and MCP-1 release into the medium was measured by ELISA. Results are the mean ± SD of three separate wells. M1, mutation G294E; M2, mutation I365del; P1, polymorphism M286V; P2, polymorphism R367Q. *P, < 0.01 compared with empty vector control. Similar results were obtained in three separate experiments.",20042469f7,NotMatch,NotMatch
