pmcid,figure_name,width,height
PMC2729909,jkms-21-773-g001.jpg,635,302
PMC2729909,jkms-21-773-g003.jpg,635,302
PMC2729909,jkms-21-773-g002.jpg,473,473
PMC2729909,jkms-21-773-g005.jpg,635,302
PMC2729909,jkms-21-773-g004.jpg,473,473
PMC1378109,20042469f6.jpg,720,628
PMC1378109,20042469f5.jpg,720,447
PMC1378109,20042469f1.jpg,714,853
PMC1378109,20042469f8.jpg,720,482
PMC1378109,20042469f4.jpg,720,517
PMC1378109,20042469f2.jpg,640,306
PMC1378109,20042469f3.jpg,720,524
PMC1378109,20042469f7.jpg,716,720
PMC2225390,1746-1596-2-47-3.jpg,600,450
PMC2225390,1746-1596-2-47-1.jpg,600,450
PMC2225390,1746-1596-2-47-2.jpg,600,450
PMC9445678,gr2.jpg,682,512
PMC9445678,gr4.jpg,682,515
PMC9445678,gr3.jpg,682,513
PMC9445678,gr5.jpg,682,173
PMC9445678,gr1.jpg,682,513
PMC9442087,gr1.jpg,707,397
PMC2535598,1752-1947-2-278-1.jpg,600,467
PMC2535598,1752-1947-2-278-4.jpg,600,444
PMC2535598,1752-1947-2-278-2.jpg,600,220
PMC2535598,1752-1947-2-278-3.jpg,600,466
PMC2715461,12105_2009_112_Fig1_HTML.jpg,488,701
PMC2636789,1757-1626-1-424-3.jpg,600,447
PMC2636789,1757-1626-1-424-1.jpg,534,426
PMC2636789,1757-1626-1-424-2.jpg,600,712
PMC2636789,1757-1626-1-424-4.jpg,434,473
PMC2636789,1757-1626-1-424-5.jpg,600,591
PMC2842180,ci10000309.jpg,425,393
PMC2842180,ci10000301.jpg,425,369
PMC2842180,ci100003011.jpg,477,202
PMC2842180,ci10000308.jpg,480,300
PMC2842180,ci100003010.jpg,425,428
PMC2842180,ci10000303.jpg,425,390
PMC2842180,ci10000307.jpg,480,290
PMC2842180,ci10000302.jpg,425,543
PMC2842180,ci10000306.jpg,425,448
PMC2842180,ci10000304.jpg,425,425
PMC2842180,ci100003012.jpg,480,211
PMC2842180,ci10000305.jpg,425,367
PMC2992919,IJO-58-419-g001.jpg,669,468
PMC2698692,co-2-211f2.jpg,574,463
PMC2698692,co-2-211f3.jpg,639,269
PMC2698692,co-2-211f1.jpg,573,518
PMC3168009,JCytol-26-102-g002.jpg,576,521
PMC3168009,JCytol-26-102-g001.jpg,559,359
PMC9444547,gr1.jpg,709,710
PMC3179756,1752-1947-5-423-1.jpg,600,450
PMC3179756,1752-1947-5-423-4.jpg,600,450
PMC3179756,1752-1947-5-423-2.jpg,600,800
PMC3179756,1752-1947-5-423-5.jpg,600,450
PMC3179756,1752-1947-5-423-3.jpg,600,450
PMC1665243,ci05016707.jpg,432,434
PMC1665243,ci05016711.jpg,432,450
PMC1665243,ci05016708.jpg,432,436
PMC1665243,ci05016703.jpg,432,468
PMC1665243,ci05016712.jpg,432,448
PMC1665243,ci05016702.jpg,432,364
PMC1665243,ci05016714.jpg,432,430
PMC1665243,ci05016706.jpg,432,342
PMC1665243,ci05016710.jpg,432,438
PMC1665243,ci05016715.jpg,432,482
PMC1665243,ci05016704.jpg,432,358
PMC1665243,ci05016705.jpg,432,436
PMC1665243,ci05016713.jpg,432,388
PMC1665243,ci05016701.jpg,432,406
PMC1665243,ci05016709.jpg,432,424
PMC3560963,405_2012_2041_Fig2_HTML.jpg,646,637
PMC3560963,405_2012_2041_Fig1_HTML.jpg,646,659
PMC3560963,405_2012_2041_Fig3_HTML.jpg,645,484
PMC3420791,CRIM.PATHOLOGY2012-408575.004.jpg,600,459
PMC3420791,CRIM.PATHOLOGY2012-408575.002.jpg,600,508
PMC3420791,CRIM.PATHOLOGY2012-408575.006.jpg,600,459
PMC3420791,CRIM.PATHOLOGY2012-408575.001.jpg,600,459
PMC3420791,CRIM.PATHOLOGY2012-408575.003.jpg,600,473
PMC3420791,CRIM.PATHOLOGY2012-408575.005.jpg,600,459
PMC3228400,IJPED2012-412545.001.jpg,600,972
PMC3228400,IJPED2012-412545.002.jpg,600,463
PMC3228400,IJPED2012-412545.004.jpg,600,609
PMC3228400,IJPED2012-412545.003.jpg,600,1036
PMC3504515,1748-717X-7-170-4.jpg,255,256
PMC3504515,1748-717X-7-170-2.jpg,219,228
PMC3504515,1748-717X-7-170-1.jpg,378,142
PMC3504515,1748-717X-7-170-3.jpg,338,343
PMC3558286,AIM-20-261_F3.jpg,756,567
PMC3558286,AIM-20-261_F2.jpg,756,646
PMC3558286,AIM-20-261_F1.jpg,756,568
PMC3420430,CRIM.OTOLARYNGOLOGY2012-786262.001.jpg,600,1255
PMC3420430,CRIM.OTOLARYNGOLOGY2012-786262.002.jpg,493,4040
PMC3586446,CRIM.OTOLARYNGOLOGY2013-175326.001.jpg,600,549
PMC3586446,CRIM.OTOLARYNGOLOGY2013-175326.002.jpg,701,328
PMC3586446,CRIM.OTOLARYNGOLOGY2013-175326.003.jpg,600,557
PMC3700153,NJMS-3-180-g004.jpg,554,483
