pmcid,figure_name,width,height
PMC2718203,kjr-1-212-g001.jpg,665,767
PMC2386797,1752-1947-2-129-1.jpg,256,256
PMC2386797,1752-1947-2-129-3.jpg,600,320
PMC2386797,1752-1947-2-129-2.jpg,600,480
PMC2740257,1757-1626-0002-0000007099-004.jpg,502,378
PMC2740257,1757-1626-0002-0000007099-003.jpg,502,322
PMC2740257,1757-1626-0002-0000007099-001.jpg,502,503
PMC2740257,1757-1626-0002-0000007099-002.jpg,502,396
PMC2861054,1758-2555-2-10-1.jpg,600,799
PMC2861054,1758-2555-2-10-2.jpg,600,450
PMC2861054,1758-2555-2-10-4.jpg,600,438
PMC2861054,1758-2555-2-10-3.jpg,600,724
PMC2267467,1477-7819-6-11-10.jpg,600,450
PMC2267467,1477-7819-6-11-2.jpg,600,498
PMC2267467,1477-7819-6-11-8.jpg,600,450
PMC2267467,1477-7819-6-11-6.jpg,600,800
PMC2267467,1477-7819-6-11-3.jpg,600,420
PMC2267467,1477-7819-6-11-11.jpg,600,450
PMC2267467,1477-7819-6-11-1.jpg,600,800
PMC2267467,1477-7819-6-11-5.jpg,518,525
PMC2267467,1477-7819-6-11-4.jpg,600,404
PMC2267467,1477-7819-6-11-7.jpg,600,800
PMC2267467,1477-7819-6-11-12.jpg,600,475
PMC2267467,1477-7819-6-11-13.jpg,600,450
PMC2267467,1477-7819-6-11-9.jpg,600,450
PMC3424950,JOMFP-16-283-g003.jpg,724,269
PMC3424950,JOMFP-16-283-g002.jpg,544,453
PMC3424950,JOMFP-16-283-g001.jpg,1158,270
PMC3467378,jkns-52-161-g004.jpg,712,691
PMC3467378,jkns-52-161-g001.jpg,710,647
PMC3467378,jkns-52-161-g002.jpg,744,257
PMC3467378,jkns-52-161-g003.jpg,652,231
PMC3481931,IDOJ-3-40-g003.jpg,562,422
PMC3481931,IDOJ-3-40-g001.jpg,562,422
PMC3481931,IDOJ-3-40-g002.jpg,563,422
PMC3505328,JNRP-3-341-g003.jpg,724,538
PMC3505328,JNRP-3-341-g002.jpg,392,538
PMC3505328,JNRP-3-341-g001.jpg,740,236
PMC3641919,PAMJ-14-77-g001.jpg,658,486
PMC3608256,1477-7819-11-69-1.jpg,600,265
PMC3608256,1477-7819-11-69-3.jpg,600,898
PMC3608256,1477-7819-11-69-2.jpg,600,1158
PMC3678437,CRIM.NM2013-519341.001.jpg,600,341
PMC3678437,CRIM.NM2013-519341.002.jpg,700,908
PMC3678437,CRIM.NM2013-519341.003.jpg,600,475
PMC3303500,JOMFP-16-103-g003.jpg,756,567
PMC3303500,JOMFP-16-103-g004.jpg,756,567
PMC3303500,JOMFP-16-103-g001.jpg,705,567
PMC3303500,JOMFP-16-103-g007.jpg,781,586
PMC3303500,JOMFP-16-103-g005.jpg,756,567
PMC3303500,JOMFP-16-103-g002.jpg,779,545
PMC3303500,JOMFP-16-103-g006.jpg,756,567
PMC3303500,JOMFP-16-103-g008.jpg,781,586
PMC3303500,JOMFP-16-103-g009.jpg,486,197
PMC4061575,SNI-5-79-g002.jpg,620,414
PMC4061575,SNI-5-79-g001.jpg,554,358
PMC4275755,1752-1947-8-377-2.jpg,600,338
PMC4275755,1752-1947-8-377-3.jpg,600,225
PMC4275755,1752-1947-8-377-1.jpg,600,372
PMC3772264,kjr-14-810-g002.jpg,709,715
PMC3772264,kjr-14-810-i001.jpg,1200,378
PMC3772264,kjr-14-810-g003.jpg,756,767
PMC3772264,kjr-14-810-i002.jpg,1200,664
PMC3772264,kjr-14-810-g001.jpg,756,760
PMC4278084,SNI-5-164-g002.jpg,558,402
PMC4278084,SNI-5-164-g001.jpg,629,254
PMC4014821,SNI-5-50-g004.jpg,740,254
PMC4014821,SNI-5-50-g001.jpg,742,272
PMC4014821,SNI-5-50-g003.jpg,556,854
PMC4014821,SNI-5-50-g007.jpg,740,367
PMC4014821,SNI-5-50-g006.jpg,740,243
PMC4014821,SNI-5-50-g005.jpg,474,537
PMC4014821,SNI-5-50-g002.jpg,741,269
PMC4301520,OL-09-02-0833-g00.jpg,602,404
PMC4301520,OL-09-02-0833-g02.jpg,602,401
PMC4301520,OL-09-02-0833-g03.jpg,602,856
PMC4301520,OL-09-02-0833-g01.jpg,602,406
PMC4309213,AORTH2015-501202.001.jpg,684,395
PMC4309213,AORTH2015-501202.002.jpg,636,366
PMC4309213,AORTH2015-501202.003.jpg,624,368
PMC4727632,Neurosciences-20-159-g003.jpg,640,512
PMC4727632,Neurosciences-20-159-g002.jpg,640,427
PMC4727632,Neurosciences-20-159-g001.jpg,640,472
PMC4300344,PG-9-24107-g004.jpg,763,719
PMC4300344,PG-9-24107-g002.jpg,763,761
PMC4300344,PG-9-24107-g003.jpg,763,760
PMC4300344,PG-9-24107-g005.jpg,763,760
PMC4300344,PG-9-24107-g001.jpg,763,651
PMC4697921,rjv16503.jpg,648,487
PMC4697921,rjv16501.jpg,648,699
PMC4697921,rjv16502.jpg,648,485
PMC4830460,rjw051f03.jpg,645,219
PMC4830460,rjw051f01.jpg,700,357
PMC4830460,rjw051f02.jpg,700,676
PMC4772527,13104_2016_1944_Fig4_HTML.jpg,638,615
PMC4772527,13104_2016_1944_Fig2_HTML.jpg,638,291
PMC4772527,13104_2016_1944_Fig3_HTML.jpg,784,238
PMC4772527,13104_2016_1944_Fig1_HTML.jpg,638,607
PMC4405967,NJMS-5-202-g003.jpg,539,181
PMC4405967,NJMS-5-202-g002.jpg,689,586
PMC4405967,NJMS-5-202-g005.jpg,782,586
PMC4405967,NJMS-5-202-g001.jpg,539,330
PMC4405967,NJMS-5-202-g004.jpg,785,586
PMC4974956,AJNS-11-348-g001.jpg,1010,313
PMC4974956,AJNS-11-348-g002.jpg,539,446
PMC4974956,AJNS-11-348-g005.jpg,1010,185
PMC4974956,AJNS-11-348-g004.jpg,626,587
PMC4974956,AJNS-11-348-g003.jpg,539,621
PMC5389016,eplasty17ic09_fig1.jpg,775,416
PMC5359808,13104_2017_2432_Fig2_HTML.jpg,784,442
PMC5359808,13104_2017_2432_Fig3_HTML.jpg,784,451
PMC5359808,13104_2017_2432_Fig1_HTML.jpg,784,434
PMC5131439,13019_2016_560_Fig1_HTML.jpg,472,279
PMC5131439,13019_2016_560_Fig3_HTML.jpg,472,260
PMC5131439,13019_2016_560_Fig2_HTML.jpg,358,484
PMC5429406,PAMJ-26-109-g001.jpg,695,337
PMC5406793,JOMFP-21-129-g003.jpg,539,340
PMC5406793,JOMFP-21-129-g006.jpg,782,587
PMC5406793,JOMFP-21-129-g004.jpg,782,587
PMC5406793,JOMFP-21-129-g005.jpg,781,587
PMC5406793,JOMFP-21-129-g001.jpg,628,587
PMC5406793,JOMFP-21-129-g002.jpg,539,375
PMC5482159,SNI-8-113-g001.jpg,539,299
PMC5482159,SNI-8-113-g002.jpg,539,230
PMC5490357,JCVJS-8-91-g001.jpg,539,555
PMC5490357,JCVJS-8-91-g002.jpg,1200,827
PMC5490357,JCVJS-8-91-g003.jpg,1010,296
PMC5442448,OC-07-13-g-002.jpg,681,532
PMC5442448,OC-07-13-g-001.jpg,682,455
PMC5525459,SNI-8-150-g004.jpg,486,184
PMC5525459,SNI-8-150-g003.jpg,470,352
PMC5525459,SNI-8-150-g002.jpg,471,352
PMC5525459,SNI-8-150-g005.jpg,488,123
PMC5525459,SNI-8-150-g001.jpg,470,352
PMC5565739,gr2.jpg,797,602
PMC5565739,gr1.jpg,797,260
PMC5678235,TONEUJ-11-20_F1.jpg,753,424
PMC5678235,TONEUJ-11-20_F2.jpg,772,341
PMC5418895,sicotj-3-34-fig3.jpg,784,692
PMC5418895,sicotj-3-34-fig21_small.jpg,100,26
PMC5418895,sicotj-3-34-fig19_small.jpg,100,37
PMC5418895,sicotj-3-34-fig20_small.jpg,100,44
PMC5418895,sicotj-3-34-fig12_small.jpg,100,31
PMC5418895,sicotj-3-34-fig5_small.jpg,100,52
PMC5418895,sicotj-3-34-fig11.jpg,778,349
PMC5418895,sicotj-3-34-fig2_small.jpg,100,29
PMC5418895,sicotj-3-34-fig17.jpg,796,544
PMC5418895,sicotj-3-34-fig12.jpg,482,152
PMC5418895,sicotj-3-34-fig16_small.jpg,100,81
PMC5418895,sicotj-3-34-fig10.jpg,484,344
PMC5418895,sicotj-3-34-fig6_small.jpg,100,69
PMC5418895,sicotj-3-34-fig3_small.jpg,100,88
PMC5418895,sicotj-3-34-fig15_small.jpg,100,27
PMC5418895,sicotj-3-34-fig6.jpg,410,283
PMC5418895,sicotj-3-34-fig1.jpg,780,452
PMC5418895,sicotj-3-34-fig4.jpg,787,578
