pmid,pmcid,title,journal,insert_time,label,caption,graphic
11752957,PMC2718203,Angiolipoma of the posterior mediastinum with extension into the spinal canal: a case report.,Korean J Radiol,2023-12-17-21-57-52,Fig. 1,"A 67-year-old woman with angiolipoma of the posterior mediastinum.A. Chest radiograph demonstrates a right paravertebral bulging mass (arrows).B. Unenhanced CT scan shows a lobulated right paravertebral mass (short arrows) with focal area (long slender arrow) of low attenuation (-31H).C. Contrast-enhanced CT scan obtained at the same level as in B depicts an elongated highly enhanced (105-160 H) mass (short arrows) extending into the spinal canal (arrowheads). Due to the greater proportion of fatty tissue it contains, the focal area of low attenuation observed on noncontrast CT scan shows a mild degree of enhancement (long slender arrow).D. Photograph of resected specimen shows a hypervascular lobulated mass with areas of yellowish fatty tissue (arrows).E. Photomicrograph shows a combination of mature adipose tissue and multiple small blood vessels (H & E).",kjr-1-212-g001
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 1,The soft nodular mass at the plantar surface of the forefoot.,1477-7819-6-11-1
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 2,Magnetic resonance imaging (MRI) revealed a well-defined mass located at the plantar forefoot with no apparent bone infiltration.,1477-7819-6-11-2
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 3,"The sagittal T1-weighted image. A lobulated, encapsulated, fatty mass with multiple hypointense nodules and septa in the subcutaneous layer of the forefoot, underneath the plantar aponeurosis.",1477-7819-6-11-3
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 4,The corresponding sagittal T1-weighted contrast enhanced image. The non-fatty component does not show any apparent enhancement.,1477-7819-6-11-4
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 5,The coronal STIR image through the phalanges. It showed signal suppression of the fatty component and high intensity of the non-fatty component.,1477-7819-6-11-5
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 6,The nodule was excised via a plantar approach using a longitudinal incision dictated by the morphology of the corn.,1477-7819-6-11-6
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 7,The mass was multilobular having a vascular pedicle which was cauterized.,1477-7819-6-11-7
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 8,Macroscopically the nodule measuring 7 × 4 × 4 cm and it was encapsulated.,1477-7819-6-11-8
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 9,Panoramic view (×4) depicting mature adipose and proliferated vascular tissue.,1477-7819-6-11-9
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 10,(×10) The mass was comprised of mature adipose and proliferated vascular tissue.,1477-7819-6-11-10
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 11,(×20) Thick-walled vessel with collagen deposition and obstruction of the lumen.,1477-7819-6-11-11
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 12,(×20) Very few capillaries demonstrated fibrin thrombi.,1477-7819-6-11-12
18234106,PMC2267467,Forefoot plantar multilobular noninfiltrating angiolipoma: a case report and review of the literature.,World J Surg Oncol,2023-12-17-21-57-52,Figure 13,(×10) Degenerative lesions of the adipose tissue.,1477-7819-6-11-13
18442422,PMC2386797,Rare ileal localisation of angiolipoma presenting as chronic haemorrhage and severe anaemia: a case report.,J Med Case Rep,2023-12-17-21-57-52,Figure 1,Ileal polypoid neoformation shown by capsule endoscopy.,1752-1947-2-129-1
18442422,PMC2386797,Rare ileal localisation of angiolipoma presenting as chronic haemorrhage and severe anaemia: a case report.,J Med Case Rep,2023-12-17-21-57-52,Figure 2,Ileal polypoid neoformation with a hypervascularised basement as it appeared during retrograde ileoscopy.,1752-1947-2-129-2
18442422,PMC2386797,Rare ileal localisation of angiolipoma presenting as chronic haemorrhage and severe anaemia: a case report.,J Med Case Rep,2023-12-17-21-57-52,Figure 3,"Specimen of the opened lesion and its microscopic appearance. Haematoxylin and eosin stain, magnification ×100.",1752-1947-2-129-3
19829910,PMC2740257,Ileal intussusception secondary to both lipoma and angiolipoma: a case report.,Cases J,2023-12-17-21-57-52,Figure 1.,Abdominal X-Ray in favor of bowel obstruction.,1757-1626-0002-0000007099-001
19829910,PMC2740257,Ileal intussusception secondary to both lipoma and angiolipoma: a case report.,Cases J,2023-12-17-21-57-52,Figure 2.,"Computed tomography of abdomen showing (A) distention of small intestine and air-fluid level, (B) target lesion that characteristic for intussusceptions, (C) air between intussuscepted two lumens of ileum.",1757-1626-0002-0000007099-002
19829910,PMC2740257,Ileal intussusception secondary to both lipoma and angiolipoma: a case report.,Cases J,2023-12-17-21-57-52,Figure 3.,Specimen of resected Ileum revealing multiple small lesions as a lead point of intussusception.,1757-1626-0002-0000007099-003
19829910,PMC2740257,Ileal intussusception secondary to both lipoma and angiolipoma: a case report.,Cases J,2023-12-17-21-57-52,Figure 4.,Low power pathologic appearance showing lipomatous (L) neoplasm adjacent to the mucosal layer (M).,1757-1626-0002-0000007099-004
20388202,PMC2861054,Intra-articular angiolipoma of the knee: a case report.,Sports Med Arthrosc Rehabil Ther Technol,2023-12-17-21-57-52,Figure 1,Preoprerative MRI. Magnetic resonance imaging of the right knee showed a 2.5 cm tumor located in the dorsal area of the posterior cruciate ligament (arrow). The tumor exhibited a fluctuating high and low signal intensity with low signal septa around the tumor on T2-weighted images.,1758-2555-2-10-1
20388202,PMC2861054,Intra-articular angiolipoma of the knee: a case report.,Sports Med Arthrosc Rehabil Ther Technol,2023-12-17-21-57-52,Figure 2,"Arthroscopic view of the knee. Arthroscopic view from infra-medial portal of the tumor (asterisk), situated between the posterior cruciate ligament (black arrow) and the posterior portion of the medial femoral condyle. The appearance of the polypoidal nodule resembled a bunch of grapes. (White arrow indicates capsule.)",1758-2555-2-10-2
20388202,PMC2861054,Intra-articular angiolipoma of the knee: a case report.,Sports Med Arthrosc Rehabil Ther Technol,2023-12-17-21-57-52,Figure 3,Gross appearance of the resected specimen. The macroscopic appearance of the resected tumor. The tumor consists of yellowish and reddish polylobular tissue.,1758-2555-2-10-3
20388202,PMC2861054,Intra-articular angiolipoma of the knee: a case report.,Sports Med Arthrosc Rehabil Ther Technol,2023-12-17-21-57-52,Figure 4,"Histologic appearance of the tumor. Histological appearance of an intra-articular angiolipoma. The tumor consists of mature adipose cells (black arrow) mixed with complicated and aggregated capillaries (white arrow). (Hematoxylin and eosin, original magnification ×40)",1758-2555-2-10-4
22438649,PMC3303500,Non-infiltrating angiolipoma of the upper lip: A rare entity.,J Oral Maxillofac Pathol,2023-12-17-21-57-52,Figure 1,Clinical photograph of patient,JOMFP-16-103-g001
