pmcid,label,caption,graphic,disease,modality
PMC4540500,FIGURE 1,"A. Clinical features. Deep-red macules, with purple-coloured
punctuate macules on the right sole. B. Clinical features. Deep-red
punctuate macules with a serpiginosum pattern are observed on the dorsum of the
right great toe",abd-90-03-s1-0026-g01,NotMatch,NotMatch
PMC4540500,FIGURE 2,"Dermoscopy shows an erythematous parallel ridge pattern with an irregular globular
component. The red bands are compose of reddish rows of dots and globules arranged
in a double line, and the openings of the acrosiringia are not affected",abd-90-03-s1-0026-g02,NotMatch,NotMatch
PMC4540500,FIGURE 3,"A. Multiple areas of glomerulated proliferation of dilated capillaries in the
superfi cial dermis of the acral skin (H&E x 100). Inset: glomerulated
proliferation of dilated capillaries. B. Negativity of the
immunohistochemical stains for estrogens and progesterone receptors (magnifi
cation × 400)",abd-90-03-s1-0026-g03,NotMatch,Match
PMC4817459,Figure 1,"Erythematous macules and papules, in a band-like distribution along T2 dermatome. Besides, discrete lesions can be noted",IJD-61-226-g001,NotMatch,NotMatch
PMC4817459,Figure 2,"Photomicrograph showing dilated capillaries with a thickened wall (H and E, ×40)",IJD-61-226-g002,NotMatch,NotMatch
PMC5029250,Figure 1,"Multiple nonblanchable grouped, pinpoint, red macules on an erythematous base. Note the blaschkoid distribution",IJD-61-570-g001,NotMatch,NotMatch
PMC5029250,Figure 2,"Photomicrograph showing dilated, thin-walled capillaries in the dermal papillae and the superficial reticular dermis (H and E, ×400)",IJD-61-570-g002,NotMatch,NotMatch
PMC5029250,Figure 3,"Photomicrograph showing dilated, thin-walled capillaries in the dermal papillae and the superficial reticular dermis (H and E, ×100)",IJD-61-570-g003,NotMatch,Match
PMC4144222,Figure 1,"Multiple, punctate macules in a serpiginious pattern against a bluish background on the right breast with a red smooth papule at the inferior aspect",IDOJ-5-316-g001,NotMatch,NotMatch
PMC4144222,Figure 2,Epiluminescence microscopy (×20) revealing the well demarcated red lagoon appearance,IDOJ-5-316-g002,NotMatch,NotMatch
PMC4144222,Figure 3,"Dilated thin walled capillaries (arrow) in the superficial papillary dermis with an unremarkable deep papillary and reticular dermis. There is no extravasation of erythrocytes, inflammatory cell infiltrate or deposition of hemosiderin in the surrounding tissue (H and E, ×200)",IDOJ-5-316-g003,NotMatch,NotMatch
PMC4144222,Figure 4,"Cuff of periodic acid-Schiff (PAS) positive diastase-resistant material (arrow) surrounding the dilated vessels (PAS, ×200)",IDOJ-5-316-g004,NotMatch,NotMatch
PMC4144222,Figure 5,"Well delineated papillary dermal lesion composed of closely placed ectatic thin walled capillaries engorged with erythrocytes (H and E, ×100)",IDOJ-5-316-g005,NotMatch,Match
PMC5885622,Figure 1,"Presence of bright red, nonblanchable macules and irregular patches in a blaschkoid pattern over the right upper limb and right side of the chest",IDOJ-9-127-g001,NotMatch,NotMatch
PMC5885622,Figure 2,Dermoscopy revealed multiple red oval to round lagoons (3Gen Dermlite DL4 Polarized Dermoscope),IDOJ-9-127-g002,NotMatch,NotMatch
PMC5885622,Figure 3,"(H and E, ×40) Histopathology revealed presence of multiple dilated capillaries with normal endothelial lining in papillary and superficial reticular dermis",IDOJ-9-127-g003,NotMatch,NotMatch
PMC2615349,Fig. 1,"(A) Grouped, punctate, erythematous macules on the left sole. (B) Similar lesions on toes. (C) Close-up view of the lesions on left sole.",ymj-49-509-g001,NotMatch,NotMatch
PMC2615349,Fig. 2,"(A) Hyperkeratosis and many dilated and proliferated capillaries in the papillary dermis (hematoxylin and eosin, original magnification × 100). (B) Dilated and proliferated congested capillaries at higher power (hematoxylin and eosin, original magnification × 200).",ymj-49-509-g002,NotMatch,Match
PMC8077343,FIGURE 1,Multiple scattered and confluent punctate erythematous to violaceous macules over the left side of the abdomen in T8‐T10 dermatomal distribution,CCR3-9-2225-g001,NotMatch,NotMatch
PMC8077343,FIGURE 2,"A, Section shows epidermis and dermis with papillomatosis and focal elongation of rete ridges. Hematoxylin and eosin stain (original magnification 10X). B, Basket weaves hyperkeratosis, papillomatosis, hypogranulosis and pigmented basal layer. Papillary dermis showed few ectatic congested thin walled blood vessels. Few areas showed downward growth of the rete ridges between these blood vessels. Hematoxylin and eosin stain (original magnification 40X",CCR3-9-2225-g002,NotMatch,Match
PMC7875670,Figure 1,"Multiple pinpoint, grouped, bright red, nonblanchable macules and irregular patches distributed in a patchy blaschkoid pattern over the left side of abdomen.",dp1101a107g001,NotMatch,NotMatch
PMC7875670,Figure 2,"Dermoscopy of the erythematous lesions using a Derm-Lite II Hybrid M Dermatoscope, polarized mode, ×10 magnification, revealed multiple oval-to-round, well-demarcated, red-colored lagoons present on a slightly erythematous background.",dp1101a107g002,NotMatch,Match
PMC7875670,Figure 3,"(A) Photomicrograph showing multiple dilated vessels present in a clover-leaf pattern in the upper dermis (H&E, ×10). (B) Photomicrograph showing cluster of dilated thick-walled capillaries (due to deposition of PAS-positive material) with flattened endothelial cells and red blood cells present in the center of the vessels (H&E, ×40).",dp1101a107g003,NotMatch,Match
PMC6487031,Fig. 1,"Asymptomatic purple maculopapular lesions, with a symmetrical serpiginous linear pattern along both the lower limbs (a,b,c) and soles (d)",13052_2019_644_Fig1_HTML,NotMatch,NotMatch
PMC6487031,Fig. 2,"Dermoscopy shows parallel structures, red lagoons and globular elements (10x magnification) (a); light microscopy revealed clusters of dilated, thickened capillaries in the upper dermis composed of flattened endothelial cells (b); Periodic acid-Schiff (PAS) stain-positive deposits around the affected blood vessels (c); immunohistochemistry staining showed positive WT1 (d)",13052_2019_644_Fig2_HTML,NotMatch,Match
PMC9455105,Figure 1,"Generalized, numerous, pinpoint, reddish macules over malar area in first patient",IJD-67-209c-g001,NotMatch,NotMatch
PMC9455105,Figure 2,"Generalized, numerous, pinpoint, reddish macules over bilateral breasts, bilateral arms, and chest in first patient",IJD-67-209c-g002,NotMatch,NotMatch
PMC9455105,Figure 3,"Multiple, grouped, pinpoint, reddish-to-pinkish macules over right arm, right breast and, back in and blaschkoid pattern in second patient",IJD-67-209c-g003,NotMatch,NotMatch
PMC9455105,Figure 4,"(Hematoxylin & Eosin, ×40) Histopathology of the first patient revealed presence of substantial increase in number of dilated capillaries within papillary and upper reticular dermis. Overlying epidermis is normal",IJD-67-209c-g004,NotMatch,NotMatch
PMC9455105,Figure 5,"Dermoscopy revealed multiple red, oval-to-round lagoons (3Gen Dermlite DL4 Polarized Dermatoscope)",IJD-67-209c-g005,NotMatch,NotMatch
PMC8972173,Figure 1.,"a) A 13 years old female with history of asymptomatic red lesion on her left shoulder blade for 2 years. b) Dermoscopy revealed well demarcated round red lagoons in relation to dilated vascular spaces within the papillary or superficial reticular dermis, hairpin like vessels scattered among red lagoons (aspect of “school of red fish in a pound”).",dr-14-1-9260-g001,NotMatch,NotMatch
PMC8972173,Figure 2.,a) A 8 years old male had erythematous reticulated macules affecting right arm since birth. b) Small purple-red dots that cluster together and they do not disappear on diascopy.,dr-14-1-9260-g002,NotMatch,NotMatch
PMC8972173,Figure 3.,"EE - Clusters of dilated capillaries in the upper dermis, composed of flattened endothelial cells and pericytes.",dr-14-1-9260-g003,NotMatch,NotMatch
PMC10389151,Figure 1,"(a) Multiple discrete to con fluent brightly erythematous papules on right scapular area, posterior aspect of right arm arranged in linear serpiginous pattern. (b) similar lesions present on lateral half of velar aspect of forearm,lateral aspect of dorsum of hand arranged in serpiginous pattern",IJD-68-354c-g001,NotMatch,NotMatch
PMC10389151,Figure 2,Close up view,IJD-68-354c-g002,NotMatch,NotMatch
PMC10389151,Figure 3,Multiple erythematous papules arranged in the form of small rings with central clearing on right scapular area,IJD-68-354c-g003,NotMatch,NotMatch
PMC10389151,Figure 4,"Erythematous patch present on lateral aspect of palms involving the air eminence, right thumb and index finger",IJD-68-354c-g004,NotMatch,NotMatch
PMC10389151,Figure 5,Erythematous patch present on dorsum of right hand with diffuse non tender swelling of right hand in comparison to left,IJD-68-354c-g005,NotMatch,NotMatch
PMC10389151,Figure 6,"Histopathology (H & E, 40× view). Mutiple ectatic vascular structures present in papillary dermis and mid -dermis",IJD-68-354c-g006,NotMatch,Match
PMC10389151,Figure 7,"Histopathology (H & E stain, 100×): multiple ectatic vascular structures were present in papillary and mid dermis",IJD-68-354c-g007,NotMatch,Match
