pmcid,figure_name,width,height
PMC4540500,abd-90-03-s1-0026-g02.jpg,600,451
PMC4540500,abd-90-03-s1-0026-g03.jpg,771,585
PMC4540500,abd-90-03-s1-0026-g01.jpg,771,716
PMC4817459,IJD-61-226-g002.jpg,709,587
PMC4817459,IJD-61-226-g001.jpg,463,616
PMC2615349,ymj-49-509-g001.jpg,550,417
PMC2615349,ymj-49-509-g002.jpg,549,203
PMC5029250,IJD-61-570-g003.jpg,526,587
PMC5029250,IJD-61-570-g001.jpg,782,586
PMC5029250,IJD-61-570-g002.jpg,724,587
PMC5885622,IDOJ-9-127-g002.jpg,539,518
PMC5885622,IDOJ-9-127-g001.jpg,539,412
PMC5885622,IDOJ-9-127-g003.jpg,539,704
PMC4144222,IDOJ-5-316-g004.jpg,557,426
PMC4144222,IDOJ-5-316-g002.jpg,742,595
PMC4144222,IDOJ-5-316-g003.jpg,556,673
PMC4144222,IDOJ-5-316-g005.jpg,555,651
PMC4144222,IDOJ-5-316-g001.jpg,481,729
PMC8077343,CCR3-9-2225-g002.jpg,709,774
PMC8077343,CCR3-9-2225-g001.jpg,709,535
PMC8077343,CCR3-9-2225-g003.jpg,120,91
PMC6487031,13052_2019_644_Fig2_HTML.jpg,709,533
PMC6487031,13052_2019_644_Fig1_HTML.jpg,709,550
PMC7875670,dp1101a107g002.jpg,746,836
PMC7875670,dp1101a107g003.jpg,737,1200
PMC7875670,dp1101a107g001.jpg,746,654
PMC9455105,IJD-67-209c-g004.jpg,782,586
PMC9455105,IJD-67-209c-g001.jpg,516,586
PMC9455105,IJD-67-209c-g002.jpg,782,586
PMC9455105,IJD-67-209c-g005.jpg,782,587
PMC9455105,IJD-67-209c-g003.jpg,693,586
PMC10389151,IJD-68-354c-g006.jpg,788,586
PMC10389151,IJD-68-354c-g004.jpg,410,587
PMC10389151,IJD-68-354c-g007.jpg,662,586
PMC10389151,IJD-68-354c-g003.jpg,400,587
PMC10389151,IJD-68-354c-g001.jpg,586,587
PMC10389151,IJD-68-354c-g002.jpg,414,587
PMC10389151,IJD-68-354c-g005.jpg,528,587
PMC8972173,dr-14-1-9260-g002.jpg,386,500
PMC8972173,dr-14-1-9260-g001.jpg,500,555
PMC8972173,dr-14-1-9260-g003.jpg,385,500
