pmid,pmcid,title,journal,insert_time,label,caption,graphic
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 1,"Pediculus humanus corporis, the human body louse, viewed with electron microscope at magnification ×120.",05-0874-F1
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 2,Human body lice in clothes.,05-0874-F2
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 3,Lesions from scratching induced by body lice infestation.,05-0874-F3
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 4,"Western blot and cross-adsorption results in a patient with Bartonella quintana endocarditis. A) Nonadsorbed. B) Adsorbed with B. quintana. C) Adsorbed with B. henselae. Lane 1, B. quintana; lane 2, B. henselae; lane 3, B. elizabethae; lane 4, B. vinsonii subsp. Berkhoffi; lane 5, B. vinsonii subsp. Arupensis. Before adsorption (A), antibodies are detected against all species (1, 2, 3, 4, and 5). After adsorption with B. quintana antigen (B), all antibodies disappear. After adsorption with B. henselae antigen (C), antibodies against B. quintana (1) persist. This reaction shows B. quintana infection.",05-0874-F4
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 5,Immunohistochemical demonstration of Bartonella sp. in a cardiac valve of a patient with endocarditis. Magnification ×400.,05-0874-F5
16494745,PMC3373112,Bartonella quintana characteristics and clinical management.,Emerg Infect Dis,2024-02-14-09-12-58,Figure 6,Laser confocal microscopy showing the intraerythrocytic location of Bartonella quintana. Magnification ×400.,05-0874-F6
16732891,PMC1488855,Bartonella quintana coinfection with Mycobacterium avium complex and CMV in an AIDS patient: case presentation.,BMC Infect Dis,2024-02-14-09-12-58,Figure 1,"Histological examination of the skin biopsy sample demonstrating typical aspects of BA; clusters of foamy macrophages were also observed in the dermis, mixed with the histological features of BA.",1471-2334-6-89-1
16732891,PMC1488855,Bartonella quintana coinfection with Mycobacterium avium complex and CMV in an AIDS patient: case presentation.,BMC Infect Dis,2024-02-14-09-12-58,Figure 2,Clusters of bacteria (indicated by an arrow) were revealed on Warthin-Starry staining.,1471-2334-6-89-2
16732891,PMC1488855,Bartonella quintana coinfection with Mycobacterium avium complex and CMV in an AIDS patient: case presentation.,BMC Infect Dis,2024-02-14-09-12-58,Figure 3,Immunohistochemical examination using anti-CMV monoclonal mouse antibody was positive (indicated by an arrow).,1471-2334-6-89-3
17953088,PMC2828084,Genetic diversity of Bartonella henselae in human infection detected with multispacer typing.,Emerg Infect Dis,2024-02-14-09-12-58,,,
18403608,PMC2329782,Emerging pathogens: challenges and successes of molecular diagnostics.,J Mol Diagn,2024-02-14-09-12-58,,,
18452613,PMC2390557,"Seroprevalence of Bartonella spp. infection in HIV patients in Catalonia, Spain.",BMC Infect Dis,2024-02-14-09-12-58,,,
21489243,PMC3083372,Adhesion and host cell modulation: critical pathogenicity determinants of Bartonella henselae.,Parasit Vectors,2024-02-14-09-12-58,Figure 1,"Possible interactions of confirmed and assumed pathogenicity factors of B. henselae: the Trw-system (translocated effectors not known), filamentous hemagglutinin (FHA), BadA and the VirB/VirD4 type IV secretion system (translocated effectors: Beps). It can be assumed that BadA (and potentially FHA) ensure a stable contact to the host cell surface for further bacteria-host cell interaction by the type IV secretion system and the Trw system. Abbreviations: IM: inner membrane, OM: outer membrane, Beps: Bartonella effector proteins, Fn: fibronectin, BadA: Bartonella adhesin A.",1756-3305-4-54-1
21637717,PMC3103534,Differential effects of Bartonella henselae on human and feline macro- and micro-vascular endothelial cells.,PLoS One,2024-02-14-09-12-58,Figure 1,"
In vitro angiogenesis of feline ECs 10 h after seeding on Matrigel™.Feline ECs are able to form pseudovessels. FOmEC: Feline Umbilical Vein Endothelial Cells; FSkMEC: Feline Skin Microvascular Endothelial Cells. Vero cells: Monkey kidney epithelial cells used as non-endothelial control cells. Original magnification: 50x.",pone.0020204.g001
21637717,PMC3103534,Differential effects of Bartonella henselae on human and feline macro- and micro-vascular endothelial cells.,PLoS One,2024-02-14-09-12-58,Figure 2,"Effect of various Bartonella strains on human and feline ECs capillary-like structure formation on Matrigel™.HSkMEC (Human Skin Microvascular Endothelial Cells) infection by B. henselae (multiplicity of infection: 100 bacteria/cell) increases capillary-like structure formation as compared to uninfected cells (A). In contrast, B. henselae infection has no visible effect on FSkMEC (Feline Skin Microvascular Endothelial Cells) (B). Pictures have been taken 10 h and 20 h after seeding of FSkMEC and HSkMEC, respectively. Original magnification: 50x. H1: B. henselae human type I strain (reference strain Houston-1 ATCC 49882); H2: B.henselae human type II strain (Marseille); F1: B. henselae feline type I strain (F1 297172); F2: B. henselae feline type II strain; Bt: B. tribocorum.",pone.0020204.g002
21637717,PMC3103534,Differential effects of Bartonella henselae on human and feline macro- and micro-vascular endothelial cells.,PLoS One,2024-02-14-09-12-58,Figure 3,"Quantitative analysis of capillary-like structure formation by cell projection length and branching point number determination.Human Skin Microvascular ECs (HSkMEC) infection by B. henselae strains (M.O.I.of 100, black bars) or treatment by their culture supernatants (250 µg/ml, grey bars) increases angiogenesis assessed by cell projection length and branching point number when compared to uninfected cells (white bars) (measures performed 20 hours p.i.) (A). In contrast, Feline Skin Microvascular ECs (FSkMEC) infection by B. henselae or treatment by their culture supernatants has no such effect (measures performed 10 hours p.i.) (B). Data from four independent experiments are shown as mean ± standard deviation (*p<0.05 versus uninfected or untreated controls). NSI: No Significant Increase. C: uninfected or untreated controls cell; S: Bartonella culture supernatant; H1: B. henselae human type I strain (reference strain Houston-1 ATCC 49882); H2: B. henselae human type II strain (Marseille); F1: B. henselae feline type I strain (F1 297172); F2: B. henselae feline type II strain; Bt: B. tribocorum.",pone.0020204.g003
