pmid,pmcid,title,journal,insert_time,has_targz,disease
19128509,PMC2628644,Mutation analysis of the Gadd45 gene at exon 4 in atypical fibroxanthoma.,BMC Dermatol,2024-02-14-09-01-58,True,Match
21103191,PMC2988839,Combined Papillated Bowen Disease and Clear Cell Atypical Fibroxanthoma.,Case Rep Dermatol,2024-02-14-09-01-58,True,Match
21892274,PMC3161641,Atypical fibroxanthoma.,Clin Med Oncol,2024-02-14-09-01-58,True,Match
21941482,PMC3177836,Malignant fibrous histiocytoma with in-transit metastasis.,Case Rep Dermatol,2024-02-14-09-01-58,True,NotMatch
22649735,PMC3356914,"Histological, immunohistological, and clinical features of merkel cell carcinoma in correlation to merkel cell polyomavirus status.",J Skin Cancer,2024-02-14-09-01-58,True,NotMatch
23112360,PMC3482803,Atypical fibroxanthoma: an unusual skin neoplasm in xeroderma pigmentosum.,Indian J Dermatol,2024-02-14-09-01-58,True,Match
24587887,PMC3932356,Atypical fibroxanthoma in head and neck.,Clin Exp Otorhinolaryngol,2024-02-14-09-01-58,True,Match
24855581,PMC4029261,Atypical fibroxanthoma of the cheek-case report with dermatoscopy and dermatopathology.,Dermatol Pract Concept,2024-02-14-09-01-58,True,Match
25321085,PMC4894809,A Rare Collision in Dermatopathology: Basal Cell Carcinoma and Atypical Fibroxanthoma.,Am J Dermatopathol,2024-02-14-09-01-58,True,Match
25371625,PMC4216554,A bone fide atypical fibroxanthoma of penis.,Urol Ann,2024-02-14-09-01-58,True,Match
25742967,PMC4350000,Atypical fibroxanthoma†.,J Surg Case Rep,2024-02-14-09-01-58,True,Match
25991985,PMC4432554,Recurrence of atypical fibroxanthoma. Diagnosis and treatment.,Int Arch Otorhinolaryngol,2024-02-14-09-01-58,True,Match
26375231,PMC4560551,Two friends with eroded nodules on the ears: atypical fibroxanthoma case report.,An Bras Dermatol,2024-02-14-09-01-58,True,Match
26618136,PMC4660002,Atypical Fibroxanthoma in a 115-Year-Old Patient.,Arch Plast Surg,2024-02-14-09-01-58,True,Match
26943575,PMC5008321,Oncogene and therapeutic target analyses in atypical fibroxanthomas and pleomorphic dermal sarcomas.,Oncotarget,2024-02-14-09-01-58,True,Match
27051790,PMC4809406,Cutaneous spindle cell carcinoma misdiagnosed as atypical fibroxanthoma based on immunohistochemical stains.,JAAD Case Rep,2024-02-14-09-01-58,True,Match
27462224,PMC4943314,Keloidal Atypical Fibroxanthoma: Case and Review of the Literature.,Case Rep Dermatol,2024-02-14-09-01-58,True,Match
27746645,PMC5064195,Case of Pleomorphic Dermal Sarcoma of the Eyelid Treated with Micrographic Surgery and Secondary Intention Healing.,Ann Dermatol,2024-02-14-09-01-58,True,NotMatch
27803916,PMC5067497,"Lesion presenting with a ""blue amber"" pattern.",World J Clin Cases,2024-02-14-09-01-58,True,NotMatch
27981214,PMC5148779,Recurrent cutaneous angiosarcoma of the ear masquerading as atypical fibroxanthoma.,JAAD Case Rep,2024-02-14-09-01-58,True,Match
27981227,PMC5149065,Atypical fibroxanthoma of the scalp with recurrent and multiple regional cutaneous metastases.,JAAD Case Rep,2024-02-14-09-01-58,True,Match
28442880,PMC5387884,Trichoscopic Patterns in Squamous Cell Carcinoma: : A Case Report.,Int J Trichology,2024-02-14-09-01-58,True,NotMatch
28533805,PMC5437075,Electronic brachytherapy management of atypical fibroxanthoma: report of 8 lesions.,J Contemp Brachytherapy,2024-02-14-09-01-58,True,Match
29141020,PMC5687749,Genomic analysis of atypical fibroxanthoma.,PLoS One,2024-02-14-09-01-58,True,Match
29312620,PMC5752533,Copy number variations in atypical fibroxanthomas and pleomorphic dermal sarcomas.,Oncotarget,2024-02-14-09-01-58,True,Match
29610695,PMC5828143,An Unusual Case of Pinna Squamous Cell Carcinoma Arising Shortly after Resection of Atypical Fibroxanthoma.,Case Rep Otolaryngol,2024-02-14-09-01-58,True,Match
29693051,PMC5911777,Dermoscopic rainbow pattern: A clue to diagnosing aneurysmal atypical fibroxanthoma.,JAAD Case Rep,2024-02-14-09-01-58,True,Match
29765529,PMC5940384,MYC gene amplification is a rare event in atypical fibroxanthoma and pleomorphic dermal sarcoma.,Oncotarget,2024-02-14-09-01-58,True,Match
30237940,PMC6141053,Pleomorphic Dermal Sarcoma of the Scalp.,Cureus,2024-02-14-09-01-58,True,NotMatch
30675236,PMC6341582,"Expression of 3q oncogene SEC62 in atypical fibroxanthoma-immunohistochemical analysis of 41 cases and correlation with clinical, viral and histopathologic features.",Oncol Lett,2024-02-14-09-01-58,True,Match
30809375,PMC6375211,Genome-wide methylation profiling and copy number analysis in atypical fibroxanthomas and pleomorphic dermal sarcomas indicate a similar molecular phenotype.,Clin Sarcoma Res,2024-02-14-09-01-58,True,Match
