pmcid,figure_name,width,height
PMC2628644,1471-5945-9-1-1.jpg,600,402
PMC2988839,cde0002-0069-f02.jpg,530,402
PMC2988839,cde0002-0069-f01.jpg,530,605
PMC3177836,cde0003-0164-f03.jpg,530,662
PMC3177836,cde0003-0164-f02.jpg,530,548
PMC3177836,cde0003-0164-f01.jpg,472,425
PMC3482803,IJD-57-384-g004.jpg,744,538
PMC3482803,IJD-57-384-g006.jpg,743,537
PMC3482803,IJD-57-384-g007.jpg,512,116
PMC3482803,IJD-57-384-g002.jpg,735,510
PMC3482803,IJD-57-384-g001.jpg,509,58
PMC3482803,IJD-57-384-g003.jpg,742,537
PMC3482803,IJD-57-384-g005.jpg,744,537
PMC3356914,JSC2012-983421.001.jpg,600,1512
PMC3161641,cmo-2-2008-117f7.jpg,638,498
PMC3161641,cmo-2-2008-117f2.jpg,638,330
PMC3161641,cmo-2-2008-117f1.jpg,517,555
PMC3161641,cmo-2-2008-117f4.jpg,642,508
PMC3161641,cmo-2-2008-117f6.jpg,641,505
PMC3161641,cmo-2-2008-117f5.jpg,638,502
PMC3161641,cmo-2-2008-117f3.jpg,636,508
PMC3932356,ceo-7-73-g001.jpg,793,527
PMC3932356,ceo-7-73-g002.jpg,751,239
PMC4029261,dp0402a16g006a.jpg,666,533
PMC4029261,dp0402a16g006b.jpg,666,500
PMC4029261,dp0402a16g004.jpg,666,533
PMC4029261,dp0402a16g005.jpg,666,533
PMC4029261,dp0402a16g001.jpg,666,500
PMC4029261,dp0402a16g003.jpg,666,584
PMC4029261,dp0402a16g002.jpg,666,375
PMC4216554,UA-6-381-g002.jpg,694,494
PMC4216554,UA-6-381-g003.jpg,693,452
PMC4216554,UA-6-381-g001.jpg,695,524
PMC4432554,10-7162-s-1809-97772012000400017-i160417-1.jpg,350,234
PMC4894809,ajd-37-0950-g007.jpg,681,371
PMC4894809,ajd-37-0950-g002.jpg,681,358
PMC4894809,ajd-37-0950-g005.jpg,681,511
PMC4894809,ajd-37-0950-g001.jpg,681,714
PMC4894809,ajd-37-0950-g004.jpg,681,981
PMC4894809,ajd-37-0950-g006.jpg,681,375
PMC4894809,ajd-37-0950-g003.jpg,681,511
PMC4350000,rjv01002.jpg,675,826
PMC4350000,rjv01001.jpg,750,1334
PMC4350000,rjv01003.jpg,625,286
PMC4350000,rjv01004.jpg,680,360
