pmcid,figure_name,width,height
PMC3667320,IJD-58-244c-g003.jpg,742,494
PMC3667320,IJD-58-244c-g002.jpg,742,496
PMC3667320,IJD-58-244c-g001.jpg,357,537
PMC4601466,IJD-60-524f-g003.jpg,728,587
PMC4601466,IJD-60-524f-g001.jpg,539,317
PMC4601466,IJD-60-524f-g002.jpg,626,586
PMC4601466,IJD-60-524f-g004.jpg,1010,243
PMC3657237,IJD-58-159b-g006.jpg,1157,525
PMC3657237,IJD-58-159b-g001.jpg,572,431
PMC3657237,IJD-58-159b-g003.jpg,520,403
PMC3657237,IJD-58-159b-g002.jpg,575,430
PMC3657237,IJD-58-159b-g005.jpg,544,402
PMC3657237,IJD-58-159b-g004.jpg,538,402
PMC6976741,aps-2019-01081f2.jpg,656,301
PMC6976741,aps-2019-01081f3.jpg,626,421
PMC6976741,aps-2019-01081f4.jpg,657,254
PMC6976741,aps-2019-01081f1.jpg,623,425
PMC6976741,aps-2019-01081f5.jpg,658,208
PMC5294388,CRIPA2017-7949361.002.jpg,790,1026
PMC5294388,CRIPA2017-7949361.001.jpg,691,464
PMC8173268,gr2.jpg,731,487
PMC8173268,gr4.jpg,745,253
PMC8173268,gr3.jpg,740,710
PMC8173268,gr1.jpg,743,273
