pmcid,figure_name,width,height
PMC7513245,jclinpath-2020-206448f01.jpg,663,327
PMC7513245,jclinpath-2020-206448f02.jpg,723,524
PMC4777905,cde-0007-0352-g02.jpg,703,531
PMC4777905,cde-0007-0352-g01.jpg,520,705
PMC4777905,cde-0007-0352-g03.jpg,703,527
PMC8630439,etm-23-01-10982-g01.jpg,646,370
PMC8630439,etm-23-01-10982-g00.jpg,646,370
PMC8630439,etm-23-01-10982-g02.jpg,646,370
PMC4131999,dp0403a09g007.jpg,800,600
PMC4131999,dp0403a09g002.jpg,666,500
PMC4131999,dp0403a09g004.jpg,800,600
PMC4131999,dp0403a09g005.jpg,800,463
PMC4131999,dp0403a09g001.jpg,666,500
PMC4131999,dp0403a09g006.jpg,800,499
PMC4131999,dp0403a09g003.jpg,800,600
PMC9066904,12957_2022_2601_Fig3_HTML.jpg,777,769
PMC9066904,12957_2022_2601_Fig1_HTML.jpg,595,1238
PMC9066904,12957_2022_2601_Fig2_HTML.jpg,730,1240
PMC10023862,gr2.jpg,602,631
PMC10023862,gr4.jpg,711,487
PMC10023862,gr3.jpg,711,236
PMC10023862,gr1.jpg,711,855
