pmid,pmcid,title,journal,insert_time,label,caption,graphic
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figure 1.,"Clinical examination revealed a 4 mm, well-circumscribed, pigmented skin tumor affecting the medial aspect of her anterior right thigh. The neoplasm had a pale center with a peripheral pigmented rim with superficial scale, and it was firm to palpation. [Copyright: ©2014 Roldán-Marín et al.]",dp0403a09g001
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figure 2.,"Dermoscopy revealed the presence of maple leaf-like areas on the periphery, multiple scattered blue-gray dots and globules, short, fine telangiectasia and chrysalis or white-shiny streaks. [Copyright: ©2014 Roldán-Marín et al.]",dp0403a09g002
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figure 3.,"At low magnification histopathological showed a well circumscribed, superficially located tumor, formed by anastomosing cords of basaloid keratinocytes with several tiny cornifying cysts. [Copyright: ©2014 Roldán-Marín et al.]",dp0403a09g003
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figures 4 and 5.,Maple leaf-like areas in the periphery as well as the scattered blue-gray dots and globules linked to the presence of pigmented epithelial nests in the papillary dermis. [Copyright: ©2014 Roldán-Marín et al.],dp0403a09g004
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figure 6.,"Short, fine telangiectasia due to the presence of dilated blood vessels in the superficial dermis. [Copyright: ©2014 Roldán-Marín et al.]",dp0403a09g006
25126459,PMC4131999,Infundibulocystic basal cell carcinoma: dermoscopic findings and histologic correlation.,Dermatol Pract Concept,2023-12-17-22-07-58,Figure 7.,White shiny structures related to the presence of an increased number of collagen bundles horizontally arranged and aligned parallel to the epidermis. [Copyright: ©2014 Roldán-Marín et al.],dp0403a09g007
26955331,PMC4777905,A Case of Basal Cell Carcinoma with Outer Hair Follicle Sheath Differentiation.,Case Rep Dermatol,2023-12-17-22-07-58,Fig. 1,"a Clinical image. The tumor was asymmetric, flat and blackish-colored with a gray nodule. b The dermoscopic image revealed leaf-like areas, large blue-gray ovoid nests and multiple blue-gray globules.",cde-0007-0352-g01
26955331,PMC4777905,A Case of Basal Cell Carcinoma with Outer Hair Follicle Sheath Differentiation.,Case Rep Dermatol,2023-12-17-22-07-58,Fig. 2,"a At low magnification, histopathological examination showed a well-circumscribed tumor consisting of three distinct parts and accompanied by a hair follicle in the center. b Massive aggregation of basophilic basaloid cells with peripheral palisading and retraction spaces around the tumor. c Massive aggregation of clear cells with squamous eddies exhibiting trichilemmal keratinization. d Reticular aggregation of basaloid cells with infundibular cysts in the papillary dermis.",cde-0007-0352-g02
26955331,PMC4777905,A Case of Basal Cell Carcinoma with Outer Hair Follicle Sheath Differentiation.,Case Rep Dermatol,2023-12-17-22-07-58,Fig. 3,a Alcian blue stain showed abundant mucin deposition in the stoma. b Massive aggregation of basophilic basaloid cells showing diffuse positive staining with anti-bcl-2 antibody. c Massive aggregation of clear cells staining positively only at the periphery of tumor nests with anti-bcl-2 antibody. d Reticular aggregation of basaloid cells showing diffuse positive staining with anti-bcl-2 antibody.,cde-0007-0352-g03
32217615,PMC7513245,Clues to primary vismodegib resistance lie in histology and genetics.,J Clin Pathol,2023-12-17-22-07-58,Figure 1,"Histological features of infundibulocystic basalcell carcinomas (IBCCs). IBCCs with characteristic horn cysts within basaloid neoplasms composed of buds and cords with connections to the overlying epidermis (H&E, magnification ×10).",jclinpath-2020-206448f01
