pmid,pmcid,title,journal,insert_time,has_targz
19841702,PMC2763070,Treatment of cutaneous tumors with topical 5% imiquimod cream.,Clinics (Sao Paulo),2024-02-14-09-13-01,True
21909195,PMC3162254,Subclinical infiltration of Basal cell carcinoma in asian patients: assessment after mohs micrographic surgery.,Ann Dermatol,2024-02-14-09-13-01,True
22028555,PMC3199405,A case of superficial giant Basal cell carcinoma with satellite lesions on scalp.,Ann Dermatol,2024-02-14-09-13-01,True
23439912,PMC3573444,"Clinical variants, stages, and management of basal cell carcinoma.",Indian Dermatol Online J,2024-02-14-09-13-01,True
24864212,PMC4016886,Basal cell carcinoma of the head and neck region: a retrospective analysis of completely excised 331 cases.,J Skin Cancer,2024-02-14-09-13-01,True
25538434,PMC4271293,Basal cell carcinoma of the outer nose: overview on surgical techniques and analysis of 312 patients.,J Cutan Aesthet Surg,2024-02-14-09-13-01,True
30479863,PMC6246053,"Basal cell carcinoma: variation in invasion depth by subtype, sex, and anatomic site in 4,565 cases.",Dermatol Pract Concept,2024-02-14-09-13-01,True
31554387,PMC6976826,Evaluation of Patched-1 Protein Expression Level in Low Risk and High Risk Basal Cell Carcinoma Subtypes.,Asian Pac J Cancer Prev,2024-02-14-09-13-01,True
31582995,PMC6742741,Evaluation of Immunohistochemical Findings and Clinical Features Associated with Local Aggressiveness in Basal Cell Carcinoma.,Iran J Pathol,2024-02-14-09-13-01,True
31644617,PMC7007034,Recurrence rate of basal cell carcinoma in patients submitted to skin flaps or grafts.,An Bras Dermatol,2024-02-14-09-13-01,True
32082007,PMC7007603,A Clinical Study of Basal Cell Carcinoma.,Med Arch,2024-02-14-09-13-01,True
32355183,PMC7193595,Different histopathologic profiles and outcomes between sun-exposed BCC and non-sun-exposed BCC.,Sci Rep,2024-02-14-09-13-01,True
32628771,PMC8246942,Biopsy outperforms reflectance confocal microscopy in diagnosing and subtyping basal cell carcinoma: results and experiences from a randomized controlled multicentre trial.,Br J Dermatol,2024-02-14-09-13-01,True
32874689,PMC7445647,Histopathological Features of the Eyelid Basal Cell Carcinomas.,Curr Health Sci J,2024-02-14-09-13-01,True
33614324,PMC7883528,Basal Cell Carcinoma With Calcification: Case Report of Calcifying Basal Cell Carcinoma and Review of Calcinosis Cutis Associated With Basal Cell Carcinoma.,Cureus,2024-02-14-09-13-01,True
33817723,PMC8112792,Analysis of the occurrence and distribution of primary and recurrent basal cell carcinoma of head and neck coupled to the assessment of tumor microenvironment and Sonic hedgehog signaling.,Rom J Morphol Embryol,2024-02-14-09-13-01,True
34001963,PMC8129122,TERTp mutations and p53 expression in head and neck cutaneous basal cell carcinomas with different aggressive features.,Sci Rep,2024-02-14-09-13-01,True
34211751,PMC8200622,Basal Cell Carcinoma and its Impact on Different Anatomical Regions.,Curr Health Sci J,2024-02-14-09-13-01,True
34656174,PMC8520612,Micronodular basal cell carcinoma of the scrotum: a case report and review of the literature.,J Med Case Rep,2024-02-14-09-13-01,True
34656174,PMC8520612,Micronodular basal cell carcinoma of the scrotum: a case report and review of the literature.,J Med Case Rep,2024-02-14-09-13-00,True
34917186,PMC8630439,"Basal cell carcinoma: Comprehensive clinical and histopathological aspects, novel imaging tools and therapeutic approaches (Review).",Exp Ther Med,2024-02-14-09-13-01,True
35051169,PMC8775292,"Superficial basal cell carcinoma, think deeper: Step sectioning of skin biopsy specimens yields 14% more aggressive subtypes.",PLoS One,2024-02-14-09-13-01,True
35761210,PMC9237979,Periocular basal cell carcinoma results and surgical outcome during a 5-year period in a larger Danish population.,BMC Ophthalmol,2024-02-14-09-13-01,True
35885545,PMC9323345,Nodular and Micronodular Basal Cell Carcinoma Subtypes Are Different Tumors Based on Their Morphological Architecture and Their Interaction with the Surrounding Stroma.,Diagnostics (Basel),2024-02-14-09-13-00,True
35885545,PMC9323345,Nodular and Micronodular Basal Cell Carcinoma Subtypes Are Different Tumors Based on Their Morphological Architecture and Their Interaction with the Surrounding Stroma.,Diagnostics (Basel),2024-02-14-09-13-01,True
36837550,PMC9964036,Dermoscopic Clues of Histopathologically Aggressive Basal Cell Carcinoma Subtypes.,Medicina (Kaunas),2024-02-14-09-13-01,True
36892362,PMC9946123,"Clinical, Dermoscopic and Histopathological Evaluation of Basal Cell Carcinoma.",Dermatol Pract Concept,2024-02-14-09-13-01,True
36911588,PMC9997686,Annular Basal Cell Carcinoma Expanding Around Central Hypertrophic Scarring: A Case Report.,Cureus,2024-02-14-09-13-01,True
37092530,PMC10123599,Recurrence or de novo? Intradermal Basal Cell Carcinoma of the Scrotum: A Report of Two Cases.,Dermatopathology (Basel),2024-02-14-09-13-01,True
37959375,PMC10648659,Optically Guided High-Frequency Ultrasound to Differentiate High-Risk Basal Cell Carcinoma Subtypes: A Single-Centre Prospective Study.,J Clin Med,2024-02-14-09-13-01,False
38161568,PMC10757858,Micronodular Basal Cell Carcinoma Presenting as an Achromic Macule.,Cureus,2024-02-14-09-13-00,False
38161568,PMC10757858,Micronodular Basal Cell Carcinoma Presenting as an Achromic Macule.,Cureus,2024-02-14-09-13-01,False
