pmcid,figure_name,width,height
PMC3199405,ad-23-S111-g001.jpg,632,443
PMC3199405,ad-23-S111-g002.jpg,632,466
PMC3199405,ad-23-S111-g003.jpg,632,496
PMC3162254,ad-23-276-g001.jpg,636,291
PMC3162254,ad-23-276-i001.jpg,662,515
PMC3162254,ad-23-276-g002.jpg,636,158
PMC3162254,ad-23-276-g003.jpg,469,382
PMC3162254,ad-23-276-i002.jpg,490,307
PMC4271293,JCAS-7-143-g011.jpg,542,373
PMC4271293,JCAS-7-143-g006.jpg,716,569
PMC4271293,JCAS-7-143-g002.jpg,758,570
PMC4271293,JCAS-7-143-g001.jpg,380,569
PMC4271293,JCAS-7-143-g012.jpg,487,67
PMC4271293,JCAS-7-143-g009.jpg,739,569
PMC4271293,JCAS-7-143-g005.jpg,612,570
PMC4271293,JCAS-7-143-g004.jpg,486,570
PMC4271293,JCAS-7-143-g010.jpg,676,569
PMC4271293,JCAS-7-143-g008.jpg,680,569
PMC4271293,JCAS-7-143-g007.jpg,601,569
PMC4271293,JCAS-7-143-g003.jpg,427,569
PMC6246053,dp0804a13g001d.jpg,650,492
PMC6246053,dp0804a13g001b.jpg,650,492
PMC6246053,dp0804a13g001c.jpg,650,492
PMC6246053,dp0804a13g001a.jpg,650,492
PMC6976826,APJCP-20-2851-g003.jpg,780,888
PMC6976826,APJCP-20-2851-g002.jpg,787,244
PMC6976826,APJCP-20-2851-g001.jpg,648,408
PMC7007034,abd-94-04-0442-g02.jpg,771,525
PMC7007034,abd-94-04-0442-g01.jpg,771,419
PMC7193595,41598_2020_64391_Fig1_HTML.jpg,657,251
PMC7193595,41598_2020_64391_Fig2_HTML.jpg,662,411
PMC8246942,BJD-184-663-g002.jpg,709,336
PMC8246942,BJD-184-663-g001.jpg,709,764
PMC8246942,BJD-184-663-g003.jpg,709,797
PMC7445647,CHSJ-46-02-167-figure1.jpg,693,257
PMC7445647,CHSJ-46-02-167-figure2.jpg,693,786
PMC7445647,CHSJ-46-02-167-figure3.jpg,693,257
PMC3573444,IDOJ-4-12-g004.jpg,617,460
PMC3573444,IDOJ-4-12-g003.jpg,741,733
PMC3573444,IDOJ-4-12-g010.jpg,1155,343
PMC3573444,IDOJ-4-12-g005.jpg,617,462
PMC3573444,IDOJ-4-12-g002.jpg,617,462
PMC3573444,IDOJ-4-12-g008.jpg,543,544
PMC3573444,IDOJ-4-12-g006.jpg,543,543
PMC3573444,IDOJ-4-12-g001.jpg,741,667
PMC3573444,IDOJ-4-12-g009.jpg,617,303
PMC3573444,IDOJ-4-12-g007.jpg,617,303
PMC8129122,41598_2021_89906_Fig2_HTML.jpg,749,569
PMC8129122,41598_2021_89906_Fig1_HTML.jpg,668,260
PMC7883528,cureus-0013-00000012721-i03.jpg,800,450
PMC7883528,cureus-0013-00000012721-i02.jpg,800,450
PMC7883528,cureus-0013-00000012721-i01.jpg,800,450
PMC8200622,CHSJ-47-01-75-fig11.jpg,522,551
PMC8200622,CHSJ-47-01-75-fig6.jpg,598,289
PMC8200622,CHSJ-47-01-75-fig7.jpg,723,304
PMC8200622,CHSJ-47-01-75-fig5.jpg,282,173
PMC8200622,CHSJ-47-01-75-fig12.jpg,281,201
PMC8200622,CHSJ-47-01-75-fig9.jpg,287,200
PMC8200622,CHSJ-47-01-75-fig2.jpg,279,171
PMC8200622,CHSJ-47-01-75-fig3.jpg,263,160
PMC8200622,CHSJ-47-01-75-fig4.jpg,294,155
PMC8200622,CHSJ-47-01-75-fig1.jpg,272,189
PMC8200622,CHSJ-47-01-75-fig10.jpg,569,279
PMC8200622,CHSJ-47-01-75-fig13.jpg,291,197
PMC8200622,CHSJ-47-01-75-fig8.jpg,287,211
PMC8112792,RJME-61-3-821-fig2.jpg,787,602
PMC8112792,RJME-61-3-821-fig4.jpg,787,432
PMC8112792,RJME-61-3-821-fig14.jpg,787,432
PMC8112792,RJME-61-3-821-fig1.jpg,630,724
PMC8112792,RJME-61-3-821-fig5.jpg,787,432
PMC8112792,RJME-61-3-821-fig13.jpg,787,432
PMC8112792,RJME-61-3-821-fig9.jpg,787,432
PMC8112792,RJME-61-3-821-fig12.jpg,787,432
PMC8112792,RJME-61-3-821-fig11.jpg,787,432
PMC8112792,RJME-61-3-821-fig3.jpg,788,433
PMC8112792,RJME-61-3-821-fig8.jpg,787,432
PMC8112792,RJME-61-3-821-fig6.jpg,787,432
PMC8112792,RJME-61-3-821-fig10.jpg,787,432
PMC8112792,RJME-61-3-821-fig7.jpg,787,432
PMC8630439,etm-23-01-10982-g01.jpg,646,370
PMC8630439,etm-23-01-10982-g00.jpg,646,370
PMC8630439,etm-23-01-10982-g02.jpg,646,370
PMC8520612,13256_2021_3124_Fig1_HTML.jpg,896,670
PMC8520612,13256_2021_3124_Fig2_HTML.jpg,1592,813
PMC8775292,pone.0256149.t003.jpg,750,345
PMC8775292,pone.0256149.t002.jpg,750,362
PMC8775292,pone.0256149.t001.jpg,783,596
PMC8775292,pone.0256149.g001.jpg,733,341
PMC9964036,medicina-59-00349-g001.jpg,675,508
PMC9946123,2197dp1301a4g001.jpg,561,365
PMC9946123,2197dp1301a4g002.jpg,700,699
PMC9946123,2197dp1301a4g004.jpg,616,227
PMC9946123,2197dp1301a4g003.jpg,704,850
PMC9946123,2197dp1301a4g005.jpg,618,499
PMC9323345,diagnostics-12-01636-g002.jpg,800,1524
PMC9323345,diagnostics-12-01636-g003.jpg,727,367
PMC9323345,diagnostics-12-01636-g001.jpg,753,312
PMC9997686,cureus-0015-00000035934-i02.jpg,750,1000
PMC9997686,cureus-0015-00000035934-i01.jpg,750,593
PMC9997686,cureus-0015-00000035934-i05.jpg,750,628
PMC9997686,cureus-0015-00000035934-i04.jpg,750,628
PMC9997686,cureus-0015-00000035934-i03.jpg,750,628
PMC10123599,dermatopathology-10-00019-g003.jpg,782,819
PMC10123599,dermatopathology-10-00019-g004.jpg,750,376
PMC10123599,dermatopathology-10-00019-g002.jpg,788,451
PMC10123599,dermatopathology-10-00019-g001.jpg,769,438
PMC10123599,dermatopathology-10-00019-g005.jpg,763,386
