pmid,pmcid,title,journal,insert_time,has_targz
16796735,PMC1538617,Pattern of mRNA expression of beta-defensins in basal cell carcinoma.,BMC Cancer,2023-12-17-22-08-01,True
17169158,PMC1769509,"Homeostatic response under carcinogen withdrawal, heme oxygenase 1 expression and cell cycle association.",BMC Cancer,2023-12-17-22-08-01,True
19841702,PMC2763070,Treatment of cutaneous tumors with topical 5% imiquimod cream.,Clinics (Sao Paulo),2023-12-17-22-08-01,True
19882013,PMC2763736,Clinicopathological evaluation of radiation induced basal cell carcinoma.,Indian J Dermatol,2023-12-17-22-08-01,True
19882014,PMC2763750,Pigmented basal cell carcinoma successfully treated with 5% Imiquimod cream.,Indian J Dermatol,2023-12-17-22-08-01,True
20409337,PMC2877028,The SINS trial: a randomised controlled trial of excisional surgery versus imiquimod 5% cream for nodular and superficial basal cell carcinoma.,Trials,2023-12-17-22-08-01,True
21120046,PMC2992157,Sebaceous gland carcinoma of the eyelid.,Oman J Ophthalmol,2023-12-17-22-08-01,True
21151507,PMC2989703,Pigmented nodular Basal cell carcinomas in differential diagnosis with nodular melanomas: confocal microscopy as a reliable tool for in vivo histologic diagnosis.,J Skin Cancer,2023-12-17-22-08-01,True
21188233,PMC3003975,No-needle jet intradermal aminolevulinic Acid photodynamic therapy for recurrent nodular Basal cell carcinoma of the nose: a case report.,J Skin Cancer,2023-12-17-22-08-01,True
21209728,PMC3010650,Basal cell carcinoma of the head and neck.,J Skin Cancer,2023-12-17-22-08-01,True
21716545,PMC3108519,Lewandowsky and lutz dysplasia: report of two cases in a family.,Indian J Dermatol,2023-12-17-22-08-01,True
21792351,PMC3142455,Linear Basal cell carcinoma: a case report.,Case Rep Dermatol,2023-12-17-22-08-01,True
21909195,PMC3162254,Subclinical infiltration of Basal cell carcinoma in asian patients: assessment after mohs micrographic surgery.,Ann Dermatol,2023-12-17-22-08-01,True
22028555,PMC3199405,A case of superficial giant Basal cell carcinoma with satellite lesions on scalp.,Ann Dermatol,2023-12-17-22-08-01,True
22028568,PMC3199418,Basal cell nevus syndrome showing several histologic types of Basal cell carcinoma.,Ann Dermatol,2023-12-17-22-08-01,True
22140312,PMC3225463,"Application of the AJCC 7th edition carcinoma of the eyelid staging system: a medical center pathology based, 15-year review.",Clin Ophthalmol,2023-12-17-22-08-01,True
22251818,PMC3398325,Performance of a simple chromatin-rich segmentation algorithm in quantifying basal cell carcinoma from histology images.,BMC Res Notes,2023-12-17-22-08-01,True
22345768,PMC3276894,Clinicopathological evaluation of nonmelanoma skin cancer.,Indian J Dermatol,2023-12-17-22-08-01,True
22363161,PMC3283857,Merkel Cell Carcinoma Concurrent with Bowen's Disease.,Ann Dermatol,2023-12-17-22-08-01,True
22363848,PMC3262548,Photodynamic therapy for Basal cell carcinoma in recessive dystrophic epidermolysis bullosa.,ISRN Dermatol,2023-12-17-22-08-01,True
