pmcid,label,caption,graphic,disease,modality
PMC1538617,Figure 1,PCR products of hBDs and housekeeping gene (GAPDH) on 2% agarose gels. ,1471-2407-6-163-1,NotMatch,NotMatch
PMC1538617,Figure 2,Diagram showing levels of median mRNA expression of hBDs in lesional and non-lesional skin of 22 patients with non-ulcerated basal cell carcinoma. hBD mRNA expression in 27 healthy controls is also shown. mRNA expression levels given on the y-axis correspond to the re-transformed logarithms of the ΔCt values.,1471-2407-6-163-2,NotMatch,NotMatch
PMC2763750,Fig. 1,Hyperpigmented plaque with raised borders,IJD-53-140-g001,NotMatch,NotMatch
PMC2763750,Fig. 2,Photomicrograph showing nests of basaloid cells in continuity with the epidermis 20,IJD-53-140-g002,NotMatch,NotMatch
PMC2763750,Fig. 3,Photomicrograph showing close up of basaloid cells with peripheral palisading 40×,IJD-53-140-g003,NotMatch,NotMatch
PMC2763750,Fig. 4,Post-treatment photograph showing resolution of pigmentation from the periphery,IJD-53-140-g004,NotMatch,NotMatch
PMC2877028,Figure 1,SINS study design overview.,1745-6215-11-42-1,NotMatch,NotMatch
PMC1769509,Figure 1,Experimental protocol.,1471-2407-6-286-1,NotMatch,NotMatch
PMC1769509,Figure 2,"Expression of cyclin E, CDK2, CDK4, p21cip1/waf1 and Bcl-2 in HR and during HC. Proteins were extracted from liver of control, HC and HR animals (six independent replicates). Equal quantities of proteins were loaded per lane. The proteins cyclin E, CDK2, CDK4, p21cip1/waf1 and Bcl-2 were detected using polyclonal antibodies and visualized using ECL reagents. Intensity of bands was analyzed with Image Master. Protein expression levels were expressed as a percentage of control values, obtained from Western Blot analysis. *P < 0.05 vs. control group and °P < 0.05 vs. HC group.",1471-2407-6-286-2,NotMatch,NotMatch
PMC1769509,Figure 3,"Expression of HO-1. Proteins were extracted from liver of controls, HC and HR animals (six independent replicates). Equal quantities of proteins were loaded per lane. HO-1 protein was detected using a polyclonal antibody and visualized using ECL reagents. Intensity of bands was quantified with Image Master. Protein expression levels were expressed as a percentage of control values. *P < 0.05 vs. control group and °P < 0.05 vs. HC group.",1471-2407-6-286-3,NotMatch,NotMatch
PMC1769509,Figure 4,"Representative findings of heme oxygenase (HO-1) immunoreactivity. Immunohistochemical results: HC group: a) non-apoptotic necrotic tissue foci (white broad arrow), regenerative and normal HO-1 positive hepatocytes (upper-left angle, black arrows) and b) hepatic macrophages hyperplasia (black arrows heads) and altered hepatocytes (black arrows); d) ""altered hepatic foci lesions (AHF)"" with decreased HO-1 expression central hepatocytes (black arrows) and surrounded by macrophages (black arrows heads). HR group: e) regenerative tissue foci with few intense staining rounded cells (white broad arrows), hepatocytes (black arrows) and few macrophages (black arrows heads) with similar normal tissue HO-1 expression; f) normal HO-1 expression and absence of tissue necrosis features in HR tissue hepatocytes (black arrows) and macrophages (black arrows heads). Control group: c) normal HO-1 hepatic tissue (black arrows) and macrophages (black arrows heads) expression. (Final Magnification × 312.5).",1471-2407-6-286-4,NotMatch,NotMatch
PMC2992157,Figure 1,"Malignant cells with vaculated cytoplasm (V), mitotic figures (M), and areas of necrosis (N) (H & E, ×60)",OJO-3-117-g001,NotMatch,Match
PMC2992157,Figure 2,Clinical presentation showing large mass of the right upper eyelid,OJO-3-117-g002,NotMatch,NotMatch
PMC2992157,Figure 3,Two weeks after surgical resection of the tumor and reconstruction of the eyelid,OJO-3-117-g003,NotMatch,NotMatch
PMC3003975,Figure 1,Experimental procedure. (a) Intradermal administration of ALA with a MadaJet medical injector; (b) lesion immediately post-Madajet and prior to the PDT procedure; (c) lesion after the PDT procedure.,JSC2011-790509.001,NotMatch,NotMatch
