pmcid,figure_name,width,height
PMC1538617,1471-2407-6-163-2.jpg,600,386
PMC1538617,1471-2407-6-163-1.jpg,600,528
PMC2877028,1745-6215-11-42-1.jpg,600,291
PMC2763750,IJD-53-140-g003.jpg,786,550
PMC2763750,IJD-53-140-g004.jpg,787,551
PMC2763750,IJD-53-140-g001.jpg,786,550
PMC2763750,IJD-53-140-g002.jpg,787,550
PMC1769509,1471-2407-6-286-3.jpg,600,439
PMC1769509,1471-2407-6-286-4.jpg,600,599
PMC1769509,1471-2407-6-286-2.jpg,600,668
PMC1769509,1471-2407-6-286-1.jpg,600,291
PMC2992157,OJO-3-117-g002.jpg,743,520
PMC2992157,OJO-3-117-g001.jpg,689,520
PMC2992157,OJO-3-117-g003.jpg,743,520
PMC3003975,JSC2011-790509.001.jpg,503,163
PMC3003975,JSC2011-790509.002.jpg,442,463
PMC3003975,JSC2011-790509.003.jpg,644,131
PMC3108519,IJD-56-190-g006.jpg,743,523
PMC3108519,IJD-56-190-g004.jpg,743,523
PMC3108519,IJD-56-190-g002.jpg,743,523
PMC3108519,IJD-56-190-g001.jpg,736,523
PMC3108519,IJD-56-190-g007.jpg,742,524
PMC3108519,IJD-56-190-g003.jpg,742,538
PMC3108519,IJD-56-190-g005.jpg,743,523
PMC3142455,cde0003-0142-f03.jpg,591,443
PMC3142455,cde0003-0142-f02.jpg,591,443
PMC3142455,cde0003-0142-f04.jpg,591,445
PMC3142455,cde0003-0142-f01.jpg,591,394
PMC3162254,ad-23-276-g001.jpg,636,291
PMC3162254,ad-23-276-i001.jpg,662,515
PMC3162254,ad-23-276-g002.jpg,636,158
PMC3162254,ad-23-276-g003.jpg,469,382
PMC3162254,ad-23-276-i002.jpg,490,307
PMC3010650,JSC2011-496910.004.jpg,459,295
PMC3010650,JSC2011-496910.005.jpg,628,265
PMC3010650,JSC2011-496910.001.jpg,441,337
PMC3010650,JSC2011-496910.006.jpg,681,253
PMC3010650,JSC2011-496910.003.jpg,450,336
PMC3010650,JSC2011-496910.002.jpg,453,337
PMC3199405,ad-23-S111-g001.jpg,632,443
PMC3199405,ad-23-S111-g002.jpg,632,466
PMC3199405,ad-23-S111-g003.jpg,632,496
PMC3199418,ad-23-S36-g003.jpg,632,473
PMC3199418,ad-23-S36-g002.jpg,469,545
PMC3199418,ad-23-S36-g001.jpg,469,374
PMC3276894,IJD-56-670-g001.jpg,489,211
PMC3276894,IJD-56-670-g002.jpg,489,191
PMC3283857,ad-24-77-g002.jpg,632,474
PMC3283857,ad-24-77-i001.jpg,665,173
PMC3283857,ad-24-77-g001.jpg,632,816
PMC3262548,DERMATOLOGY2011-346754.001.jpg,600,460
PMC3262548,DERMATOLOGY2011-346754.003.jpg,600,484
PMC3262548,DERMATOLOGY2011-346754.002.jpg,600,551
PMC3281351,AMS-6-14659-g003.jpg,466,272
PMC3281351,AMS-6-14659-g002.jpg,467,272
PMC3281351,AMS-6-14659-g001.jpg,548,200
PMC3284335,279f4.jpg,558,576
PMC3284335,279f1.jpg,669,253
PMC3284335,279f3.jpg,669,283
PMC3284335,279f2.jpg,558,309
PMC2989703,JSC2011-406859.003.jpg,494,398
PMC2989703,JSC2011-406859.004.jpg,502,407
PMC2989703,JSC2011-406859.002.jpg,510,403
PMC2989703,JSC2011-406859.001.jpg,509,405
PMC3398325,1756-0500-5-35-5.jpg,600,180
PMC3398325,1756-0500-5-35-1.jpg,600,649
PMC3398325,1756-0500-5-35-4.jpg,600,180
PMC3398325,1756-0500-5-35-2.jpg,600,516
PMC3398325,1756-0500-5-35-3.jpg,600,516
PMC3532314,1471-5945-12-19-3.jpg,600,718
PMC3532314,1471-5945-12-19-4.jpg,600,706
PMC3532314,1471-5945-12-19-2.jpg,600,776
PMC3532314,1471-5945-12-19-1.jpg,600,281
PMC6081109,asm-6-642f3.jpg,754,207
PMC6081109,asm-6-642f2.jpg,799,333
PMC6081109,asm-6-642f1.jpg,756,209
PMC3338565,1471-5945-12-1-1.jpg,600,1282
PMC3338565,1471-5945-12-1-2.jpg,600,599
PMC3536434,JSC2012-943472.001.jpg,579,608
PMC3505789,ad-24-486-g001.jpg,792,265
PMC3505789,ad-24-486-g002.jpg,734,397
PMC3539390,ISRN.DERMATOLOGY2012-246542.004.jpg,600,516
PMC3539390,ISRN.DERMATOLOGY2012-246542.002.jpg,600,532
PMC3539390,ISRN.DERMATOLOGY2012-246542.008.jpg,600,408
PMC3539390,ISRN.DERMATOLOGY2012-246542.009.jpg,600,459
PMC3539390,ISRN.DERMATOLOGY2012-246542.003.jpg,600,479
PMC3539390,ISRN.DERMATOLOGY2012-246542.001.jpg,600,488
PMC3539390,ISRN.DERMATOLOGY2012-246542.006.jpg,600,460
PMC3539390,ISRN.DERMATOLOGY2012-246542.005.jpg,600,459
PMC3539390,ISRN.DERMATOLOGY2012-246542.007.jpg,600,460
PMC3573444,IDOJ-4-12-g004.jpg,617,460
PMC3573444,IDOJ-4-12-g003.jpg,741,733
PMC3573444,IDOJ-4-12-g010.jpg,1155,343
PMC3573444,IDOJ-4-12-g005.jpg,617,462
PMC3573444,IDOJ-4-12-g002.jpg,617,462
PMC3573444,IDOJ-4-12-g008.jpg,543,544
PMC3573444,IDOJ-4-12-g006.jpg,543,543
PMC3573444,IDOJ-4-12-g001.jpg,741,667
PMC3573444,IDOJ-4-12-g009.jpg,617,303
PMC3573444,IDOJ-4-12-g007.jpg,617,303
PMC3778768,IJD-58-331-g006.jpg,558,247
PMC3778768,IJD-58-331-g002.jpg,742,970
PMC3778768,IJD-58-331-g001.jpg,742,279
PMC3778768,IJD-58-331-g005.jpg,742,496
PMC3778768,IJD-58-331-g004.jpg,1157,222
PMC3778768,IJD-58-331-g003.jpg,742,496
PMC3884929,IJD-59-56-g001.jpg,559,354
PMC3884929,IJD-59-56-g003.jpg,560,894
PMC3884929,IJD-59-56-g002.jpg,1158,110
PMC3884929,IJD-59-56-g005.jpg,618,213
PMC3884929,IJD-59-56-g004.jpg,618,222
PMC3796394,OL-06-04-0939-g02.jpg,688,480
PMC3796394,OL-06-04-0939-g01.jpg,688,539
PMC3796394,OL-06-04-0939-g00.jpg,700,329
PMC3796394,OL-06-04-0939-g03.jpg,688,417
PMC3884938,IJD-59-88-g002.jpg,619,446
PMC3884938,IJD-59-88-g004.jpg,619,448
PMC3884938,IJD-59-88-g001.jpg,618,448
PMC3884938,IJD-59-88-g003.jpg,618,448
PMC3975641,1471-2407-14-157-2.jpg,600,520
PMC3975641,1471-2407-14-157-1.jpg,535,566
PMC3919844,dp0401a11g001.jpg,683,222
PMC3919844,dp0401a11g007.jpg,800,600
PMC3919844,dp0401a11g003.jpg,800,587
PMC3919844,dp0401a11g005.jpg,800,600
PMC3919844,dp0401a11g004.jpg,800,298
PMC3919844,dp0401a11g006.jpg,800,600
PMC3919844,dp0401a11g002.jpg,800,556
PMC3663354,dp0203a02g001.jpg,730,324
PMC3663354,dp0203a02g004b.jpg,651,449
PMC3663354,dp0203a02g002a.jpg,649,432
PMC3663354,dp0203a02g003b.jpg,730,315
PMC3663354,dp0203a02g007.jpg,730,348
PMC3663354,dp0203a02g005.jpg,730,309
PMC3663354,dp0203a02g006.jpg,730,315
PMC3663354,dp0203a02g004a.jpg,650,447
PMC3663354,dp0203a02g002b.jpg,650,486
PMC3663354,dp0203a02g003a.jpg,730,309
PMC3945250,CHSJ-35-4-228-fig5.jpg,704,468
PMC3945250,CHSJ-35-4-228-fig4.jpg,640,480
PMC3945250,CHSJ-35-4-228-fig7.jpg,704,528
PMC3945250,CHSJ-35-4-228-fig6.jpg,704,468
PMC3945250,CHSJ-35-4-228-ch1.jpg,624,382
PMC3945250,CHSJ-35-4-228-ch2.jpg,541,394
PMC3945250,CHSJ-35-4-228-fig2.jpg,640,480
PMC3945250,CHSJ-35-4-228-fig3.jpg,640,480
PMC3945250,CHSJ-35-4-228-fig1.jpg,640,480
PMC4046093,1477-7819-12-159-1.jpg,600,486
PMC4046093,1477-7819-12-159-2.jpg,600,451
PMC4046093,1477-7819-12-159-3.jpg,600,451
PMC4198581,ad-26-559-g002.jpg,622,409
PMC4198581,ad-26-559-i001.jpg,1200,273
PMC4198581,ad-26-559-g001.jpg,622,509
PMC4149681,40064_2014_1156_Fig1_HTML.jpg,600,265
PMC4149681,40064_2014_1156_Fig2_HTML.jpg,600,265
PMC4149681,40064_2014_1156_Fig3_HTML.jpg,600,836
PMC4279255,DRP2014-596564.001.jpg,756,217
PMC4279255,DRP2014-596564.002.jpg,662,622
PMC4323706,abd-90-01-0108-g01.jpg,600,450
PMC4323706,abd-90-01-0108-g03.jpg,700,1053
PMC4323706,abd-90-01-0108-g02.jpg,712,633
PMC4211181,DRP2014-931657.001.jpg,600,459
PMC4211181,DRP2014-931657.003.jpg,600,459
PMC4211181,DRP2014-931657.004.jpg,600,459
PMC4211181,DRP2014-931657.002.jpg,600,787
PMC4372948,IJD-60-214e-g003.jpg,536,402
PMC4372948,IJD-60-214e-g002.jpg,551,937
PMC4372948,IJD-60-214e-g001.jpg,553,312
PMC4300362,JCB-6-24213-g003.jpg,722,227
PMC4300362,JCB-6-24213-g004.jpg,723,242
PMC4300362,JCB-6-24213-g002.jpg,788,496
PMC4300362,JCB-6-24213-g001.jpg,788,677
PMC4502481,IJT-7-80-g001.jpg,534,391
PMC4450997,12886_2015_24_Fig3_HTML.jpg,567,425
PMC4450997,12886_2015_24_Fig2_HTML.jpg,567,372
PMC4450997,12886_2015_24_Fig1_HTML.jpg,568,495
PMC4499517,JCB-7-25225-g004.jpg,722,538
PMC4499517,JCB-7-25225-g003.jpg,722,538
PMC4499517,JCB-7-25225-g002.jpg,787,493
PMC4499517,JCB-7-25225-g001.jpg,721,267
PMC4235282,JSC2014-173582.007.jpg,608,343
PMC4235282,JSC2014-173582.008.jpg,604,499
PMC4235282,JSC2014-173582.006.jpg,599,362
PMC4235282,JSC2014-173582.002.jpg,719,616
PMC4235282,JSC2014-173582.004.jpg,750,725
PMC4235282,JSC2014-173582.003.jpg,774,846
PMC4235282,JSC2014-173582.005.jpg,750,727
PMC4235282,JSC2014-173582.001.jpg,668,270
PMC4609426,CRIONM2015-827608.002.jpg,779,348
PMC4609426,CRIONM2015-827608.003.jpg,696,405
PMC4609426,CRIONM2015-827608.001.jpg,792,601
PMC4601466,IJD-60-524f-g003.jpg,728,587
PMC4601466,IJD-60-524f-g001.jpg,539,317
PMC4601466,IJD-60-524f-g002.jpg,626,586
PMC4601466,IJD-60-524f-g004.jpg,1010,243
PMC4689077,abd-90-06-0874-g01.jpg,771,935
PMC4793064,JCB-8-26831-g001.jpg,730,186
PMC4793064,JCB-8-26831-g003.jpg,787,620
PMC4793064,JCB-8-26831-g002.jpg,718,541
PMC4621363,CRIT2015-356459.001.jpg,683,487
PMC4817476,IJD-61-236e-g003.jpg,586,586
PMC4817476,IJD-61-236e-g002.jpg,736,586
PMC4817476,IJD-61-236e-g001.jpg,352,586
PMC4817476,IJD-61-236e-g004.jpg,352,586
PMC4802550,gr1.jpg,711,276
PMC4674454,13555_2015_88_Fig5_HTML.jpg,598,449
PMC4674454,13555_2015_88_Fig7_HTML.jpg,598,913
PMC4674454,13555_2015_88_Fig1_HTML.jpg,760,567
PMC4674454,13555_2015_88_Fig2_HTML.jpg,753,567
PMC4674454,13555_2015_88_Fig8a_HTML.jpg,598,1374
PMC4674454,13555_2015_88_Fig10_HTML.jpg,598,448
PMC4674454,13555_2015_88_Fig11_HTML.jpg,598,899
PMC4674454,13555_2015_88_Fig6_HTML.jpg,598,451
PMC4674454,13555_2015_88_Fig3_HTML.jpg,591,664
PMC4674454,13555_2015_88_Fig9_HTML.jpg,598,447
PMC4674454,13555_2015_88_Fig8b_HTML.jpg,598,1368
PMC4674454,13555_2015_88_Fig4_HTML.jpg,708,859
PMC4924409,JCAS-9-122-g003.jpg,736,587
PMC4924409,JCAS-9-122-g001.jpg,539,366
PMC4924409,JCAS-9-122-g002.jpg,672,266
PMC4924409,JCAS-9-122-g004.jpg,605,477
PMC5025502,11033_2016_4040_Fig1_HTML.jpg,708,491
PMC5025502,11033_2016_4040_Fig2_HTML.jpg,708,474
PMC4972734,13555_2016_128_Fig1_HTML.jpg,551,835
PMC4972734,13555_2016_128_Fig2_HTML.jpg,551,628
PMC4830157,IJABMR-6-143-g005.jpg,539,215
PMC4830157,IJABMR-6-143-g002.jpg,539,304
PMC4830157,IJABMR-6-143-g004.jpg,782,586
PMC4830157,IJABMR-6-143-g001.jpg,760,586
PMC4830157,IJABMR-6-143-g003.jpg,539,338
PMC4966407,IJD-61-443-g001.jpg,605,261
PMC4966407,IJD-61-443-g002.jpg,605,200
PMC5082388,cancers-08-00098-g001.jpg,747,476
PMC4976408,IDOJ-7-285-g004.jpg,539,405
PMC4976408,IDOJ-7-285-g002.jpg,539,404
PMC4976408,IDOJ-7-285-g003.jpg,538,404
PMC4976408,IDOJ-7-285-g001.jpg,539,404
PMC5059144,cureus-0008-000000000770-i01.jpg,624,300
PMC5059144,cureus-0008-000000000770-i02.jpg,601,1015
PMC5216247,cde-0008-0363-g01.jpg,334,372
PMC5216247,cde-0008-0363-g02.jpg,520,405
PMC5318532,ad-29-79-g003.jpg,789,655
PMC5318532,ad-29-79-g002.jpg,732,425
PMC5318532,ad-29-79-g001.jpg,733,385
PMC5369293,IJO-65-48-g001.jpg,782,586
PMC5369293,IJO-65-48-g002.jpg,1010,255
PMC5387884,IJT-8-191-g004.jpg,782,587
PMC5387884,IJT-8-191-g003.jpg,539,404
PMC5387884,IJT-8-191-g005.jpg,782,587
PMC5387884,IJT-8-191-g002.jpg,782,586
PMC5387884,IJT-8-191-g006.jpg,782,587
PMC5387884,IJT-8-191-g001.jpg,782,586
PMC5364965,MMR-15-04-1441-g01.jpg,677,437
PMC5364965,MMR-15-04-1441-g00.jpg,677,600
PMC5364965,MMR-15-04-1441-g02.jpg,716,698
PMC5364965,MMR-15-04-1441-g03.jpg,672,1024
