pmid,pmcid,title,journal,insert_time,has_targz,disease
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2023-12-17-22-12-58,True,NotMatch
20865267,PMC2991233,Improved discrimination of melanotic schwannoma from melanocytic lesions by combined morphological and GNAQ mutational analysis.,Acta Neuropathol,2023-12-17-22-12-58,True,NotMatch
20877617,PMC2938563,Blue nevus of the prostate.,Indian J Urol,2023-12-17-22-12-58,True,Match
21477275,PMC3080280,Angiomatoid giant cellular blue nevus of vaginal wall associated with pregnancy.,Diagn Pathol,2023-12-17-22-12-58,True,Match
21731286,PMC3125665,The epithelioid blue nevus: A rare intraoral nevomelanocytic tumor.,J Oral Maxillofac Pathol,2023-12-17-22-12-58,True,Match
21876647,PMC3160009,Sclerosing 'mucinous' blue nevus: a clinical simulator of dermatofibroma.,Clin Med Pathol,2023-12-17-22-12-58,True,Match
22549672,PMC3505710,Oral pigmented lesions: Clinicopathologic features and review of the literature.,Med Oral Patol Oral Cir Bucal,2023-12-17-22-12-58,True,NotMatch
23008791,PMC3431064,Amelanotic cellular blue nevus: an unusual iris localization.,Case Rep Ophthalmol Med,2023-12-17-22-12-58,True,Match
23024873,PMC3457599,Coexisting malignant melanoma and blue nevus of the uterine cervix: an unusual combination.,Case Rep Pathol,2023-12-17-22-12-58,True,Match
23701745,PMC3667113,Cinnamic acid induces apoptotic cell death and cytoskeleton disruption in human melanoma cells.,J Exp Clin Cancer Res,2023-12-17-22-12-58,True,NotMatch
23785621,PMC3663372,Blue nevus with a starburst pattern on dermoscopy.,Dermatol Pract Concept,2023-12-17-22-12-58,True,Match
24077274,PMC4508742,Intramedullary and retroperitoneal melanocytic tumor associated with congenital blue nevus and nevus flammeus: an uncommon combination of neurocutaneous melanosis and phacomatosis pigmentovascularis--case report.,Neurol Med Chir (Tokyo),2023-12-17-22-12-58,True,Match
24163656,PMC3806697,Common blue nevus with satellite lesions needs a differential diagnosis from malignant melanoma.,Case Rep Dermatol,2023-12-17-22-12-58,True,Match
24179498,PMC3813810,Endometrioid adenocarcinoma concurrent with a blue nevus of the endometrium and uterine cervix: A case report.,Oncol Lett,2023-12-17-22-12-58,True,Match
24377954,PMC3917423,Unusual histopathological diagnosis of prostatic blue nevus: a case report.,J Med Case Rep,2023-12-17-22-12-58,True,Match
24616852,PMC3937483,Cerebriform intradermal nevus presenting as cutis verticis gyrata with multiple cellular blue nevus over the body: A rare occurrence.,Indian Dermatol Online J,2023-12-17-22-12-58,True,Match
24707253,PMC3975198,Blue nevus with a dermoscopic appearance of peripheral streaks with branches.,Case Rep Dermatol,2023-12-17-22-12-58,True,Match
25126462,PMC4132002,Melanoma and satellite blue papule.,Dermatol Pract Concept,2023-12-17-22-12-58,True,NotMatch
25371626,PMC4216555,Prostatic melanosis.,Urol Ann,2023-12-17-22-12-58,True,NotMatch
25426206,PMC4242048,[Atypical blue cellular nevus of the wrist: about a case and review of the literature].,Pan Afr Med J,2023-12-17-22-12-58,True,NotMatch
25588635,PMC4284490,A case of epithelioid blue nevus.,Korean J Pathol,2023-12-17-22-12-58,True,Match
25943242,PMC4894794,Atypical Spitz Tumor Arising on a Congenital Linear Plaque-Type Blue Nevus: A Case Report With a Review of the Literature on Plaque-Type Blue Nevus.,Am J Dermatopathol,2023-12-17-22-12-58,True,Match
26336618,PMC4536876,The long history of a melanoma associated with a congenital large plaque type blue nevus with subcutaneous cellular nodules.,Dermatol Pract Concept,2023-12-17-22-12-58,True,Match
26825879,PMC5291549,GNA11 Mutation in a Patient With Cutaneous Origin Melanoma: A Case Report.,Medicine (Baltimore),2023-12-17-22-12-58,True,NotMatch
26841936,PMC4963963,"Carney Complex with Multiple Cardiac Myxomas, Pigmented Nodular Adrenocortical Hyperplasia, Epithelioid Blue Nevus, and Multiple Calcified Lesions of the Testis: A Case Report.",J Pathol Transl Med,2023-12-17-22-12-58,True,Match
26885520,PMC4739011,Automatic Classification of Specific Melanocytic Lesions Using Artificial Intelligence.,Biomed Res Int,2023-12-17-22-12-58,True,NotMatch
26955158,PMC4763674,Giant Cerebriform Congenital Cellular Blue Nevus Presenting as Cutis Verticis Gyrata.,Indian J Dermatol,2023-12-17-22-12-58,True,Match
26955582,PMC4763572,Reticulin immunostaining revisited.,Indian Dermatol Online J,2023-12-17-22-12-58,True,NotMatch
27014556,PMC4778898,Giant Congenital Sclerosing Blue Nevus of the Scalp Presenting with Rapidly Disseminated Fatal Metastases in a Pediatric Patient.,Plast Reconstr Surg Glob Open,2023-12-17-22-12-58,True,Match
27057633,PMC5053711,Genetic profile of GNAQ-mutated blue melanocytic neoplasms reveals mutations in genes linked to genomic instability and the PI3K pathway.,Oncotarget,2023-12-17-22-12-58,True,NotMatch
27313934,PMC4899595,Cellular Blue Nevus Diagnosed following Excision of Melanoma: A Challenge in Diagnosis.,Case Rep Pathol,2023-12-17-22-12-58,True,Match
27456492,PMC4960676,Complete regression of primary cutaneous malignant melanoma associated with distant lymph node metastasis: a teaching case mimicking blue nevus.,BMC Res Notes,2023-12-17-22-12-58,True,Match
27462219,PMC4943305,Localized Eruptive Blue Nevi after Herpes Zoster.,Case Rep Dermatol,2023-12-17-22-12-58,True,NotMatch
27579751,PMC4999114,Melanoma associated with congenital intermediate common blue nevus of the scalp - Case report.,An Bras Dermatol,2023-12-17-22-12-58,True,Match
27602212,PMC4998223,"Expression of microphthalmia transcription factor, S100 protein, and HMB-45 in malignant melanoma and pigmented nevi.",Biomed Rep,2023-12-17-22-12-58,True,NotMatch
