pmcid,figure_name,width,height
PMC2991233,401_2010_749_Fig3_HTML.jpg,605,406
PMC2991233,401_2010_749_Fig2_HTML.jpg,604,612
PMC2991233,401_2010_749_Fig1_HTML.jpg,603,611
PMC2938563,IJU-26-301-g002.jpg,618,468
PMC2938563,IJU-26-301-g001.jpg,627,468
PMC1586213,1746-1596-1-31-5.jpg,600,450
PMC1586213,1746-1596-1-31-4.jpg,600,450
PMC1586213,1746-1596-1-31-2.jpg,600,450
PMC1586213,1746-1596-1-31-3.jpg,600,450
PMC1586213,1746-1596-1-31-1.jpg,600,484
PMC3160009,cpath-1-2008-015f1.jpg,571,431
PMC3125665,JOMFP-15-88-g002.jpg,743,495
PMC3125665,JOMFP-15-88-g001.jpg,744,495
PMC3505710,medoral-17-e919-g003.jpg,707,445
PMC3505710,medoral-17-e919-g002.jpg,700,721
PMC3505710,medoral-17-e919-g001.jpg,718,766
PMC3080280,1746-1596-6-32-4.jpg,600,448
PMC3080280,1746-1596-6-32-3.jpg,600,448
PMC3080280,1746-1596-6-32-2.jpg,600,215
PMC3080280,1746-1596-6-32-5.jpg,600,449
PMC3080280,1746-1596-6-32-1.jpg,550,368
PMC3431064,CRIM.OPHMED2012-209603.002.jpg,600,1964
PMC3431064,CRIM.OPHMED2012-209603.001.jpg,600,1940
PMC3663372,dp0204a07g004.jpg,666,496
PMC3663372,dp0204a07g003.jpg,666,479
PMC3663372,dp0204a07g001.jpg,666,501
PMC3663372,dp0204a07g002.jpg,666,539
PMC3667113,1756-9966-32-31-3.jpg,600,636
PMC3667113,1756-9966-32-31-2.jpg,600,637
PMC3667113,1756-9966-32-31-1.jpg,600,284
PMC3667113,1756-9966-32-31-6.jpg,600,765
PMC3667113,1756-9966-32-31-4.jpg,600,305
PMC3667113,1756-9966-32-31-5.jpg,600,398
PMC3667113,1756-9966-32-31-7.jpg,600,601
PMC3667113,1756-9966-32-31-8.jpg,600,768
PMC3667113,1756-9966-32-31-9.jpg,600,593
PMC3806697,cde-0005-0244-g01.jpg,749,338
PMC3806697,cde-0005-0244-g02.jpg,693,523
PMC4508742,nmc-53-730-g1.jpg,725,410
PMC4508742,nmc-53-730-g3.jpg,562,349
PMC4508742,nmc-53-730-g5.jpg,594,912
PMC4508742,nmc-53-730-g4.jpg,534,551
PMC4508742,nmc-53-730-g2.jpg,560,422
PMC3917423,1752-1947-7-291-1.jpg,600,678
PMC3813810,OL-06-05-1219-g01.jpg,688,1391
PMC3813810,OL-06-05-1219-g00.jpg,602,541
PMC3975198,cde-0006-0066-g01.jpg,709,426
PMC4132002,dpc0403a12g005.jpg,800,890
PMC4132002,dpc0403a12g001.jpg,666,998
PMC4132002,dpc0403a12g007.jpg,666,500
PMC4132002,dpc0403a12g004.jpg,666,667
PMC4132002,dpc0403a12g006.jpg,666,617
PMC4132002,dpc0403a12g002.jpg,666,570
PMC4132002,dpc0403a12g003.jpg,666,496
PMC3937483,IDOJ-5-34-g003.jpg,372,578
PMC3937483,IDOJ-5-34-g004.jpg,372,298
PMC3937483,IDOJ-5-34-g001.jpg,287,403
PMC3937483,IDOJ-5-34-g007.jpg,372,321
PMC3937483,IDOJ-5-34-g008.jpg,372,567
PMC3937483,IDOJ-5-34-g002.jpg,372,373
PMC3937483,IDOJ-5-34-g005.jpg,372,399
PMC3937483,IDOJ-5-34-g006.jpg,372,328
PMC4242048,PAMJ-18-248-g001.jpg,633,423
PMC4242048,PAMJ-18-248-g002.jpg,574,431
PMC4216555,UA-6-384-g003.jpg,670,487
PMC4216555,UA-6-384-g001.jpg,695,522
PMC4216555,UA-6-384-g002.jpg,695,522
PMC4216555,UA-6-384-g004.jpg,744,487
PMC3457599,CRIM.PATHOLOGY2012-986542.003.jpg,600,2940
PMC3457599,CRIM.PATHOLOGY2012-986542.005.jpg,600,2940
PMC3457599,CRIM.PATHOLOGY2012-986542.004.jpg,600,3919
PMC3457599,CRIM.PATHOLOGY2012-986542.002.jpg,600,455
PMC3457599,CRIM.PATHOLOGY2012-986542.001.jpg,600,3920
PMC4894794,ajd-37-0915-g005.jpg,653,644
PMC4894794,ajd-37-0915-g003.jpg,705,409
PMC4894794,ajd-37-0915-g001.jpg,681,443
PMC4894794,ajd-37-0915-g004.jpg,653,309
PMC4894794,ajd-37-0915-g002.jpg,681,383
PMC4536876,dp0503a04g003.jpg,666,496
PMC4536876,dp0503a04g002.jpg,666,682
PMC4536876,dp0503a04g001.jpg,666,498
PMC5291549,medi-95-e2336-g003.jpg,800,295
PMC5291549,medi-95-e2336-g002.jpg,800,263
PMC5291549,medi-95-e2336-g001.jpg,800,725
PMC4284490,kjpathol-48-6-434f2.jpg,635,458
PMC4284490,kjpathol-48-6-434f1.jpg,635,459
PMC4763674,IJD-61-126a-g002.jpg,539,256
PMC4763674,IJD-61-126a-g001.jpg,782,587
