pmcid,figure_name,width,height
PMC6076095,medi-97-e11459-g004.jpg,800,865
PMC6076095,medi-97-e11459-g001.jpg,800,227
PMC6076095,medi-97-e11459-g002.jpg,800,373
PMC6076095,medi-97-e11459-g006.jpg,800,201
PMC6076095,medi-97-e11459-g005.jpg,800,229
PMC6076095,medi-97-e11459-g003.jpg,800,649
PMC3267057,jkss-81-S12-i001.jpg,655,352
PMC3267057,jkss-81-S12-g002.jpg,529,229
PMC3267057,jkss-81-S12-g003.jpg,530,399
PMC3267057,jkss-81-S12-g001.jpg,529,389
PMC2923790,jkms-25-1387-g003.jpg,538,359
PMC2923790,jkms-25-1387-g002.jpg,661,211
PMC2923790,jkms-25-1387-g001.jpg,661,211
PMC6615421,acfs-2019-00031f3.jpg,680,545
PMC6615421,acfs-2019-00031f2.jpg,757,405
PMC6615421,acfs-2019-00031f1.jpg,756,407
PMC8890759,autopsy-12-e2021361-g02.jpg,611,336
PMC8890759,autopsy-12-e2021361-g01.jpg,499,635
PMC8890759,autopsy-12-e2021361-g03.jpg,643,643
PMC9009347,JoU-22-88-0012-g001.jpg,672,678
PMC9009347,JoU-22-88-0012-g003.jpg,672,585
PMC9009347,JoU-22-88-0012-g002.jpg,672,585
PMC9568760,gr6.jpg,634,596
PMC9568760,gr2.jpg,634,805
PMC9568760,gr4.jpg,650,632
PMC9568760,gr3.jpg,633,648
PMC9568760,gr5.jpg,634,634
PMC9568760,gr1.jpg,633,600
