pmid,pmcid,title,journal,insert_time
18053137,PMC2221870,Scar-like lesion on dorsal nose (cellular neurothekeoma).,Head Face Med,2023-12-17-22-14-24
23691398,PMC3638503,Oral cellular neurothekeoma.,Case Rep Otolaryngol,2023-12-17-22-14-24
24103568,PMC3853886,Benign cutaneous plexiform hybrid tumor of perineurioma and cellular neurothekeoma arising from the nose.,Diagn Pathol,2023-12-17-22-14-24
25143683,PMC4135109,"Myxoid Cellular Neurothekeoma: A New Entity of S100-Negative, CD68-Positive Myxoid Neurothekeoma.",Ann Dermatol,2023-12-17-22-14-24
26312702,PMC4540536,Cellular neurothekeoma: case report and its (un) relation with nerve sheath myxoma.,An Bras Dermatol,2023-12-17-22-14-24
26955142,PMC4763654,Cellular Neurothekeoma on the Lip.,Indian J Dermatol,2023-12-17-22-14-24
27047920,PMC4772936,A Case of a Cellular Neurothekeoma Presenting with Headaches and Review of the Literature.,Dermatopathology (Basel),2023-12-17-22-14-24
27047928,PMC4772922,Cellular Neurothekeoma in a Female with Guillain-Barré Syndrome: A Case Report and Review of the Literature.,Dermatopathology (Basel),2023-12-17-22-14-24
27195257,PMC4868812,Cellular Neurothekeoma of the Scalp in the Elderly.,Brain Tumor Res Treat,2023-12-17-22-14-24
27622087,PMC5010351,Cellular Neurothekeoma: A Rare Tumor with a Common Clinical Presentation.,Plast Reconstr Surg Glob Open,2023-12-17-22-14-24
31607885,PMC6787406,Unusual Recurrent Lateral Canthus Mass in a 16-Year-Old Male Patient: Neurothekeoma.,Case Rep Oncol,2023-12-17-22-14-24
33393524,PMC8183354,Atypical cellular neurothekeoma (ACN) of the elderly: case report and brief review of the literature.,Pathologica,2023-12-17-22-14-24
33408843,PMC7772765,"Co-expression of CD34 and h-caldesmon in a benign meningioma-like dermal neoplasm, a case report.",Dermatol Reports,2023-12-17-22-14-24
34759406,PMC8530069,A Case of Dermal Nerve Sheath Myxoma: A Different Tumor from Cellular Neurothekeoma.,Indian J Dermatol,2023-12-17-22-14-24
35028394,PMC8714564,Cellular neurothekeoma.,Int J Womens Dermatol,2023-12-17-22-14-24
35265740,PMC8899132,Dermatoscopy of cellular neurothekeoma.,JAAD Case Rep,2023-12-17-22-14-24
35795835,PMC9251521,Atypical cellular neurothekeoma: Report of a case.,Dermatol Reports,2023-12-17-22-14-24
36439782,PMC9685377,Atypical cellular neurothekeoma: A lamb in wolf's clothing.,JAAD Case Rep,2023-12-17-22-14-24
