pmcid,label,caption,graphic,disease,modality
PMC2221870,Figure 1,"A 0.3 cm, soft, light pink neoformation in the dorsal aspect of nose.",1746-160X-3-39-1,NotMatch,NotMatch
PMC2221870,Figure 2,"H-E 40× – Dense infiltrates of fusiform cells arranged in nests, with some mitoses (pleomorphic cytology).",1746-160X-3-39-2,NotMatch,NotMatch
PMC2221870,Figure 3,Defect correction with a Limbert flap.,1746-160X-3-39-3,NotMatch,NotMatch
PMC3638503,Figure 1,"Intraoral submucosal lesion on the right side of the floor of the mouth of a 15-years-old girl, diagnosed with cellular neurothekeoma after biopsy.",CRIM.OTOLARYNGOLOGY2013-935435.001,Match,NotMatch
PMC3638503,Figure 2,"H&E stain, low (a) and high (b) power microscopic views. Intramucosal micronodules, shaped in a characteristic whorled pattern with concentric growth. Cells are epithelioid to spindle shaped with mild cytologic atypia.",CRIM.OTOLARYNGOLOGY2013-935435.002,NotMatch,Match
PMC3853886,Figure 1,"Microscopic and immunohistochemical examination of the resected HPN specimen. (A) A scanning magnification of HPN (H&E stains) showed well-circumscribed but uncapsulated dermal to superficial subcutaneous multi-lobulated nodular lesions in a plexiform manner, separated by a slightly dense and sclerotic collagenous stroma, and compressing the pre-existing sebaceous glands. Bar = 1 mm. (B) Its multi-lobulated parts (H&E stains) were composed of a proliferation of neoplastic cells, arranged in tiny round or whorled nests and embedded in a relatively abundant Alcian blue-positive myxoid stroma (inset). Bar = 200 μm. (C) High-power view demonstrated that most of these neoplastic cells had a small and oval to plump spindle shape, with vesicular nuclei, inconspicuous nucleoli, abundant pale eosinophilic cytoplasm, and indistinct cellular borders (H&E stains). Mitotic figures were very rarely encountered. Bar = 50 μm. (D) In immunohistochemistry, the tumor cells of HPN were specifically positive (insets) for MiTF (lt.) and Glut-1 (rt.). Bars = 20 μm.",1746-1596-8-165-1,NotMatch,Match
PMC4763654,Figure 1,"A reddish, solid nodule sized 3.5 × 3.5 mm on the left side of the upper lip",IJD-61-122d-g001,NotMatch,NotMatch
PMC4763654,Figure 2,"(a) Histopathological specimen showed lobular nodules on the shallow dermis, and the border of nodules was clear (hematoxylin–eosin stain). (b) The nodules were composed of cells which have a myxoid matrix and a spindle-shaped nucleus. (c) The tumor cells were positive for NGF. (d) There were a number of mast cells within the tumor nests and the myxomatous stroma surrounding the tumor (toluidine blue stain)",IJD-61-122d-g002,NotMatch,NotMatch
PMC4540536,FIGURE 1,"Firm, erythematous, dome-shaped, frontal papule",abd-90-03-s1-0156-g01,NotMatch,NotMatch
PMC4540536,FIGURE 2,"Higher magnifi cation showing grouped spindle cells with round to oval nuclei, no
atypia, and moderately dense collagenous stroma. H&E, 200X",abd-90-03-s1-0156-g02,NotMatch,Match
PMC4540536,FIGURE 3,"Immunohistochemistry panel. A: Highly positive for CD10; B. Negative for S100. It
was also negative for Claudin-1",abd-90-03-s1-0156-g03,NotMatch,NotMatch
PMC4540536,FIGURE 4,"Classification scheme of Neurothekeoma according to myxoid matrix in cellular,
myxoid or mixed, Neurothekeoma. Nerve sheath myxoma has been intentionally placed
outside",abd-90-03-s1-0156-g04,NotMatch,NotMatch
PMC4135109,Fig. 1,"(A) A solitary erythematous, 0.7-×0.6-cm, telangiectatic nodule on the left eyebrow. (B) The nodule has a smooth and shiny surface with some telangiectasia.",ad-26-510-g001,NotMatch,NotMatch
PMC4135109,Fig. 2,"Histopathological findings. (A) The tumor is in the dermis and lobulated, not encapsulated (H&E, ×20). (B~D) The tumor cells were composed of stellate and spindle-shaped cells within an abundant myxoid stroma (H&E; B: ×100, C: ×200, D: ×400).",ad-26-510-g002,NotMatch,Match
PMC4135109,Fig. 3,"Immunohistochemical findings. (A) The amount of myxoid stroma was >50% (alcian blue, ×40). (B, C) The tumor cells were positive for CD68 and vimentin (B: CD68, ×100; C: vimentin, ×100). The tumor cells were negative for S100 protein (D, ×100), CD57 (E, ×100), and glial fibrillary acidic protein (F, ×100).",ad-26-510-g003,NotMatch,Match
PMC4772936,Fig. 1,A 5-mm orange-pink papule on the right frontal scalp.,dpa-0001-0029-g01,NotMatch,NotMatch
PMC4772936,Fig. 2,Low power reveals numerous nests and fascicles of cells intersecting the collagen bundles of the superficial and deep reticular dermis. HE. ×4.,dpa-0001-0029-g02,NotMatch,NotMatch
PMC4772936,Fig. 3,"The nests and fascicles are composed of large, oval to spindled cells with abundant amphophilic cytoplasm and little nuclear cytologic pleomorphism; occasional cells possess smudgy hyperchromatic nuclei. HE. ×10.",dpa-0001-0029-g03,NotMatch,Match
PMC4772936,Fig. 4,"The nests and fascicles are composed of large, oval to spindled cells with abundant amphophilic cytoplasm and little nuclear cytologic pleomorphism; occasional cells possess smudgy hyperchromatic nuclei. HE. ×20.",dpa-0001-0029-g04,NotMatch,NotMatch
