pmcid,figure_name,width,height
PMC2221870,1746-160X-3-39-2.jpg,600,450
PMC2221870,1746-160X-3-39-3.jpg,600,450
PMC2221870,1746-160X-3-39-1.jpg,600,450
PMC3853886,1746-1596-8-165-1.jpg,600,407
PMC3638503,CRIM.OTOLARYNGOLOGY2013-935435.001.jpg,600,412
PMC3638503,CRIM.OTOLARYNGOLOGY2013-935435.002.jpg,600,980
PMC4540536,abd-90-03-s1-0156-g03.jpg,771,289
PMC4540536,abd-90-03-s1-0156-g04.jpg,771,271
PMC4540536,abd-90-03-s1-0156-g02.jpg,600,451
PMC4540536,abd-90-03-s1-0156-g01.jpg,600,417
PMC4763654,IJD-61-122d-g001.jpg,645,586
PMC4763654,IJD-61-122d-g002.jpg,777,586
PMC4772922,dpa-0001-0091-g01.jpg,694,544
PMC4772922,dpa-0001-0091-g03.jpg,694,1123
PMC4772922,dpa-0001-0091-g02.jpg,694,1124
PMC4135109,ad-26-510-g001.jpg,733,361
PMC4135109,ad-26-510-g003.jpg,789,416
PMC4135109,ad-26-510-g002.jpg,789,619
PMC4135109,ad-26-510-i001.jpg,1200,413
PMC4772936,dpa-0001-0029-g01.jpg,749,560
PMC4772936,dpa-0001-0029-g05.jpg,749,749
PMC4772936,dpa-0001-0029-g02.jpg,749,749
PMC4772936,dpa-0001-0029-g04.jpg,749,749
PMC4772936,dpa-0001-0029-g03.jpg,749,883
PMC6787406,cro-0012-0693-g01.jpg,748,560
PMC5010351,gox-4-e1006-g004.jpg,800,695
PMC5010351,gox-4-e1006-g001.jpg,800,1060
PMC5010351,gox-4-e1006-g002.jpg,800,795
PMC5010351,gox-4-e1006-g003.jpg,800,437
PMC8183354,pathol-2020-04-210-g005.jpg,619,163
PMC8183354,pathol-2020-04-210-g001.jpg,449,240
PMC8183354,pathol-2020-04-210-g003.jpg,449,422
PMC8183354,pathol-2020-04-210-g004.jpg,450,369
PMC8183354,pathol-2020-04-210-g002.jpg,451,371
PMC4868812,btrt-4-17-g002.jpg,714,535
PMC4868812,btrt-4-17-g003.jpg,713,522
PMC4868812,btrt-4-17-g001.jpg,666,327
PMC8530069,IJD-66-416-g001.jpg,632,587
PMC8530069,IJD-66-416-g006.jpg,733,587
PMC8530069,IJD-66-416-g007.jpg,706,586
PMC8530069,IJD-66-416-g005.jpg,725,587
PMC8530069,IJD-66-416-g004.jpg,730,587
PMC8530069,IJD-66-416-g002.jpg,646,586
PMC8530069,IJD-66-416-g003.jpg,661,587
PMC8714564,gr2.jpg,714,269
PMC8714564,gr1.jpg,714,402
PMC9251521,dr-14-2-9327-g001.jpg,500,380
PMC8899132,gr2.jpg,722,633
PMC8899132,gr3.jpg,747,1127
PMC8899132,gr1.jpg,722,770
PMC7772765,dr-12-3-8994-g002.jpg,500,375
PMC7772765,dr-12-3-8994-g001.jpg,500,382
PMC9685377,gr2.jpg,606,877
PMC9685377,gr4.jpg,606,870
PMC9685377,gr3.jpg,764,875
PMC9685377,gr1.jpg,606,1267
