pmid,pmcid,title,journal,insert_time,label,caption,graphic
18053137,PMC2221870,Scar-like lesion on dorsal nose (cellular neurothekeoma).,Head Face Med,2023-12-17-22-14-24,Figure 1,"A 0.3 cm, soft, light pink neoformation in the dorsal aspect of nose.",1746-160X-3-39-1
18053137,PMC2221870,Scar-like lesion on dorsal nose (cellular neurothekeoma).,Head Face Med,2023-12-17-22-14-24,Figure 2,"H-E 40× – Dense infiltrates of fusiform cells arranged in nests, with some mitoses (pleomorphic cytology).",1746-160X-3-39-2
18053137,PMC2221870,Scar-like lesion on dorsal nose (cellular neurothekeoma).,Head Face Med,2023-12-17-22-14-24,Figure 3,Defect correction with a Limbert flap.,1746-160X-3-39-3
23691398,PMC3638503,Oral cellular neurothekeoma.,Case Rep Otolaryngol,2023-12-17-22-14-24,Figure 1,"Intraoral submucosal lesion on the right side of the floor of the mouth of a 15-years-old girl, diagnosed with cellular neurothekeoma after biopsy.",CRIM.OTOLARYNGOLOGY2013-935435.001
23691398,PMC3638503,Oral cellular neurothekeoma.,Case Rep Otolaryngol,2023-12-17-22-14-24,Figure 2,"H&E stain, low (a) and high (b) power microscopic views. Intramucosal micronodules, shaped in a characteristic whorled pattern with concentric growth. Cells are epithelioid to spindle shaped with mild cytologic atypia.",CRIM.OTOLARYNGOLOGY2013-935435.002
24103568,PMC3853886,Benign cutaneous plexiform hybrid tumor of perineurioma and cellular neurothekeoma arising from the nose.,Diagn Pathol,2023-12-17-22-14-24,Figure 1,"Microscopic and immunohistochemical examination of the resected HPN specimen. (A) A scanning magnification of HPN (H&E stains) showed well-circumscribed but uncapsulated dermal to superficial subcutaneous multi-lobulated nodular lesions in a plexiform manner, separated by a slightly dense and sclerotic collagenous stroma, and compressing the pre-existing sebaceous glands. Bar = 1 mm. (B) Its multi-lobulated parts (H&E stains) were composed of a proliferation of neoplastic cells, arranged in tiny round or whorled nests and embedded in a relatively abundant Alcian blue-positive myxoid stroma (inset). Bar = 200 μm. (C) High-power view demonstrated that most of these neoplastic cells had a small and oval to plump spindle shape, with vesicular nuclei, inconspicuous nucleoli, abundant pale eosinophilic cytoplasm, and indistinct cellular borders (H&E stains). Mitotic figures were very rarely encountered. Bar = 50 μm. (D) In immunohistochemistry, the tumor cells of HPN were specifically positive (insets) for MiTF (lt.) and Glut-1 (rt.). Bars = 20 μm.",1746-1596-8-165-1
25143683,PMC4135109,"Myxoid Cellular Neurothekeoma: A New Entity of S100-Negative, CD68-Positive Myxoid Neurothekeoma.",Ann Dermatol,2023-12-17-22-14-24,Fig. 1,"(A) A solitary erythematous, 0.7-×0.6-cm, telangiectatic nodule on the left eyebrow. (B) The nodule has a smooth and shiny surface with some telangiectasia.",ad-26-510-g001
25143683,PMC4135109,"Myxoid Cellular Neurothekeoma: A New Entity of S100-Negative, CD68-Positive Myxoid Neurothekeoma.",Ann Dermatol,2023-12-17-22-14-24,Fig. 2,"Histopathological findings. (A) The tumor is in the dermis and lobulated, not encapsulated (H&E, ×20). (B~D) The tumor cells were composed of stellate and spindle-shaped cells within an abundant myxoid stroma (H&E; B: ×100, C: ×200, D: ×400).",ad-26-510-g002
25143683,PMC4135109,"Myxoid Cellular Neurothekeoma: A New Entity of S100-Negative, CD68-Positive Myxoid Neurothekeoma.",Ann Dermatol,2023-12-17-22-14-24,Fig. 3,"Immunohistochemical findings. (A) The amount of myxoid stroma was >50% (alcian blue, ×40). (B, C) The tumor cells were positive for CD68 and vimentin (B: CD68, ×100; C: vimentin, ×100). The tumor cells were negative for S100 protein (D, ×100), CD57 (E, ×100), and glial fibrillary acidic protein (F, ×100).",ad-26-510-g003
26312702,PMC4540536,Cellular neurothekeoma: case report and its (un) relation with nerve sheath myxoma.,An Bras Dermatol,2023-12-17-22-14-24,FIGURE 1,"Firm, erythematous, dome-shaped, frontal papule",abd-90-03-s1-0156-g01
