pmid,pmcid,title,journal,insert_time
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2024-02-14-09-13-02
22028557,PMC3199407,A case of familial cutaneous collagenoma.,Ann Dermatol,2024-02-14-09-13-02
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02
24082230,PMC3778825,Isolated pedunculated collagenoma (collagen nevi) of the scalp.,Indian J Dermatol,2024-02-14-09-13-02
24403773,PMC3877481,Isolated collagenoma on the scalp: a rare presentation.,Int J Trichology,2024-02-14-09-13-02
25657425,PMC4318031,Eruptive collagenoma: a rarely reported entity in Indian literature.,Indian J Dermatol,2024-02-14-09-13-02
25993076,PMC4977593,Storiform collagenoma: case report.,Einstein (Sao Paulo),2024-02-14-09-13-02
26500869,PMC4594398,"Unilateral hypertrophic skin lesions, hemimegalencephaly, and meningioma: The many faces of Proteus syndrome.",Indian Dermatol Online J,2024-02-14-09-13-02
27065842,PMC4821157,Circumscribed Storiform Collagenoma Associated with Rubinstein-Taybi Syndrome in a Young Adolescent.,Case Rep Dermatol,2024-02-14-09-13-02
27081269,PMC4828385,"The Importance of Collagen Tissue in Papular Elastorrhexis, Eruptive Collagenoma, and Nevus Anelasticus.",Ann Dermatol,2024-02-14-09-13-02
28320435,PMC5360073,Case report: a case of eruptive collagenoma occurring in esophagus and intestine.,Diagn Pathol,2024-02-14-09-13-02
28584376,PMC5448268,Solitary Collagenoma of the Labium Majus: A Rare Occurrence.,Indian J Dermatol,2024-02-14-09-13-02
29445568,PMC5808365,Satisfactory treatment of a large connective tissue nevus with intralesional steroid injection.,Dermatol Pract Concept,2024-02-14-09-13-02
29785328,PMC5955078,Dermoscopy of a solitary storiform collagenoma.,Dermatol Pract Concept,2024-02-14-09-13-02
30464568,PMC6208790,Papular elastorrhexis: clinical perspectives.,Clin Cosmet Investig Dermatol,2024-02-14-09-13-02
34211915,PMC8202495,Multidermatomal Zosteriform Collagenoma: A Rare Case Report with Dermoscopic Findings and Review of Literature.,Indian Dermatol Online J,2024-02-14-09-13-02
35368583,PMC8971342,Case Report: Acquired collagenoma on the dorsum of the foot.,JPRAS Open,2024-02-14-09-13-02
35820949,PMC9453520,Eruptive collagenoma in a juvenile patient with Down syndrome.,An Bras Dermatol,2024-02-14-09-13-02
35957797,PMC9364325,DermatoFibroSarcoma Protuberans: A case report of a complete cure.,Clin Case Rep,2024-02-14-09-13-02
36092498,PMC9420932,Two-stage skin grafting using a basic fibroblast growth factor-impregnated artificial dermis.,Regen Ther,2024-02-14-09-13-03
36134098,PMC9481210,A Case Report of a Sclerotic Fibroma of the Oral Mucosa.,Cureus,2024-02-14-09-13-02
36238068,PMC9514397,Sclerotic Fibroma Presenting as an Axillary Mass: A Case Report with Imaging Features.,Taehan Yongsang Uihakhoe Chi,2024-02-14-09-13-02
36281971,PMC9907574,Connective tissue nevus-Isolated collagenoma.,Skin Res Technol,2024-02-14-09-13-02
36325452,PMC9618614,"Beyond the ""3 Ps"": A critical appraisal of the non-endocrine manifestations of multiple endocrine neoplasia type 1.",Front Endocrinol (Lausanne),2024-02-14-09-13-02
36798808,PMC9926988,Preparation of Cod Skin Collagen Peptides/Chitosan-Based Temperature-Sensitive Gel and Its Anti-Photoaging Effect in Skin.,Drug Des Devel Ther,2024-02-14-09-13-03
36998845,PMC10043719,An Eruptive Collagenoma Mimicking Phrynoderma in an Adolescent Girl.,Indian J Dermatol,2024-02-14-09-13-02
37151256,PMC10162764,Segmental Collagenoma in Tuberous Sclerosis - Think Beyond the Skin: A Rare Case Report.,Indian J Dermatol,2024-02-14-09-13-02
37323268,PMC10264934,"Coexistence of mucinous nevus and multiple collagenoma with unilateral, dermatomal, and multi segmental distribution.",Clin Case Rep,2024-02-14-09-13-02
37484956,PMC10360178,Cutaneous lesions and other non-endocrine manifestations of Multiple Endocrine Neoplasia type 1 syndrome.,Front Endocrinol (Lausanne),2024-02-14-09-13-02
37658302,PMC10474775,Isolated collagenoma in an HIV-positive patient on ART: a case report.,BMC Infect Dis,2024-02-14-09-13-02
37848914,PMC10583392,Connective tissue nevus misdiagnosed as juvenile localized scleroderma.,Pediatr Rheumatol Online J,2024-02-14-09-13-02
