pmcid,figure_name,width,height
PMC3401852,IJD-57-304-g007.jpg,510,126
PMC3401852,IJD-57-304-g002.jpg,705,733
PMC3401852,IJD-57-304-g003.jpg,562,407
PMC3401852,IJD-57-304-g006.jpg,562,387
PMC3401852,IJD-57-304-g005.jpg,730,611
PMC3401852,IJD-57-304-g001.jpg,510,96
PMC3401852,IJD-57-304-g004.jpg,678,611
PMC2225390,1746-1596-2-47-3.jpg,600,450
PMC2225390,1746-1596-2-47-1.jpg,600,450
PMC2225390,1746-1596-2-47-2.jpg,600,450
PMC3877481,IJT-5-88-g001.jpg,291,374
PMC3877481,IJT-5-88-g004.jpg,516,387
PMC3877481,IJT-5-88-g002.jpg,487,373
PMC3877481,IJT-5-88-g003.jpg,465,349
PMC3778825,IJD-58-411e-g003.jpg,743,537
PMC3778825,IJD-58-411e-g004.jpg,558,419
PMC3778825,IJD-58-411e-g001.jpg,743,538
PMC3778825,IJD-58-411e-g002.jpg,743,538
PMC4318031,IJD-60-104b-g004.jpg,539,371
PMC4318031,IJD-60-104b-g001.jpg,640,587
PMC4318031,IJD-60-104b-g006.jpg,540,586
PMC4318031,IJD-60-104b-g003.jpg,539,309
PMC4318031,IJD-60-104b-g005.jpg,434,658
PMC4318031,IJD-60-104b-g002.jpg,736,587
PMC4977593,1679-4508-eins-13-1-103-gf01-pt.jpg,600,465
PMC4977593,1679-4508-eins-13-1-103-gf01.jpg,600,465
PMC4977593,1679-4508-eins-13-1-103-gf02-pt.jpg,600,490
PMC4977593,1679-4508-eins-13-1-103-gf02.jpg,600,490
PMC3199407,ad-23-S119-g001.jpg,469,223
PMC3199407,ad-23-S119-g003.jpg,632,473
PMC3199407,ad-23-S119-g002.jpg,404,226
PMC4828385,ad-28-210-i003.jpg,779,685
PMC4828385,ad-28-210-i002.jpg,778,165
PMC4828385,ad-28-210-i001.jpg,776,720
PMC4821157,cde-0008-0059-g01.jpg,708,1042
PMC4821157,cde-0008-0059-g02.jpg,705,529
PMC4821157,cde-0008-0059-g03.jpg,703,263
PMC5448268,IJD-62-312-g002.jpg,539,211
PMC5448268,IJD-62-312-g001.jpg,539,402
PMC5360073,13000_2017_617_Fig1_HTML.jpg,567,574
PMC5808365,dp0801a03g001.jpg,659,963
PMC5808365,dp0801a03g002.jpg,670,287
PMC5955078,dp0802a09g001.jpg,700,741
PMC5955078,dp0802a09g003.jpg,683,471
PMC5955078,dp0802a09g002.jpg,700,525
PMC4594398,IDOJ-6-348-g005.jpg,539,437
PMC4594398,IDOJ-6-348-g002.jpg,539,395
PMC4594398,IDOJ-6-348-g001.jpg,582,766
PMC4594398,IDOJ-6-348-g007.jpg,487,287
PMC4594398,IDOJ-6-348-g006.jpg,582,776
PMC4594398,IDOJ-6-348-g004.jpg,583,608
PMC4594398,IDOJ-6-348-g003.jpg,539,488
PMC8971342,gr2.jpg,694,462
PMC8971342,gr4.jpg,750,996
PMC8971342,gr3.jpg,750,996
PMC8971342,gr1.jpg,694,463
PMC9453520,gr2.jpg,752,269
PMC9453520,gr1.jpg,754,568
PMC8202495,IDOJ-12-447-g002.jpg,539,538
PMC8202495,IDOJ-12-447-g003.jpg,539,467
PMC8202495,IDOJ-12-447-g001.jpg,599,598
PMC9364325,CCR3-10-e6218-g003.jpg,661,498
PMC9364325,CCR3-10-e6218-g002.jpg,661,498
PMC9364325,CCR3-10-e6218-g004.jpg,461,675
PMC9364325,CCR3-10-e6218-g001.jpg,551,847
PMC9420932,gr2.jpg,745,219
PMC9420932,gr3.jpg,745,210
PMC9420932,gr1.jpg,745,209
PMC9514397,jksr-82-977-g001.jpg,691,761
PMC9907574,SRT-28-880-g002.jpg,560,129
PMC9907574,SRT-28-880-g001.jpg,560,155
PMC9481210,cureus-0014-00000027627-i01.jpg,750,500
PMC9481210,cureus-0014-00000027627-i03.jpg,750,500
PMC9481210,cureus-0014-00000027627-i06.jpg,750,557
PMC9481210,cureus-0014-00000027627-i07.jpg,750,557
PMC9481210,cureus-0014-00000027627-i02.jpg,750,500
PMC9481210,cureus-0014-00000027627-i05.jpg,750,879
PMC9481210,cureus-0014-00000027627-i04.jpg,750,500
PMC10043719,IJD-67-838b-g004.jpg,456,586
PMC10043719,IJD-67-838b-g006.jpg,539,383
PMC10043719,IJD-67-838b-g005.jpg,316,587
PMC10043719,IJD-67-838b-g001.jpg,533,587
PMC10043719,IJD-67-838b-g002.jpg,392,587
PMC10043719,IJD-67-838b-g003.jpg,539,359
PMC10162764,IJD-68-123a-g003.jpg,780,586
PMC10162764,IJD-68-123a-g001.jpg,539,362
PMC10162764,IJD-68-123a-g004.jpg,539,262
PMC10162764,IJD-68-123a-g002.jpg,780,586
PMC10264934,CCR3-11-e7429-g001.jpg,461,239
PMC10264934,CCR3-11-e7429-g005.jpg,709,325
PMC10264934,CCR3-11-e7429-g002.jpg,709,1058
PMC10264934,CCR3-11-e7429-g004.jpg,709,367
PMC10264934,CCR3-11-e7429-g003.jpg,709,367
PMC10360178,fendo-14-1191040-g003.jpg,768,481
PMC10360178,fendo-14-1191040-g002.jpg,787,284
PMC10360178,fendo-14-1191040-g001.jpg,738,989
PMC10360178,fendo-14-1191040-g004.jpg,738,716
PMC9926988,DDDT-17-419-g0001.jpg,753,301
PMC9926988,DDDT-17-419-e0001.jpg,568,125
PMC9926988,DDDT-17-419-g0006.jpg,630,1239
PMC9926988,DDDT-17-419-g0003.jpg,750,588
PMC9926988,DDDT-17-419-e0002.jpg,46,54
PMC9926988,DDDT-17-419-e0003.jpg,46,54
PMC9926988,DDDT-17-419-g0005.jpg,753,418
PMC9926988,DDDT-17-419-g0004.jpg,753,727
PMC9926988,DDDT-17-419-g0002.jpg,750,563
PMC9926988,DDDT-17-419-g0007.jpg,753,573
PMC10474775,12879_2023_8548_Fig1_HTML.jpg,594,446
PMC9618614,fendo-13-1029041-g002.jpg,708,591
PMC9618614,fendo-13-1029041-g004.jpg,753,377
PMC9618614,fendo-13-1029041-g001.jpg,708,661
PMC9618614,fendo-13-1029041-g003.jpg,794,371
