pmid,pmcid,title,journal,insert_time,label,caption,graphic
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2024-02-14-09-13-02,Figure 1,High magnification aspect of the neurofibroma showing floret-like multinucleated giant cells (arrows).,1746-1596-2-47-1
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2024-02-14-09-13-02,Figure 2,"Vimentin positive floret-like multinucleated giant cells (arrows), in a background showing vimentin positive spindle cells.",1746-1596-2-47-2
18067673,PMC2225390,Floret-like multinucleated giant cells in neurofibroma.,Diagn Pathol,2024-02-14-09-13-02,Figure 3,CD 34 positive cells and multinucleated giant cells in the neurofibroma.,1746-1596-2-47-3
22028557,PMC3199407,A case of familial cutaneous collagenoma.,Ann Dermatol,2024-02-14-09-13-02,Fig. 1,"(A) Multiple 5~15 mm sized oval to round hypopigmented papules and patches on the patient's abdomen, chest, and flank. (B) The magnified clinical feature on abdomen.",ad-23-S119-g001
22028557,PMC3199407,A case of familial cutaneous collagenoma.,Ann Dermatol,2024-02-14-09-13-02,Fig. 2,"Pedigree of the family. Men are represented by squares, women by circles. The solid symbols denote the cases.",ad-23-S119-g002
22028557,PMC3199407,A case of familial cutaneous collagenoma.,Ann Dermatol,2024-02-14-09-13-02,Fig. 3,"(A) Skin biopsy from the lower abdomen revealed slightly homogenized condensed collagen and decreased elastic fibers in the dermis (H&E, ×40). (B) Excessive accumulation of collagen in the dermis (Masson's trichrome stain, ×40). (C) Decreased and fragmented elastic fibers in the dermis (Verhoeff-van Gieson stain, ×40)",ad-23-S119-g003
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02,Figure 1,Papules on abdomen,IJD-57-304-g002
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02,Figure 2,"Erythematous papule on chest,hyperpigmented macule on chest",IJD-57-304-g003
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02,Figure 3,Gingival papule,IJD-57-304-g004
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02,Figure 4,MRI of Brain showing Pituitary tumour,IJD-57-304-g005
22837571,PMC3401852,Not just skin deep: a case report of multiple endocrine neoplasia type 1.,Indian J Dermatol,2024-02-14-09-13-02,Figure 5,"Van Gieson's stained section of skin coloured papule over abdomen consistent with Collagenoma, 40× magnification",IJD-57-304-g006
24082230,PMC3778825,Isolated pedunculated collagenoma (collagen nevi) of the scalp.,Indian J Dermatol,2024-02-14-09-13-02,Figure 1,A single pedunculated tumor like mass on vertex of scalp,IJD-58-411e-g001
24082230,PMC3778825,Isolated pedunculated collagenoma (collagen nevi) of the scalp.,Indian J Dermatol,2024-02-14-09-13-02,Figure 2,H and E stained section from pedunculated mass showing acanthotic epidermis and dense collagen bundles in the deeper dermis arranged in a haphazard manner. (×40),IJD-58-411e-g002
24082230,PMC3778825,Isolated pedunculated collagenoma (collagen nevi) of the scalp.,Indian J Dermatol,2024-02-14-09-13-02,Figure 3,Masson's trichrome stained section showing green colored staining collagen bundles suggesting excessive collagen. (×40),IJD-58-411e-g003
