pmid,pmcid,title,journal,insert_time,has_targz
17728522,PMC2693832,Recurrent lower gastrointestinal bleeding from congenital arteriovenous malformation in the terminal ileum mimicking intestinal varicosis: a case report.,J Korean Med Sci,2023-12-17-22-16-03,True
1844646,PMC3049719,Congenital arteriovenous malformation associated with progressive hydrocephalus in a newborn.,J Korean Med Sci,2023-12-17-22-16-03,True
23807885,PMC3693837,Giant congenital malformation of the perirectal plexus in computed tomography imaging - case report.,Pol J Radiol,2023-12-17-22-16-03,True
24478832,PMC3903820,Adequate time of initiation of continuous infusion of nitroglycerin for controlling pulmonary arterial pressure during ethanol embolotherapy of congenital arteriovenous malformation of the extremities.,Korean J Anesthesiol,2023-12-17-22-16-03,True
28400997,PMC5359997,Congenital Uterine Arteriovenous Malformation Presenting as Postcoital bleeding: A Rare Presentation of a Rare Clinical Condition.,J Clin Imaging Sci,2023-12-17-22-16-03,True
33642758,PMC7905278,Asymptomatic Large Pulmonary Arteriovenous Malformation Masquerading as a Metastatic Deposit in a Patient with Papillary Thyroid Carcinoma.,Indian J Nucl Med,2023-12-17-22-16-03,True
34539966,PMC8434792,Congenital arteriovenous malformation of upper trunk in a child.,Pan Afr Med J,2023-12-17-22-16-03,True
35601380,PMC9121071,Arteriovenous fistula after robotic partial nephrectomy: Case report and narrative review.,Radiol Case Rep,2023-12-17-22-16-03,True
36700008,PMC9869679,A male congenital pelvic arteriovenous malformation diagnosed by abdominal ultrasound: A case report and literature review.,Front Surg,2023-12-17-22-16-03,True
37908527,PMC10615591,Unusual Arteriovenous Malformation in Total Hip Arthroplasty: Case Report of a Complicated Perioperative Course.,Rev Bras Ortop (Sao Paulo),2023-12-17-22-16-03,False
