pmcid,figure_name,width,height
PMC2693832,jkms-22-746-g005.jpg,472,472
PMC2693832,jkms-22-746-g004.jpg,472,335
PMC2693832,jkms-22-746-g003.jpg,473,473
PMC2693832,jkms-22-746-g001.jpg,472,472
PMC2693832,jkms-22-746-g002.jpg,470,303
PMC3903820,kjae-65-S105-i001.jpg,1200,184
PMC3693837,poljradiol-78-2-50-g002.jpg,720,383
PMC3693837,poljradiol-78-2-50-g001.jpg,720,255
PMC3693837,poljradiol-78-2-50-g003.jpg,720,399
PMC7905278,IJNM-35-326-g002.jpg,605,327
PMC7905278,IJNM-35-326-g001.jpg,605,223
PMC5359997,JCIS-7-11-g007.jpg,748,586
PMC5359997,JCIS-7-11-g005.jpg,785,384
PMC5359997,JCIS-7-11-g004.jpg,785,522
PMC5359997,JCIS-7-11-g006.jpg,661,586
PMC5359997,JCIS-7-11-g002.jpg,785,569
PMC5359997,JCIS-7-11-g003.jpg,764,587
PMC5359997,JCIS-7-11-g001.jpg,77,84
PMC8434792,PAMJ-39-170-g001.jpg,709,313
PMC9121071,gr2.jpg,714,451
PMC9121071,gr3.jpg,714,595
PMC9121071,gr1.jpg,714,526
PMC9869679,fsurg-09-907234-g003.jpg,700,256
PMC9869679,fsurg-09-907234-g001.jpg,760,164
PMC9869679,fsurg-09-907234-g002.jpg,700,293
PMC9869679,fsurg-09-907234-g004.jpg,760,168
