pmid,pmcid,title,journal,insert_time,has_targz,disease
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2023-12-17-22-13-00,True,NotMatch
20300333,PMC2840880,Serial excision of congenital melanocytic nevi.,J Cutan Aesthet Surg,2023-12-17-22-13-00,True,NotMatch
21572688,PMC3081491,Congenital melanocytic nevus of upper eyelid.,J Cutan Aesthet Surg,2023-12-17-22-13-00,True,Match
21722368,PMC3154168,An unusual case of congenital melanocytic nevus presenting as neurocutaneous melanoma coexisting with Tuberous Sclerosis complex: A case report.,J Med Case Rep,2023-12-17-22-13-00,True,Match
22906024,PMC3575290,Human giant congenital melanocytic nevus exhibits potential proteomic alterations leading to melanotumorigenesis.,Proteome Sci,2023-12-17-22-13-00,True,Match
23716838,PMC3657248,Congenital melanocytic nevus admixed with speckled lentiginous nevus.,Indian J Dermatol,2023-12-17-22-13-00,True,Match
23723605,PMC3663176,Congenital melanocytic nevi: catch them early!,J Cutan Aesthet Surg,2023-12-17-22-13-00,True,NotMatch
24086812,PMC3785592,Multidirectional vector excision leads to better outcomes than traditional elliptical excision of facial congenital melanocytic nevus.,Arch Plast Surg,2023-12-17-22-13-00,True,Match
24249902,PMC3827522,Giant congenital melanocytic nevus with developmental dysplasia of bilateral hip: a rare association.,Indian J Dermatol,2023-12-17-22-13-00,True,Match
24474093,PMC3900335,Giant congenital melanocytic nevus.,An Bras Dermatol,2023-12-17-22-13-00,True,Match
24751729,PMC4165863,Next-generation sequencing of nevus spilus-type congenital melanocytic nevus: exquisite genotype-phenotype correlation in mosaic RASopathies.,J Invest Dermatol,2023-12-17-22-13-00,True,Match
24765271,PMC3981219,Congenital melanocytic nevus of the oral mucosa: report of a rare pigmented lesion and review of the literature.,Clin Pract,2023-12-17-22-13-00,True,Match
24917899,PMC4022147,"Catch 22, giant congenital melanocytic nevus in a florid keloid former.",Eplasty,2023-12-17-22-13-00,True,Match
25075368,PMC4113705,"A new modality for treating congenital melanocytic nevus: ""cogwheel pattern"" serial excision method.",Arch Plast Surg,2023-12-17-22-13-00,True,Match
25143702,PMC4135128,Giant congenital melanocytic nevus with proliferative nodules mimicking a congenital malignant melanoma.,Ann Dermatol,2023-12-17-22-13-00,True,Match
25289356,PMC4174235,Long-term Survival after Metastatic Childhood Melanoma.,Plast Reconstr Surg Glob Open,2023-12-17-22-13-00,True,NotMatch
25324667,PMC4198602,Effective treatment of congenital melanocytic nevus and nevus sebaceous using the pinhole method with the erbium-doped yttrium aluminium garnet laser.,Ann Dermatol,2023-12-17-22-13-00,True,Match
25378884,PMC4220406,Ocular findings in a case of periorbital giant congenital melanocytic nevus.,Oman J Ophthalmol,2023-12-17-22-13-00,True,Match
25657396,PMC4318062,Neurotized congenital melanocytic nevus resembling a pigmented neurofibroma.,Indian J Dermatol,2023-12-17-22-13-00,True,Match
25722729,PMC4334432,Giant congenital melanocytic nevi and neurocutaneous melanosis.,Case Rep Med,2023-12-17-22-13-00,True,NotMatch
25763285,PMC4339976,Nonpigmented metastatic melanoma in a two-year-old girl: a serious diagnostic dilemma.,Case Rep Oncol Med,2023-12-17-22-13-00,True,NotMatch
25815427,PMC4539947,Acute Inhibition of MEK Suppresses Congenital Melanocytic Nevus Syndrome in a Murine Model Driven by Activated NRAS and Wnt Signaling.,J Invest Dermatol,2023-12-17-22-13-00,True,Match
26171106,PMC4473815,Giant Congenital Melanocytic Nevus of the Buttock.,Eplasty,2023-12-17-22-13-00,True,Match
26301158,PMC4527643,Extraordinary Large Giant Congenital Melanocytic Nevus Treated with Integra Dermal Regeneration Template.,Plast Reconstr Surg Glob Open,2023-12-17-22-13-00,True,Match
26495228,PMC4596440,Applying a Dermal Regenerative Template in Management of Congenital Melanocytic Nevi of the Hand.,Plast Reconstr Surg Glob Open,2023-12-17-22-13-00,True,NotMatch
26588343,PMC4894811,Spontaneous Involution of Congenital Melanocytic Nevus With Halo Phenomenon.,Am J Dermatopathol,2023-12-17-22-13-00,True,Match
26693085,PMC4667597,Atypical dermoscopic presentation of an acral congenital melanocytic nevus in an adult: parallel ridge pattern and its histologic correlation.,Dermatol Pract Concept,2023-12-17-22-13-00,True,Match
26826932,PMC4818315,Case report of nodular melanoma within congenital melanocytic nevus- primary closure challenge.,Int J Surg Case Rep,2023-12-17-22-13-00,True,Match
26848235,PMC4737821,Congenital Melanocytic Nevus with Distinctive Nevus Cell Proliferation within Multiple Epidermal Cyst-Like Changes.,Ann Dermatol,2023-12-17-22-13-00,True,Match
27051741,PMC4809225,Innumerable nevi with giant congenital melanocytic nevus clinically mimicking neurofibromatosis: A diagnostic challenge.,JAAD Case Rep,2023-12-17-22-13-00,True,Match
27057033,PMC4817458,Giant Congenital Melanocytic Nevus with Occipital Encephalocele: A Very Rare Association.,Indian J Dermatol,2023-12-17-22-13-00,True,Match
27398198,PMC4891480,Phacomatosis pigmentokeratotica or the Schimmelpenning-Feuerstein-Mims syndrome?,Clin Case Rep,2023-12-17-22-13-00,True,NotMatch
27563370,PMC4980805,Pilomatrixoma Arising Juxtaposed to Congenital Melanocytic Nevi: Concern for Malignant Degeneration? A Previously Unreported Association.,Eplasty,2023-12-17-22-13-00,True,NotMatch
27857802,PMC5108136,Giant melanocytic nevi with neurocutaneous melanosis masquerading as neurofibromas.,J Pediatr Neurosci,2023-12-17-22-13-00,True,NotMatch
28538879,PMC5429105,A prospective study of patients with large congenital melanocytic nevi and the risk of melanoma.,An Bras Dermatol,2023-12-17-22-13-00,True,NotMatch
28538892,PMC5429118,Giant congenital melanocytic nevi: 40 years of experience with the serial excision technique.,An Bras Dermatol,2023-12-17-22-13-00,True,NotMatch
28785352,PMC5535677,Late Onset Achromatic Melanoma Arising in a Giant Congenital Melanocytic Nevus.,Open Access Maced J Med Sci,2023-12-17-22-13-00,True,Match
28785360,PMC5535685,Giant Congenital Melanocytic Nevus (GCMN) - A New Hope for Targeted Therapy?,Open Access Maced J Med Sci,2023-12-17-22-13-00,True,Match
28794873,PMC5540706,Congenital and infantile malignant melanoma of the scalp: A systematic review.,Ann Med Surg (Lond),2023-12-17-22-13-00,True,NotMatch
29484013,PMC5816287,Medium Sized Congenital Melanocytic Nevus with Suspected Progression to Melanoma during Pregnancy: What's the Best for the Patient?,Open Access Maced J Med Sci,2023-12-17-22-13-00,True,Match
29606826,PMC5839900,Atypical Proliferative Nodule with Melanocytic Intraepidermal Pagetoid Spreading Arising within a Congenital Melanocytic Nevus in a Pregnant Woman.,Ann Dermatol,2023-12-17-22-13-00,True,Match
29933750,PMC6015456,Giant congenital melanocytic nevus in a Cameroonian child: a case report.,J Med Case Rep,2023-12-17-22-13-00,True,Match
29948137,PMC6060827,Neurocutaneous melanosis presenting with hydrocephalus and malignant transformation: case-based update.,Childs Nerv Syst,2023-12-17-22-13-00,True,NotMatch
30276054,PMC6157934,Efficacy of Cultured Epithelial Autograft after Curettage for Giant Melanocytic Nevus of the Head.,Plast Reconstr Surg Glob Open,2023-12-17-22-13-00,True,NotMatch
