pmcid,figure_name,width,height
PMC3154168,1752-1947-5-267-3.jpg,600,433
PMC3154168,1752-1947-5-267-4.jpg,600,502
PMC3154168,1752-1947-5-267-1.jpg,600,442
PMC3154168,1752-1947-5-267-2.jpg,600,665
PMC1586213,1746-1596-1-31-5.jpg,600,450
PMC1586213,1746-1596-1-31-4.jpg,600,450
PMC1586213,1746-1596-1-31-2.jpg,600,450
PMC1586213,1746-1596-1-31-3.jpg,600,450
PMC1586213,1746-1596-1-31-1.jpg,600,484
PMC3657248,IJD-58-161a-g002.jpg,616,231
PMC3657248,IJD-58-161a-g001.jpg,643,488
PMC3081491,JCAS-4-61-g001.jpg,484,622
PMC3081491,JCAS-4-61-g006.jpg,564,410
PMC3081491,JCAS-4-61-g002.jpg,559,397
PMC3081491,JCAS-4-61-g003.jpg,572,406
PMC3081491,JCAS-4-61-g007.jpg,502,670
PMC3081491,JCAS-4-61-g009.jpg,525,819
PMC3081491,JCAS-4-61-g008.jpg,549,665
PMC3081491,JCAS-4-61-g004.jpg,571,406
PMC3081491,JCAS-4-61-g005.jpg,564,402
PMC3663176,JCAS-6-38-g004.jpg,462,739
PMC3663176,JCAS-6-38-g003.jpg,656,492
PMC3663176,JCAS-6-38-g001.jpg,659,492
PMC3663176,JCAS-6-38-g002.jpg,648,739
PMC3827522,IJD-58-475-g002.jpg,600,443
PMC3827522,IJD-58-475-g003.jpg,591,443
PMC3827522,IJD-58-475-g001.jpg,591,442
PMC3900335,abd-88-06-0863-g01.jpg,600,430
PMC3900335,abd-88-06-0863-g03.jpg,739,1067
PMC3900335,abd-88-06-0863-g02.jpg,771,310
PMC3900335,abd-88-06-0863-g06.jpg,600,660
PMC3900335,abd-88-06-0863-g04.jpg,771,288
PMC3900335,abd-88-06-0863-g05.jpg,771,308
PMC3785592,aps-40-570-g001.jpg,744,146
PMC3785592,aps-40-570-g002.jpg,746,681
PMC3785592,aps-40-570-i001.jpg,1200,515
PMC3785592,aps-40-570-g003.jpg,703,682
PMC3785592,aps-40-570-g004.jpg,772,497
PMC3785592,aps-40-570-g005.jpg,780,500
PMC3981219,cp-2011-1-e17-g003.jpg,655,452
PMC3981219,cp-2011-1-e17-g002.jpg,658,494
PMC3981219,cp-2011-1-e17-g005.jpg,658,497
PMC3981219,cp-2011-1-e17-g001.jpg,663,444
PMC3981219,cp-2011-1-e17-g004.jpg,668,504
PMC3981219,cp-2011-1-e17-g006.jpg,660,499
PMC4022147,eplasty14ic14_fig1.jpg,729,709
PMC4165863,jid2014195f2.jpg,760,614
PMC4165863,jid2014195f1.jpg,752,552
PMC4113705,aps-41-418-g002.jpg,784,615
PMC4113705,aps-41-418-g001.jpg,748,492
PMC4174235,gox-2-e163-g001.jpg,800,594
PMC4198602,ad-26-651-g001.jpg,789,539
PMC4198602,ad-26-651-g002.jpg,789,279
PMC4135128,ad-26-554-g001.jpg,624,669
PMC4135128,ad-26-554-g002.jpg,790,351
PMC4220406,OJO-7-153-g001.jpg,548,586
PMC4220406,OJO-7-153-g004.jpg,540,586
PMC4220406,OJO-7-153-g002.jpg,692,586
PMC4220406,OJO-7-153-g003.jpg,786,586
PMC3575290,1477-5956-10-50-7.jpg,600,915
PMC3575290,1477-5956-10-50-6.jpg,600,861
PMC3575290,1477-5956-10-50-5.jpg,600,466
PMC3575290,1477-5956-10-50-2.jpg,600,553
PMC3575290,1477-5956-10-50-4.jpg,600,733
PMC3575290,1477-5956-10-50-1.jpg,600,1440
PMC3575290,1477-5956-10-50-3.jpg,600,1134
PMC4334432,CRIM2015-545603.003.jpg,711,609
PMC4334432,CRIM2015-545603.001.jpg,786,564
PMC4334432,CRIM2015-545603.002.jpg,745,357
PMC4334432,CRIM2015-545603.004.jpg,750,347
PMC4339976,CRIONM2015-298273.002.jpg,750,571
PMC4339976,CRIONM2015-298273.001.jpg,750,625
PMC4339976,CRIONM2015-298273.003.jpg,750,571
PMC4318062,IJD-60-46-g010.jpg,782,586
PMC4318062,IJD-60-46-g002.jpg,781,586
PMC4318062,IJD-60-46-g009.jpg,783,586
PMC4318062,IJD-60-46-g003.jpg,783,586
