pmcid,label,caption,graphic,disease,modality
PMC7640793,Figure 1,"Various clinical presentations of cutaneous fibrous histiocytoma on finger. (a) Case 10, a 3-mm diameter dome-shaped firm nodule on the left second finger. The impression was cutaneous fibrous histiocytoma. (b) Case 8, a 5-mm diameter pruritic and tender nodule on the left second finger. The impression was Picker's nodule. (c) Case 5, a 8-mm diameter hyperkeratotic nodule on the right third finger. The impression was wart",IJD-65-401-g001,Match,NotMatch
PMC7640793,Figure 2,"Histopathological view. (a) The fibrocollagenous type shows a predominance of collagen bundles and spindle cells in a storiform and fascicular pattern (case 10) (H and E, ×100). (b) The cellular type shows a predominance of histiocyte-like cells (case 9) (H and E, ×100). (c) The angiomatous type shows numerous small vascular structures in a collagenous stroma (case 11) (H and E, ×100). (d) The triad of epidermal changes such as hyperkeratosis, acanthosis, and basal layer hyperpigmentation is noted in case 12 (H and E, ×100). (e) The tumor invades the subcutaneous tissues (case 4) (H and E, ×100). (f) Factor XIIIa is expressed in some lesional cells (case 3) (×200). (g) CD68 is expressed in some of lesional cells (case 7) (×400). (h) α-Smooth muscle actin is strongly expressed in histioid cells and spindle cells of the lesions (case 5) (×400)",IJD-65-401-g002,NotMatch,Match
PMC8395898,Figure 1,A grayish crusty and scaling plaque with a 30 mm of diameter was detected on the anterior middle third of the left leg.,dermatopathology-08-00041-g001,NotMatch,NotMatch
PMC8395898,Figure 2,"(A) The lesion was composed of a variable admixture of fibroblast-like cells and histiocytes that showed in more than 85% a large eosinophilic cytoplasm filled of granules or microvacuoles (hematoxylin and eosin, original magnification 40×). (B) Cytological details of the lesion with granular cytoplasm (original magnification 60×). Box: Histological details of the granular cytoplasm of the GCD constituent cells (original magnification 60×). (C) The neoplastic cells were strongly immunoreactive for CD68 (original magnification 40×).",dermatopathology-08-00041-g002,NotMatch,NotMatch
PMC3420401,Figure 1,Clinical presentation.,CRIM.PATHOLOGY2011-612416.001,NotMatch,NotMatch
PMC3420401,Figure 2,"Cellular dermal proliferation of spindle and pleomorphic cells with epidermal hyperplasia, a grenz zone, and prominent blood-filled spaces (hematoxylin and eosin ×40).",CRIM.PATHOLOGY2011-612416.002,NotMatch,NotMatch
PMC3420401,Figure 3,"Histiocyte-like and fibroblast-like spindle cells intermingled with atypical mononuclear and giant cells, sometimes with foamy cytoplasm, showing nuclear pleomorphism and bizarre nuclei; a mitosis is seen in the upper right (hematoxylin and eosin ×100).",CRIM.PATHOLOGY2011-612416.003,NotMatch,Match
PMC3420401,Figure 4,Tumor cells are focally positive for CD68 (immunohistochemistry ×400).,CRIM.PATHOLOGY2011-612416.004,NotMatch,NotMatch
PMC6636932,Figure 1,"CT and MRI results. (A–C) Pulmonary CT scanning was performed and found a mass with soft tissue density (5.4 × 2.6 cm) near the hilm of inferior lobe of left lung. (A: lung window; B: mediastinal window; C: after enhancement). (D) Ultrasound revealed a mass (2.75 × 2.58 × 2.77 cm) with relative clear boundary in the right upper arm near elbow joint. Ultrasound showed uneven echoes, and blood flow signals within the mass.",medi-98-e16102-g001,NotMatch,NotMatch
PMC6636932,Figure 2,"Histologic features. (A) At low magnification, the tumor is circumscribed with sharp demarcation from surrounding adipose tissues (○ indicated the component of fibrous histiocytoma; ∗ indicated the necrosis area; the arrow head indicated the component of adenocarcinoma). (B) The tumor was well-demarcated from the surrounding tissue a thin fibrous capsule. (C and D) The tumor was composed of blind, spindle cells, and amount of foam cells and arranged in lobulated or nodule pattern. Necrosis were observed even under low magnification in the central of nodule (∗ indicated the necrosis area). (E and F) The epithelioid atypical cells arranged in nests, cords or even formed poorly glandular or papillary structures. (G) The tumor cells showed prominent atypia at high magnification. (H) Focally, the tumor cells arranged in cords and caused the confusion with proliferative vascular endothelial cells.",medi-98-e16102-g002,NotMatch,NotMatch
PMC6636932,Figure 3,"Immunohistochemical staining results. (A and B) The adenocarcinoma cells were diffusely positive for AE1/AE3. (C and D) The fibrous histiocytoma cells were diffusely positive for Vimentin. (E) TTF-1 staining clearly displayed the adenocarcinoma component. (F) The epithelioid cells were negative for CD68, while the osteoclast-like giant cells were outlined by CD68 staining. (G) The fibrous histiocytoma component was diffusely positive for CD68. (H) The Ki-67 labeling index was approximately 60% in the adenocarcinoma component and was <2% in the region of fibrous histiocytoma.",medi-98-e16102-g003,NotMatch,NotMatch
PMC9527676,Figure 1.,A dark-brown papule of the left leg appeared one year before and slowly increased in size.,dr-14-3-9110-g001,NotMatch,NotMatch
PMC9527676,Figure 2.,"The lesion was composed of a variable admixture of fibroblast-like cells and histiocytes that showed in more than 90% a large eosinophilic cytoplasm filled of granules or microvacuoles (Hematoxylin-Eosin, A: original magnification 40x; B: original magnification 200x). The neoplastic cells were strongly immunoreactive for CD68 (C: original magnification 40x) and negative for S100 protein (D: original magnification 100x).",dr-14-3-9110-g002,NotMatch,Match
