pmcid,figure_name,width,height
PMC7640793,IJD-65-401-g001.jpg,539,716
PMC7640793,IJD-65-401-g002.jpg,669,250
PMC8395898,dermatopathology-08-00041-g001.jpg,795,755
PMC8395898,dermatopathology-08-00041-g002.jpg,754,435
PMC6636932,medi-98-e16102-g002.jpg,800,913
PMC6636932,medi-98-e16102-g001.jpg,800,579
PMC6636932,medi-98-e16102-g003.jpg,800,913
PMC9527676,dr-14-3-9110-g001.jpg,304,500
PMC9527676,dr-14-3-9110-g002.jpg,500,512
PMC3420401,CRIM.PATHOLOGY2011-612416.002.jpg,600,483
PMC3420401,CRIM.PATHOLOGY2011-612416.001.jpg,600,339
PMC3420401,CRIM.PATHOLOGY2011-612416.004.jpg,600,483
PMC3420401,CRIM.PATHOLOGY2011-612416.003.jpg,600,483
