pmcid,label,caption,graphic
PMC4083669,Figure 1.,"A) A well-circumscribed lesion with basaloid nests in the dermis, rimmed by prominent lymphocytic inflammation at the deep margin (Hematoxylin & Eosin, 20×). B) Irregularly-shaped nests of basaloid and clear cells, without peripheral palisading or retraction artifact, in a collagenous stroma (Hematoxylin & Eosin, 100×). C) A thick rim of mature lymphocytes is present at the deep margin (Hematoxylin & Eosin, 100×). D) Mature lymphocytes are seen in the nests and stroma (Hematoxylin & Eosin, 100×).",rt-2014-2-5358-g001
PMC7969119,Figure 1,"Clinical photograph of an indolent, asymptomatic nodule on the forehead.",CRIDM2021-5543404.001
PMC7969119,Figure 2,(a) Histopathological findings demonstrate ill-defined interconnected islands of epithelial cells within a sclerotic stroma (4x). (b) The epithelial cells have eosinophilic to clear cytoplasm and mild pleomorphic vesicular nuclei (10x). A peripheral rim of palisading basophilic cells surrounds the epithelial islands. A prominent lymphocytic infiltration and few plasma cells that spill over to the epithelial nests is also present (hematoxylin-eosin).,CRIDM2021-5543404.002
PMC3331883,Fig. 1,"Skin-colored, elastic-hard, well-demarcated nodule on the right cheek. The tumor mass was 20 × 22 mm in size.",cde-0004-0050-g01
PMC3331883,Fig. 2,"Cords, lobules, and interconnected strands with peripheral, palisaded border of basaloid-like cells and a slight admixture of central mononuclear cells (original magnification a ×50, b–d ×200).",cde-0004-0050-g02
PMC3331883,Fig. 3,"Immunohistochemical stainings for cutaneous lymphadenoma. Paraffin-embedded tissue samples from the patient were stained as follows: the sections were developed with 3,3-diaminobenzidine tetrahydrochloride for CD1a (a), CD3 (b), CD4 (c), CD7 (d), CD8 (e), CD20 (f), CD68 (g), and TIA-1 (h) (original magnification ×200).",cde-0004-0050-g03
PMC3331883,Fig. 4,"Formalin-fixed paraffin-embedded tissue samples from patients with cutaneous lymphadenoma were sectioned at 4 μm and deparaffinized. Deparaffinized sections were treated with autoclave heating at 121°C for 5 min. After pretreatment, the sections were stained with an anti-Foxp3 Ab. The sections were developed with new fuchsin. Arrowheads indicate Foxp3+ cells (original magnification ×200).",cde-0004-0050-g04
PMC8428866,FIGURE 1,"Histopathologic features of cutaneous lymphadenoma. A, Scanning view of the lobulated dermal growth. B, Lymphoepithelial tumor nests surrounded by desmoplastic stroma. C, Tumor nest with a RS-L cell and peripheral cuboidal cells. D, Large and RS-L cells within the tumor lobules.",pas-45-1382-g001
PMC8428866,FIGURE 2,"A and B, CK15 immunostaining. Low-power view showing a strong difuse immunostaining in epithelial cells (A), no immunoreactivity can be found in the large cell component (B). C and D, AR immunostaining. Most epithelial cells show nuclear immunoreactivity (C), with the exceptions of peripheral cells and the large cell population (D).",pas-45-1382-g002
PMC8428866,FIGURE 3,"Immunoreactivity of intralobular lymphocytes. CD45 is positive in lymphocytes, but not in RS-L cells (A). CD3 (B—magenta) is positive in most lymphocytes, whereas CD20 is only positive in a minor lymphocytic population (B—brown). CD4 immunostaining is present in most lymphocytes (C—magenta) whereas CD8 is minoritary (C—brown). Forkhead box P3 immunoreactivity in numerous intralobular lymphocytes (D) (A and D, Immunoperoxidase with DAB chromogen; B, double immunohistochemistry with CD3-magenta chromogen and CD20-DAB chromogen; C, double immunohistochemistry with CD4-magenta chromogen and CD8-DAB chromogen).",pas-45-1382-g003
PMC8428866,FIGURE 4,"A, Nuclear NKX3.1 (magenta) is present in a subset of RS-L cells (center and inset), and membranous-cytoplasmic CD30 (brown) reactivity is also found in a few of them. B, NKX3.1 immunostaining in some peripheral sebocytes (inset) of adjacent normal sebaceous glands. C, Notch1 immunoreactivity in epithelial cells and in RS-L cells. D, Strong cytoplasmic Jagged-1 immunostaining (brown) in RS-L cells, some of which also exhibit nuclear NKX3.1 immunoexpression (center and inset; magenta) (A, Double immunohistochemistry with NKX3.1-magenta chromogen and CD30-DAB chromogen; B and C, immunoperoxidase with DAB chromogen; D, double immunohistochemistry with NKX3.1-magenta chromogen and Jagged-1-DAB chromogen).",pas-45-1382-g004
PMC9343981,Figure 1,"Low power: skin punch biopsy showing a well-circumscribed dermal tumor with epithelial nests, surrounded by moderately dense inflammatory infiltrates and fibrous stroma (hematoxylin-eosin staining).",acr-06-22-2-f1
PMC9343981,Figure 2,"High power: the epithelial nests are composed of basaloid cells with some peripheral palisading and lymphohistiocytic infiltrates. Neither atypia, mitosis nor refraction artifacts are present (hematoxylin-eosin staining).",acr-06-22-2-f2
PMC9969865,Figure 1,"A skin color, semicircular nodule on the left side of the alar of the nose, with telangiectasis on the surface.",CCID-16-505-g0001
PMC9969865,Figure 2,The tumor composed of irregularly shaped lobules enmeshed in a dense fibrous stroma.,CCID-16-505-g0002
PMC9969865,Figure 3,"The lobules had a peripheral rim of 1 or 2 layers of basaloid cells, central RS-L cells, and lymphocytes infiltration around. (Magnification ×10).",CCID-16-505-g0003
PMC9969865,Figure 4,EMA-positive staining of the ductal structures. (Magnification ×200).,CCID-16-505-g0004
PMC9969865,Figure 5,"T cells were the predominantly infiltrated cells in CL, T cell receptor marker CD3. (Magnification ×200).",CCID-16-505-g0005
PMC9969865,Figure 6,B cell marker CD20. (Magnification ×200).,CCID-16-505-g0006
PMC9969865,Figure 7,RS-L cell marker CD30. (Magnification ×200).,CCID-16-505-g0007
PMC9969865,Figure 8,CD1a positive staining of many intralobular dendritic cells. (Magnification ×200).,CCID-16-505-g0008
PMC9969865,Figure 9,S-100-positive staining of many intralobular dendritic cells. (Magnification ×200).,CCID-16-505-g0009
