pmid,pmcid,title,journal,insert_time,label,caption,graphic
22529803,PMC3331883,Cutaneous lymphadenoma: a case report and immunohistochemical study.,Case Rep Dermatol,2023-12-17-22-03-22,Fig. 1,"Skin-colored, elastic-hard, well-demarcated nodule on the right cheek. The tumor mass was 20 × 22 mm in size.",cde-0004-0050-g01
22529803,PMC3331883,Cutaneous lymphadenoma: a case report and immunohistochemical study.,Case Rep Dermatol,2023-12-17-22-03-22,Fig. 2,"Cords, lobules, and interconnected strands with peripheral, palisaded border of basaloid-like cells and a slight admixture of central mononuclear cells (original magnification a ×50, b–d ×200).",cde-0004-0050-g02
22529803,PMC3331883,Cutaneous lymphadenoma: a case report and immunohistochemical study.,Case Rep Dermatol,2023-12-17-22-03-22,Fig. 3,"Immunohistochemical stainings for cutaneous lymphadenoma. Paraffin-embedded tissue samples from the patient were stained as follows: the sections were developed with 3,3-diaminobenzidine tetrahydrochloride for CD1a (a), CD3 (b), CD4 (c), CD7 (d), CD8 (e), CD20 (f), CD68 (g), and TIA-1 (h) (original magnification ×200).",cde-0004-0050-g03
22529803,PMC3331883,Cutaneous lymphadenoma: a case report and immunohistochemical study.,Case Rep Dermatol,2023-12-17-22-03-22,Fig. 4,"Formalin-fixed paraffin-embedded tissue samples from patients with cutaneous lymphadenoma were sectioned at 4 μm and deparaffinized. Deparaffinized sections were treated with autoclave heating at 121°C for 5 min. After pretreatment, the sections were stained with an anti-Foxp3 Ab. The sections were developed with new fuchsin. Arrowheads indicate Foxp3+ cells (original magnification ×200).",cde-0004-0050-g04
25002949,PMC4083669,Cutaneous lymphadenoma: a rare case and brief review of a diagnostic pitfall.,Rare Tumors,2023-12-17-22-03-22,Figure 1.,"A) A well-circumscribed lesion with basaloid nests in the dermis, rimmed by prominent lymphocytic inflammation at the deep margin (Hematoxylin & Eosin, 20×). B) Irregularly-shaped nests of basaloid and clear cells, without peripheral palisading or retraction artifact, in a collagenous stroma (Hematoxylin & Eosin, 100×). C) A thick rim of mature lymphocytes is present at the deep margin (Hematoxylin & Eosin, 100×). D) Mature lymphocytes are seen in the nests and stroma (Hematoxylin & Eosin, 100×).",rt-2014-2-5358-g001
33777457,PMC7969119,Cutaneous Lymphadenoma: A Case of Recurrence after Shave Excision.,Case Rep Dermatol Med,2023-12-17-22-03-22,Figure 1,"Clinical photograph of an indolent, asymptomatic nodule on the forehead.",CRIDM2021-5543404.001
33777457,PMC7969119,Cutaneous Lymphadenoma: A Case of Recurrence after Shave Excision.,Case Rep Dermatol Med,2023-12-17-22-03-22,Figure 2,(a) Histopathological findings demonstrate ill-defined interconnected islands of epithelial cells within a sclerotic stroma (4x). (b) The epithelial cells have eosinophilic to clear cytoplasm and mild pleomorphic vesicular nuclei (10x). A peripheral rim of palisading basophilic cells surrounds the epithelial islands. A prominent lymphocytic infiltration and few plasma cells that spill over to the epithelial nests is also present (hematoxylin-eosin).,CRIDM2021-5543404.002
34232601,PMC8428866,"Cutaneous Lymphadenoma Is a Distinct Trichoblastoma-like Lymphoepithelial Tumor With Diffuse Androgen Receptor Immunoreactivity, Notch1 Ligand in Reed-Sternberg-like Cells, and Common EGFR Somatic Mutations.",Am J Surg Pathol,2023-12-17-22-03-22,FIGURE 1,"Histopathologic features of cutaneous lymphadenoma. A, Scanning view of the lobulated dermal growth. B, Lymphoepithelial tumor nests surrounded by desmoplastic stroma. C, Tumor nest with a RS-L cell and peripheral cuboidal cells. D, Large and RS-L cells within the tumor lobules.",pas-45-1382-g001
34232601,PMC8428866,"Cutaneous Lymphadenoma Is a Distinct Trichoblastoma-like Lymphoepithelial Tumor With Diffuse Androgen Receptor Immunoreactivity, Notch1 Ligand in Reed-Sternberg-like Cells, and Common EGFR Somatic Mutations.",Am J Surg Pathol,2023-12-17-22-03-22,FIGURE 2,"A and B, CK15 immunostaining. Low-power view showing a strong difuse immunostaining in epithelial cells (A), no immunoreactivity can be found in the large cell component (B). C and D, AR immunostaining. Most epithelial cells show nuclear immunoreactivity (C), with the exceptions of peripheral cells and the large cell population (D).",pas-45-1382-g002
34232601,PMC8428866,"Cutaneous Lymphadenoma Is a Distinct Trichoblastoma-like Lymphoepithelial Tumor With Diffuse Androgen Receptor Immunoreactivity, Notch1 Ligand in Reed-Sternberg-like Cells, and Common EGFR Somatic Mutations.",Am J Surg Pathol,2023-12-17-22-03-22,FIGURE 3,"Immunoreactivity of intralobular lymphocytes. CD45 is positive in lymphocytes, but not in RS-L cells (A). CD3 (B—magenta) is positive in most lymphocytes, whereas CD20 is only positive in a minor lymphocytic population (B—brown). CD4 immunostaining is present in most lymphocytes (C—magenta) whereas CD8 is minoritary (C—brown). Forkhead box P3 immunoreactivity in numerous intralobular lymphocytes (D) (A and D, Immunoperoxidase with DAB chromogen; B, double immunohistochemistry with CD3-magenta chromogen and CD20-DAB chromogen; C, double immunohistochemistry with CD4-magenta chromogen and CD8-DAB chromogen).",pas-45-1382-g003
