pmcid,figure_name,width,height
PMC3667320,IJD-58-244c-g003.jpg,742,494
PMC3667320,IJD-58-244c-g002.jpg,742,496
PMC3667320,IJD-58-244c-g001.jpg,357,537
PMC4349015,JCytol-31-213-g001.jpg,541,406
PMC6210812,JCytol-35-204-g003.jpg,540,261
PMC6210812,JCytol-35-204-g002.jpg,537,391
PMC6210812,JCytol-35-204-g001.jpg,487,254
PMC6210812,JCytol-35-204-g004.jpg,539,273
PMC2740523,IJPS-41-229-g011.jpg,418,301
PMC2740523,IJPS-41-229-g005.jpg,418,301
PMC2740523,IJPS-41-229-g008.jpg,418,301
PMC2740523,IJPS-41-229-g007.jpg,418,294
PMC2740523,IJPS-41-229-g003.jpg,406,410
PMC2740523,IJPS-41-229-g006.jpg,502,611
PMC2740523,IJPS-41-229-g001.jpg,418,304
PMC2740523,IJPS-41-229-g010.jpg,418,301
PMC2740523,IJPS-41-229-g002.jpg,418,303
PMC2740523,IJPS-41-229-g004.jpg,418,301
PMC2740523,IJPS-41-229-g009.jpg,418,301
PMC7716756,CHSJ-46-03-309-fig6.jpg,755,502
PMC7716756,CHSJ-46-03-309-fig5.jpg,755,502
PMC7716756,CHSJ-46-03-309-fig3.jpg,800,1066
PMC7716756,CHSJ-46-03-309-fig1.jpg,800,1066
PMC7716756,CHSJ-46-03-309-fig7.jpg,755,502
PMC7716756,CHSJ-46-03-309-fig2.jpg,800,1066
PMC7716756,CHSJ-46-03-309-fig4.jpg,640,360
PMC7716756,CHSJ-46-03-309-fig8.jpg,640,360
PMC3853602,AMHSR-3-3-g004.jpg,554,535
PMC3853602,AMHSR-3-3-g003.jpg,508,538
PMC3853602,AMHSR-3-3-g001.jpg,696,538
PMC3853602,AMHSR-3-3-g006.jpg,387,403
PMC3853602,AMHSR-3-3-g005.jpg,486,403
PMC3853602,AMHSR-3-3-g002.jpg,494,538
PMC8870953,children-09-00292-g001.jpg,697,632
PMC8870953,children-09-00292-g004.jpg,749,518
PMC8870953,children-09-00292-g002.jpg,728,754
PMC8870953,children-09-00292-g003.jpg,711,273
PMC8312157,10.1177_2632010X211033840-table3.jpg,742,613
PMC8312157,10.1177_2632010X211033840-img1.jpg,53,54
PMC8312157,10.1177_2632010X211033840-fig2.jpg,705,427
PMC8312157,10.1177_2632010X211033840-fig3.jpg,710,710
PMC8312157,10.1177_2632010X211033840-fig1.jpg,709,430
PMC8312157,10.1177_2632010X211033840-table1.jpg,727,964
PMC8312157,10.1177_2632010X211033840-fig6.jpg,637,836
PMC8312157,10.1177_2632010X211033840-table2.jpg,742,235
PMC8312157,10.1177_2632010X211033840-fig4.jpg,777,393
PMC8312157,10.1177_2632010X211033840-fig5.jpg,718,718
PMC9527686,dr-14-3-9418-g002.jpg,375,500
PMC9527686,dr-14-3-9418-g001.jpg,500,419
