pmid,pmcid,title,journal,insert_time,has_targz,disease
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,True,Match
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,True,Match
28935960,PMC5608693,Combined activation of MAP kinase pathway and β-catenin signaling cause deep penetrating nevi.,Nat Commun,2024-02-14-09-13-04,True,NotMatch
32509588,PMC7251176,Deep Penetrating Nevus and Borderline-Deep Penetrating Nevus: A Literature Review.,Front Oncol,2024-02-14-09-13-04,True,Match
34205480,PMC8234376,NGS-Based Analysis of Atypical Deep Penetrating Nevi.,Cancers (Basel),2024-02-14-09-13-04,True,NotMatch
35336833,PMC8945163,"Conventional and Atypical Deep Penetrating Nevus, Deep Penetrating Nevus-like Melanoma, and Related Variants.",Biology (Basel),2024-02-14-09-13-04,True,Match
35646473,PMC9116555,Dermoscopic Rainbow Pattern in Deep Penetrating Nevus.,Dermatol Pract Concept,2024-02-14-09-13-04,True,Match
35875272,PMC9299949,Recognizing Histopathological Simulators of Melanoma to Avoid Misdiagnosis.,Cureus,2024-02-14-09-13-04,True,NotMatch
36077603,PMC9454999,Genetic and Methylation Analysis of CTNNB1 in Benign and Malignant Melanocytic Lesions.,Cancers (Basel),2024-02-14-09-13-04,True,NotMatch
38136349,PMC10741983,Pediatric Atypical Melanocytic Proliferations: Single-Site Retrospective Cohort Assessment of Treatment and Long-Term Follow-Up.,Cancers (Basel),2024-02-14-09-13-04,False,NotMatch
