pmcid,figure_name,width,height
PMC5429111,abd-92-02-0231-g05.jpg,600,488
PMC5429111,abd-92-02-0231-g03.jpg,712,1072
PMC5429111,abd-92-02-0231-g01.jpg,600,432
PMC5429111,abd-92-02-0231-g02.jpg,600,619
PMC5429111,abd-92-02-0231-g04.jpg,690,1049
PMC7251176,fonc-10-00837-g0001.jpg,708,753
PMC1586213,1746-1596-1-31-5.jpg,600,450
PMC1586213,1746-1596-1-31-4.jpg,600,450
PMC1586213,1746-1596-1-31-2.jpg,600,450
PMC1586213,1746-1596-1-31-3.jpg,600,450
PMC1586213,1746-1596-1-31-1.jpg,600,484
PMC8234376,cancers-13-03066-g002.jpg,719,602
PMC8234376,cancers-13-03066-g003.jpg,694,601
PMC8234376,cancers-13-03066-g001.jpg,720,631
PMC8234376,cancers-13-03066-g004.jpg,700,618
PMC8234376,cancers-13-03066-g005.jpg,747,638
PMC9116555,dp1202a46g002.jpg,310,235
PMC9116555,dp1202a46g001.jpg,558,324
PMC8945163,biology-11-00460-g001.jpg,777,628
PMC8945163,biology-11-00460-g002.jpg,714,359
PMC8945163,biology-11-00460-g004.jpg,788,395
PMC8945163,biology-11-00460-g008.jpg,731,368
PMC8945163,biology-11-00460-g003.jpg,713,726
PMC8945163,biology-11-00460-g007.jpg,786,587
PMC8945163,biology-11-00460-g006.jpg,749,376
PMC8945163,biology-11-00460-g005.jpg,698,1004
PMC9454999,cancers-14-04066-g003.jpg,737,372
PMC9454999,cancers-14-04066-g002.jpg,736,863
PMC9454999,cancers-14-04066-g001.jpg,769,485
PMC9299949,cureus-0014-00000026127-i08.jpg,750,92
PMC9299949,cureus-0014-00000026127-i03.jpg,750,290
PMC9299949,cureus-0014-00000026127-i01.jpg,750,307
PMC9299949,cureus-0014-00000026127-i07.jpg,750,137
PMC9299949,cureus-0014-00000026127-i14.jpg,750,1381
PMC9299949,cureus-0014-00000026127-i05.jpg,750,891
PMC9299949,cureus-0014-00000026127-i11.jpg,750,261
PMC9299949,cureus-0014-00000026127-i12.jpg,750,280
PMC9299949,cureus-0014-00000026127-i06.jpg,750,799
PMC9299949,cureus-0014-00000026127-i02.jpg,750,348
PMC9299949,cureus-0014-00000026127-i04.jpg,750,315
PMC9299949,cureus-0014-00000026127-i10.jpg,750,722
PMC9299949,cureus-0014-00000026127-i09.jpg,750,278
PMC9299949,cureus-0014-00000026127-i13.jpg,750,1253
PMC5608693,41467_2017_758_Fig3_HTML.jpg,700,1114
PMC5608693,41467_2017_758_Fig5_HTML.jpg,700,824
PMC5608693,41467_2017_758_Fig1_HTML.jpg,773,949
PMC5608693,41467_2017_758_Fig4_HTML.jpg,718,556
PMC5608693,41467_2017_758_Fig6_HTML.jpg,675,2796
PMC5608693,41467_2017_758_Fig2_HTML.jpg,796,339
