pmid,pmcid,title,journal,insert_time,label,caption,graphic
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,Figure 1,"(H&E, ×20): Nested proliferations of spindle and epithelioid cells are seen within the deep reticular dermis and subcutaneous tissue and are arranged in a wedge shape with a broad base in parallel with the dermis and an apex directed toward the epidermis.",1746-1596-1-31-1
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,Figure 2,"(H&E, ×100): Nests of spindle cells and epithelioid-like cells diffusely infiltrate the surrounding tissues, including the deep subcutaneous adipose tissue on the left. Note the abundance of melanophages.",1746-1596-1-31-2
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,Figure 3,"(H&E, ×400): The tumor cells reveal severe cytologic atypia and pleomorphism. Several cells display nuclear vacuolation.",1746-1596-1-31-3
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,Figure 4,"(H&E, ×1000): The tumor cell in the center displays a large, pleomorphic nucleus containing several vacuoles.",1746-1596-1-31-4
16999859,PMC1586213,Deep penetrating nevus: a case report and brief literature review.,Diagn Pathol,2024-02-14-09-13-04,Figure 5,"(H&E, ×1000): The nucleus of this tumor cell displayed in the center of the field reveals irregularly marginated chromatin with a pale, central pseudoinclusion.",1746-1596-1-31-5
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,Figure 1,Dermoscopy shows a polychromatic nodule in compound nevus,abd-92-02-0231-g01
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,Figure 2,Well-circumscribed nodule. HE 10x,abd-92-02-0231-g02
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,Figure 3,"A. Cells in small, well-formed nests that are approximately
of the same size and shape. HE 100x. B. Cells in small,
well-formed nests that are approximately of the same size and shape. HE
200x",abd-92-02-0231-g03
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,Figure 4,"A. Melan A positive in PN; 200x. B. HMB- 45
negative in PN; 100x",abd-92-02-0231-g04
28538885,PMC5429111,Proliferative nodule in melanocytic nevi mimicking deep penetrating nevus.,An Bras Dermatol,2024-02-14-09-13-04,Figure 5,Ki67<1 % in PN; 400x,abd-92-02-0231-g05
28935960,PMC5608693,Combined activation of MAP kinase pathway and β-catenin signaling cause deep penetrating nevi.,Nat Commun,2024-02-14-09-13-04,Fig. 1,"Combined MAPK and β-catenin pathway activating mutations define deep penetrating nevi a β-catenin pathway mutations, affecting CTNNB1 or APC, and MAPK pathway mutations co-occur in deep penetrating nevi (DPN). Nevi with overlapping features of DPN and blue nevus harbor GNAQ activating mutations and are genetically distinct. BRAF activating mutations are mutually exclusive with MAP2K1 alterations. b
CTNNB1 missense mutations affect codons of a critical domain that is phosphorylated and regulates subsequent ubiquitin-mediated degradation. c Indels of MAP2K1 cluster near a highly conserved lysine within the kinase catalytic domain. One small deletion affects the negative regulatory region (NRR). DD, docking domain for ERK1/2; NES, nuclear export signal; AL, activation loop within the kinase catalytic domain; PRD, proline-rich domain within the kinase catalytic domain; DVD, domain of versatile docking. d. MAP2K1 mutations activate MAP kinase signaling, which could be inhibited by the MEK inhibitor trametinib",41467_2017_758_Fig1_HTML
28935960,PMC5608693,Combined activation of MAP kinase pathway and β-catenin signaling cause deep penetrating nevi.,Nat Commun,2024-02-14-09-13-04,Fig. 2,"Cell size and pigmentation decrease with β-catenin and cyclin D1 levels in common nevi in contrast with deep penetrating nevi. a BRAFV600E mutant common nevus. Scale bars: 300 microns, inset 12.5 microns. b BRAFV600E/CTNNB1T41A mutant DPN. Scale bars: 250 microns, inset 12.5 microns. Hematoxylin and eosin staining left and immunohistochemistry for β-catenin center and cyclin D1 right.﻿ Insets show high power views of melanocytes close to the epidermis top and in the deep dermis, away from the epidermis bottom. Melanocyte size and pigmentation diminish and β-catenin and cyclin D1 expression levels decrease with distance from epithelium in common nevus a but not in DPN b
",41467_2017_758_Fig2_HTML
28935960,PMC5608693,Combined activation of MAP kinase pathway and β-catenin signaling cause deep penetrating nevi.,Nat Commun,2024-02-14-09-13-04,Fig. 3,"Secondary CTNNB1 mutations in common acquired nevi with BRAF mutations confer the phenotypic characteristics of deep penetrating nevus. a Clinical presentation of ‘combined DPN’ with common nevus and DPN areas. left A dark papule grew within a pre-existing nevus on the back of a 31-year-old woman. right Dermoscopic image of the tumor. b Histopathological features of a ‘combined DPN’ with common nevus and DPN areas, hematoxylin and safranin (H and S) staining. Melanocytes are enlarged in the DPN portion compared to the common acquired nevi portion. left low power view, scale bar 100 microns. right, high power view, scale bar, 10 microns. c β-catenin immunohistochemistry. left Low power view shows increased cytoplasmic and nuclear β-catenin in DPN melanocytes. In common nevus melanocytes, β-catenin expression is decreased in melanocytes deep within the dermis. right High power view. d Cyclin D1 immunohistochemistry. left Low power view shows increased cytoplasmic and nuclear cyclin D1 expression in the DPN component as compared to the common nevus component",41467_2017_758_Fig3_HTML
