pmcid,label,caption,graphic,disease,modality
PMC6256207,Figure 1,"A - Clinical aspect: well-defined blue-grey nodule with 1 cm diameter.
B and C - Dermatoscopic aspect: white-blue homogeneous
peripheral pattern associated to a central area with brown blotches and “out
of focus” linear and glomerular telangiectasias",abd-93-06-0896-g01,NotMatch,NotMatch
PMC6256207,Figure 2,"Benign epithelial neoplasm exhibiting an aspect of poroma in the upper part
(anastomosed cords of poroid cells connected to the epidermis). In the lower
part, aspect of nodular hidradenoma extending to the subcutaneous tissue
(Hematoxylin & eosin, x40)",abd-93-06-0896-g02,NotMatch,Match
PMC6256207,Figure 3,"Close up of the benign poroid epithelial neoplasm, showing poroid melanized
cells (basaloid) with no atypia (Hematoxylin & eosin, x200)",abd-93-06-0896-g03,NotMatch,Match
PMC6256207,Figure 4,"Benign poroid epithelial neoplasm: close up of the crust and well
vascularized stroma (Hematoxylin & eosin, x200)",abd-93-06-0896-g04,NotMatch,Match
PMC6256207,Figure 5,"Benign poroid epithelial neoplasm: close up of poroid cells (basaloid) and
cuticular cells (squamous) around the duct (Hematoxylin & eosin,
x400)",abd-93-06-0896-g05,NotMatch,Match
PMC5625745,Figure 1,"Macroscopic view of the smooth, reddish, and purulent tumor. No signs of infiltration are seen in the surrounding skin.",CRIS2017-9865672.001,NotMatch,NotMatch
PMC5625745,Figure 2,Histological examination of the tumor revealed mixed character of eccrine poroma and poroid hidradenoma (H&E ×25).,CRIS2017-9865672.002,NotMatch,Match
PMC5625745,Figure 3,Immunostaining with ck-7 showed focal staining at eccrine poroma sites while areas of poroid hidradenoma were negative (ck-7 ×25).,CRIS2017-9865672.003,NotMatch,NotMatch
PMC8883970,Figure 1,"A simplified schematic of keratin expression in an eccrine sweat gland is shown [6,10]. The basal keratinocytes of the sweat duct ridge and lower intraepidermal acrosyringium are thought to give rise to poroid neoplasms based on the similarities in keratin expression [6,10]. K5 and K14 expression is ubiquitous throughout poromas, while K1 and K10 are found in focal aggregates. K77 is restricted to normal luminal cells embedded within the tumors.",dermatopathology-09-00007-g001,NotMatch,NotMatch
PMC8883970,Figure 2,"Dermal duct tumor: a small, purple-brown papule at the right superior nasolabial fold.",dermatopathology-09-00007-g002,Match,NotMatch
PMC8883970,Figure 3,"Well circumscribed, dermal-based, solid and cystic tumor with no connection to the overlying epidermis (H & E, 2×).",dermatopathology-09-00007-g003,NotMatch,Match
PMC8883970,Figure 4,"Higher magnification reveals small poriod cells with round to oval nuclei and scant cytoplasm. Ductal lumen formation is present (H & E, 10×).",dermatopathology-09-00007-g004,NotMatch,Match
PMC8883970,Figure 5,"Residual DDT on punch excision (from the transected spiecimen in Figure 3) (H & E, 10×).",dermatopathology-09-00007-g005,NotMatch,Match
