pmid,pmcid,title,journal,insert_time
12454766,PMC2376302,Dermatofibrosarcoma protuberans treated by micrographic surgery.,Br J Cancer,2023-12-17-22-03-00
17257417,PMC1794244,Value of histopathologic analysis of subcutis excisions by general practitioners.,BMC Fam Pract,2023-12-17-22-03-00
18521393,PMC2395606,Dermatofibrosarcoma protuberans of scalp with cervical lymph node metastasis.,Sarcoma,2023-12-17-22-03-00
18521416,PMC2395621,Dermatofibrosarcoma protuberans arising in a decorative tattoo.,Sarcoma,2023-12-17-22-03-00
19707305,PMC2721290,Imatinib in the treatment of dermatofibrosarcoma protuberans.,Biologics,2023-12-17-22-03-00
19830210,PMC2726535,Merkel cell carcinoma metastasis and dermatofibrosarcoma protuberans presenting as a collision tumour: a case report and review of the literature.,J Med Case Rep,2023-12-17-22-03-00
19830223,PMC2726525,Magnetic resonance imaging and mammographic appearance of dermatofibrosarcoma protuberans in a male breast: a case report and literature review.,J Med Case Rep,2023-12-17-22-03-00
19933019,PMC2792083,Dermatofibrosarcoma protuberans with contiguous infiltration of the underlying bone.,Cancer Imaging,2023-12-17-22-03-00
20041131,PMC2796212,Mohs micrographic surgery for dermatofibrosarcoma protuberans of the vulva.,Obstet Gynecol Int,2023-12-17-22-03-00
20525288,PMC2892497,Late local recurrence of dermatofibrosarcoma protuberans in the skin of female breast.,World J Surg Oncol,2023-12-17-22-03-00
20616952,PMC2895297,"Dermatofibrosarcoma protuberans: A case report of a rare, bulky tumor that was managed with surgical therapy.",Int J Shoulder Surg,2023-12-17-22-03-00
21214920,PMC3023681,Reconstructive challenge of dermatofibrosarcoma protuberans in the female breast.,World J Surg Oncol,2023-12-17-22-03-00
21294902,PMC3038985,Dermatofibrosarcoma protuberans with fibrosarcomatous transformation of the head and neck.,Head Neck Oncol,2023-12-17-22-03-00
21430830,PMC3047735,Recurrent dermatofibrosarcoma protuberans over anterior abdominal wall.,J Cutan Aesthet Surg,2023-12-17-22-03-00
21559214,PMC3087969,Advances in molecular characterization and targeted therapy in dermatofibrosarcoma protuberans.,Sarcoma,2023-12-17-22-03-00
