pmcid,figure_name,width,height
PMC5312187,abd-92-01-0101-gf01.jpg,600,337
PMC5312187,abd-92-01-0101-gf02.jpg,600,481
PMC5312187,abd-92-01-0101-gf03.jpg,600,481
PMC3199428,ad-23-S72-g001.jpg,467,314
PMC3199428,ad-23-S72-g002.jpg,632,246
PMC3199428,ad-23-S72-g003.jpg,467,367
PMC5916404,abd-93-02-0268-g05.jpg,600,427
PMC5916404,abd-93-02-0268-g03.jpg,600,840
PMC5916404,abd-93-02-0268-g01.jpg,600,840
PMC5916404,abd-93-02-0268-g02.jpg,600,429
PMC5916404,abd-93-02-0268-g04.jpg,771,264
PMC8825690,cureus-0014-00000021083-i05.jpg,750,422
PMC8825690,cureus-0014-00000021083-i04.jpg,750,422
PMC8825690,cureus-0014-00000021083-i03.jpg,750,422
PMC8825690,cureus-0014-00000021083-i02.jpg,750,422
PMC8825690,cureus-0014-00000021083-i01.jpg,750,422
PMC8079820,gr2.jpg,711,305
PMC8079820,gr1.jpg,711,234
PMC10294281,cde-2023-0015-0001-530423_F02.jpg,708,251
PMC10294281,cde-2023-0015-0001-530423_F01.jpg,777,514
PMC6937457,omz126f1.jpg,250,445
PMC6937457,omz126f3.jpg,463,709
PMC6937457,omz126f2.jpg,463,707
