pmid,pmcid,title,journal,insert_time
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45
12806127,PMC5974892,Dermoid cyst of the floor of the mouth.,ScientificWorldJournal,2023-12-17-22-02-45
1429209,PMC5918982,High incidence of p53 gene mutation in human ovarian cancer and its association with nuclear accumulation of p53 protein and tumor DNA aneuploidy.,Jpn J Cancer Res,2023-12-17-22-02-45
16303056,PMC1308873,Teratoma occupying the left hemithorax.,World J Surg Oncol,2023-12-17-22-02-45
16509974,PMC1420311,Carcinosarcoma of monoclonal origin arising in a dermoid cyst of ovary: a case report.,BMC Cancer,2023-12-17-22-02-45
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45
17641723,PMC1906865,The superinfection of a dermoid cyst.,Infect Dis Obstet Gynecol,2023-12-17-22-02-45
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45
18221571,PMC2259367,Teratoma of the anterior mediastinum presenting as a cystic neck mass: a case report.,J Med Case Rep,2023-12-17-22-02-45
18549490,PMC2435545,Ruptured ovarian cystic teratoma in pregnancy with diffuse peritoneal reaction mimicking advanced ovarian malignancy: a case report.,J Med Case Rep,2023-12-17-22-02-45
18945367,PMC2577104,Dermoid cyst of the mandibula: a case report.,Cases J,2023-12-17-22-02-45
19075411,PMC2661519,Orbital floor dermoid: an unusual presentation.,Indian J Ophthalmol,2023-12-17-22-02-45
19220896,PMC2649939,Parasitic dermoid cyst managed laparoscopically in a 29-year-old woman: a case report.,J Med Case Rep,2023-12-17-22-02-45
20205883,PMC2827381,Orbital tuberculosis in childhood with intracranial extension: a case report.,Cases J,2023-12-17-22-02-45
20291444,PMC5236121,Mistaken diagnoses; chocolate cysts of the ovary; dermoid cyst of the lung.,Ind Med Gaz,2023-12-17-22-02-45
20505789,PMC2875748,Occurrence and characteristics of head cysts in children.,Eplasty,2023-12-17-22-02-45
21139919,PMC2994478,The managament of rare nasal mass-nasal dermoid sinus cysts: open rhinoplasty.,Rare Tumors,2023-12-17-22-02-45
