pmcid,figure_name,width,height
PMC1420311,1471-2407-6-47-2.jpg,467,350
PMC1420311,1471-2407-6-47-1.jpg,525,587
PMC1308873,1477-7819-3-76-1.jpg,354,206
PMC1308873,1477-7819-3-76-3.jpg,600,477
PMC1308873,1477-7819-3-76-4.jpg,600,419
PMC1308873,1477-7819-3-76-2.jpg,600,455
PMC3015447,jsls-5-3-273-g05.jpg,515,432
PMC3015447,jsls-5-3-273-g02.jpg,515,447
PMC3015447,jsls-5-3-273-g03.jpg,515,432
PMC3015447,jsls-5-3-273-g06.jpg,515,447
PMC3015447,jsls-5-3-273-g04.jpg,515,447
PMC3015447,jsls-5-3-273-g01.jpg,515,446
PMC3015447,jsls-5-3-273-g07.jpg,515,446
PMC1876448,1749-7922-2-12-4.jpg,600,443
PMC1876448,1749-7922-2-12-5.jpg,600,445
PMC1876448,1749-7922-2-12-1.jpg,600,430
PMC1876448,1749-7922-2-12-2.jpg,600,446
PMC1876448,1749-7922-2-12-3.jpg,600,443
PMC1920516,1752-1947-1-32-1.jpg,600,480
PMC1920516,1752-1947-1-32-3.jpg,600,450
PMC1920516,1752-1947-1-32-2.jpg,600,450
PMC1920516,1752-1947-1-32-5.jpg,600,450
PMC1920516,1752-1947-1-32-4.jpg,600,450
PMC1906865,IDOG2007-41473.001.jpg,412,332
PMC1906865,IDOG2007-41473.002.jpg,408,300
PMC2259367,1752-1947-2-23-3.jpg,600,445
PMC2259367,1752-1947-2-23-2.jpg,600,412
PMC2259367,1752-1947-2-23-1.jpg,600,503
PMC1952065,1477-7819-5-85-2.jpg,600,390
PMC1952065,1477-7819-5-85-4.jpg,600,475
PMC1952065,1477-7819-5-85-3.jpg,600,512
PMC1952065,1477-7819-5-85-5.jpg,600,478
PMC1952065,1477-7819-5-85-1.jpg,600,394
PMC2435545,1752-1947-2-203-1.jpg,600,450
PMC2435545,1752-1947-2-203-2.jpg,600,451
PMC2577104,1757-1626-1-260-1.jpg,600,474
PMC2661519,IndianJOphthalmol-57-51-g001.jpg,422,293
PMC2661519,IndianJOphthalmol-57-51-g003.jpg,421,293
PMC2661519,IndianJOphthalmol-57-51-g002.jpg,421,294
PMC2827381,1757-1626-3-38-3.jpg,600,610
PMC2827381,1757-1626-3-38-4.jpg,242,101
PMC2827381,1757-1626-3-38-2.jpg,600,531
PMC2827381,1757-1626-3-38-1.jpg,344,156
PMC2875748,eplasty10e37_fig3.jpg,492,656
PMC2875748,eplasty10e37_fig2.jpg,512,683
PMC2875748,eplasty10e37_fig1.jpg,512,384
PMC2994478,rt-2009-2-e40-g001.jpg,455,747
PMC2994478,rt-2009-2-e40-g003.jpg,700,833
PMC2994478,rt-2009-2-e40-g002.jpg,436,223
PMC3051306,IJD-55-390-g001.jpg,743,558
PMC5236121,indmedgaz72710-0027.jpg,993,1423
PMC3173932,JPN-6-92-g001.jpg,636,564
PMC3183725,JCAS-4-151-g002.jpg,608,363
PMC3183725,JCAS-4-151-g003.jpg,608,230
PMC3183725,JCAS-4-151-g001.jpg,760,570
PMC3183542,jls0031127770001.jpg,507,393
PMC3234201,1752-1947-5-540-1.jpg,600,875
PMC3222084,ijmsv09p0011g01.jpg,581,349
PMC3226578,1471-2415-11-34-1.jpg,600,254
PMC3226578,1471-2415-11-34-3.jpg,600,469
PMC3226578,1471-2415-11-34-4.jpg,455,189
PMC3226578,1471-2415-11-34-2.jpg,600,332
PMC3249602,CRIM2011-327029.003.jpg,600,505
PMC3249602,CRIM2011-327029.001.jpg,600,460
PMC3249602,CRIM2011-327029.002.jpg,600,460
PMC3272908,JCIS-1-44-g003.jpg,771,254
PMC3272908,JCIS-1-44-g004.jpg,610,254
PMC3272908,JCIS-1-44-g002.jpg,719,576
PMC3272908,JCIS-1-44-g006.jpg,764,576
PMC3272908,JCIS-1-44-g005.jpg,756,338
PMC3272908,JCIS-1-44-g001.jpg,458,461
PMC3290871,PAMJ-10-41-g002.jpg,763,539
PMC3290871,PAMJ-10-41-g001.jpg,548,338
PMC3259427,jksc-27-303-g001.jpg,680,338
PMC3259427,jksc-27-303-i001.jpg,681,527
PMC3259427,jksc-27-303-g002.jpg,680,338
PMC3259427,jksc-27-303-i003.jpg,680,679
PMC3259427,jksc-27-303-i002.jpg,680,605
PMC3259427,jksc-27-303-g003.jpg,680,452
PMC3259427,jksc-27-303-g004.jpg,680,338
PMC3259427,jksc-27-303-i004.jpg,681,625
PMC3280002,SNI-3-10-g001.jpg,639,158
PMC3280002,SNI-3-10-g007.jpg,779,546
PMC3280002,SNI-3-10-g003.jpg,758,567
PMC3280002,SNI-3-10-g005.jpg,779,545
PMC3280002,SNI-3-10-g004.jpg,765,567
PMC3280002,SNI-3-10-g008.jpg,672,632
PMC3280002,SNI-3-10-g002.jpg,639,242
PMC3280002,SNI-3-10-g006.jpg,779,545
PMC3350251,CRIM.PEDIATRICS2012-290645.002.jpg,600,332
PMC3350251,CRIM.PEDIATRICS2012-290645.001.jpg,600,1654
PMC3335486,CRIM.OBGYN2012-589568.002.jpg,600,483
PMC3335486,CRIM.OBGYN2012-589568.001.jpg,600,364
PMC3335486,CRIM.OBGYN2012-589568.003.jpg,600,488
PMC3335486,CRIM.OBGYN2012-589568.004.jpg,600,460
PMC6081015,asm-4-438f1.jpg,687,860
PMC6081015,asm-4-438f2.jpg,745,726
PMC3401668,JPN-7-79-g001.jpg,606,451
PMC3358959,AJNS-7-42-g003.jpg,456,584
PMC3358959,AJNS-7-42-g005.jpg,550,585
PMC3358959,AJNS-7-42-g004.jpg,660,585
