pmid,pmcid,title,journal,insert_time,label,caption,graphic
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 1.,The enlarged 22-week gravid uterus.,jsls-5-3-273-g01
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 2.,Enlarged ovarian cyst 3.2 litres. Note the liver edge and diaphragm on the left.,jsls-5-3-273-g02
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 3.,Insertion of the 10-11-mm trocar under direct visualization. Note the liver edge on the right corner.,jsls-5-3-273-g03
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 4.,Decompressing the large ovarian cyst. Bowel on the left and liver on the right.,jsls-5-3-273-g04
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 5.,Retraction of the decompressed ovarian cyst out of the anterior abdominal wall through the 3-cm enlarged port site.,jsls-5-3-273-g05
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 6.,Extracorporeal cystectomy.,jsls-5-3-273-g06
11548835,PMC3015447,Laparoscopic extracorporeal oophorectomy and ovarian cystectomy in second trimester pregnant obese patients.,JSLS,2023-12-17-22-02-45,Figure 7.,"Extracorporeal cystectomy, then the ovary was put back into the abdomen and the incision closed.",jsls-5-3-273-g07
12806127,PMC5974892,Dermoid cyst of the floor of the mouth.,ScientificWorldJournal,2023-12-17-22-02-45,,,
1429209,PMC5918982,High incidence of p53 gene mutation in human ovarian cancer and its association with nuclear accumulation of p53 protein and tumor DNA aneuploidy.,Jpn J Cancer Res,2023-12-17-22-02-45,,,
16303056,PMC1308873,Teratoma occupying the left hemithorax.,World J Surg Oncol,2023-12-17-22-02-45,Figure 1,Preoperative chest X-ray showing total atelectasis of the left lung and deviation of the cardiac silhouette to the right.,1477-7819-3-76-1
16303056,PMC1308873,Teratoma occupying the left hemithorax.,World J Surg Oncol,2023-12-17-22-02-45,Figure 2,Preoperative CT-scan of the chest revealing the mass compressing the mediastinal vessels and airway.,1477-7819-3-76-2
16303056,PMC1308873,Teratoma occupying the left hemithorax.,World J Surg Oncol,2023-12-17-22-02-45,Figure 3,"Preoperative MRI showing the teratoma, its anatomic relations to the mediastinum, and its expansion to the left hemithorax.",1477-7819-3-76-3
16303056,PMC1308873,Teratoma occupying the left hemithorax.,World J Surg Oncol,2023-12-17-22-02-45,Figure 4,"Postoperative X-ray of the chest after total resection of the teratoma, showing re-expansion of the left lung.",1477-7819-3-76-4
16509974,PMC1420311,Carcinosarcoma of monoclonal origin arising in a dermoid cyst of ovary: a case report.,BMC Cancer,2023-12-17-22-02-45,Figure 1,"• A: Cystic area delimited by benign squamous epithelium, with transitional area to premalignant. Sarcomatous component is present. • B: Pleomorphic cells in sarcomatous component. • C: Positive staining for CK AE1/AE3 in squamous epithelial lining and squamous infiltrating component. • D: Positive staining for alpha smooth muscle actin in basal atypical cells (for control look at positivity in vessels). • E: Positive staining for alpha smooth muscle actin in sarcomatous cells. • F: Positive staining for CD10 in epithelial basal cells and stromal component.",1471-2407-6-47-1
16509974,PMC1420311,Carcinosarcoma of monoclonal origin arising in a dermoid cyst of ovary: a case report.,BMC Cancer,2023-12-17-22-02-45,Figure 2,"The ""divergent monoclonal origin of carcinosarcoma"", modified from Thompson E. et al. (15). See the text for further details.",1471-2407-6-47-2
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45,Figure 1,Initial view at laparoscopy showing hemorrhage from the cyst.,1749-7922-2-12-1
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45,Figure 2,The torted right fallopian tube.,1749-7922-2-12-2
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45,Figure 3,Dissection of the cyst wall from the residual ovarian tissue.,1749-7922-2-12-3
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45,Figure 4,Controlled aspiration of the cyst.,1749-7922-2-12-4
17490490,PMC1876448,Laparoscopic resection of a torted ovarian dermoid cyst.,World J Emerg Surg,2023-12-17-22-02-45,Figure 5,The collapsed cyst.,1749-7922-2-12-5
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 1,"Intra operative photograph showing the ""bladder mass"" arising from the anterior wall of the bladder.",1752-1947-1-32-1
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 2,Lobules of mature adipocytes.,1752-1947-1-32-2
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 3,Hair follicle.,1752-1947-1-32-3
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 4,"Sweat glands, hyalinized fibroblastic tissue.",1752-1947-1-32-4
17592652,PMC1920516,Dermoid cyst of the urinary bladder as a differential diagnosis of bladder calculus: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 5,"Stratified squamous epithelium, papillary and reticular dermis.",1752-1947-1-32-5
17641723,PMC1906865,The superinfection of a dermoid cyst.,Infect Dis Obstet Gynecol,2023-12-17-22-02-45,Figure 1,"Computed tomography (CT) scan of the pelvic area showing a 10 cm × 9.5 cm mass in the cul-de-sac containing heterogenous echogenicities consisting of fat, fluid, soft tissue, and calcifications.",IDOG2007-41473.001
17641723,PMC1906865,The superinfection of a dermoid cyst.,Infect Dis Obstet Gynecol,2023-12-17-22-02-45,Figure 2,"Copious amount of purulent, yellow, foul-smelling material was noted upon dissection of the pelvic mass.",IDOG2007-41473.002
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45,Figure 1,CT scan of the pancreatic cystic teratoma. Computed tomography showing a 5 cm cystic fluid mass arising from the tail of the pancreas.,1477-7819-5-85-1
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45,Figure 2,MRI of the cystic teratoma of the pancreatic tail. Enhanced magnetic resonance shows a cystic mass arising from the tail of the pancreas extending to the middle side of the stomach without defined margins.,1477-7819-5-85-2
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45,Figure 3,"Macroscopic view of the cut surface of the tumour. Surgical specimen shows that the cyst is filled with finely granular, greyish white, keratinaceous and sebaceous material.",1477-7819-5-85-3
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45,Figure 4,"Pathological findings of the cystic lesion. Hematoxylin and eosin stain original magnification 40×. The dermoid cyst appears lined by keratinized squamous epithelium with sebaceous glands and immediately adjacent, dense sub epithelial lymphoid tissue that contains lymphoid follicles and germinal centres. Residual pancreatic tissue in the lower field.",1477-7819-5-85-4
17683548,PMC1952065,Dermoid cyst of the pancreas: presentation and management.,World J Surg Oncol,2023-12-17-22-02-45,Figure 5,"Pathological findings of the cystic lesion. Hematoxylin and eosin stain original magnification 100×. Note the keratinized squamous epithelium lining the cyst wall, the sebaceous gland in the underlying stroma and the dense lymphocytic infiltrate.",1477-7819-5-85-5
18221571,PMC2259367,Teratoma of the anterior mediastinum presenting as a cystic neck mass: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 1,"Chest x-ray (P-A view) showing widening of the mediastinum and a soft tissue swelling in the neck, continuous with the mediastinal shadow.",1752-1947-2-23-1
18221571,PMC2259367,Teratoma of the anterior mediastinum presenting as a cystic neck mass: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 2,"Contrast-enhanced CT scan of the neck showing a multi-septate cystic neck mass, lying superficial to the thyroid lobes and strap muscles.",1752-1947-2-23-2
18221571,PMC2259367,Teratoma of the anterior mediastinum presenting as a cystic neck mass: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 3,Contrast-enhanced CT scan of the upper thorax showing extension of a complex cystic mass and displacement of the trachea with compression of major vessels.,1752-1947-2-23-3
18549490,PMC2435545,Ruptured ovarian cystic teratoma in pregnancy with diffuse peritoneal reaction mimicking advanced ovarian malignancy: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 1,"Histological slide showing lining of the cyst, skin and adipose tissue confirming the diagnosis of a dermoid cyst.",1752-1947-2-203-1
18549490,PMC2435545,Ruptured ovarian cystic teratoma in pregnancy with diffuse peritoneal reaction mimicking advanced ovarian malignancy: a case report.,J Med Case Rep,2023-12-17-22-02-45,Figure 2,Histological slide showing chronic granulomatous reaction.,1752-1947-2-203-2
