pmid,pmcid,title,journal,insert_time
22847035,PMC3661046,Microcystic adnexal carcinoma of the upper lip misdiagnosed benign desmoplastic trichoepithelioma.,Oral Maxillofac Surg,2023-12-17-22-03-23
23716857,PMC3657267,A case of desmoplastic trichoepithelioma with ossification.,Indian J Dermatol,2023-12-17-22-03-23
27274652,PMC4884730,A Case of Multiple Desmoplastic Trichoepithelioma.,Ann Dermatol,2023-12-17-22-03-23
28913219,PMC5556795,Microcystic Adnexal Carcinoma Misdiagnosed as Desmoplastic Trichoepithelioma on Preoperative Biopsy.,Arch Craniofac Surg,2023-12-17-22-03-23
29118524,PMC5655628,Collision Tumor between Trichofolliculoma and Melanocytic Nevus.,Int J Trichology,2023-12-17-22-03-23
29928202,PMC6006647,Basal Cell Carcinoma Mimicking Desmoplastic Trichoepithelioma: A Case with Correlation of Dermoscopy and Histology.,Case Rep Dermatol,2023-12-17-22-03-23
32490104,PMC7256221,Collision tumor of microcystic adnexal carcinoma and squamous cell carcinoma discovered on Mohs sections.,JAAD Case Rep,2023-12-17-22-03-23
32923292,PMC7486105,Desmoplastic Trichoepithelioma: Histopathologic and Immunohistochemical Criteria for Differentiation of a Rare Benign Hair Follicle Tumor From Other Cutaneous Adnexal Tumors.,Cureus,2023-12-17-22-03-23
35283517,PMC8906298,Morpheaform Basal Cell Carcinoma Masquerading as Desmoplastic Trichoepithelioma in a Young Patient.,Indian J Dermatol,2023-12-17-22-03-23
36010957,PMC9406107,Significance of Dermoscopy in Association with Clinical Features in Differentiation of Basal Cell Carcinoma and Benign Trichoblastic Tumours.,Cancers (Basel),2023-12-17-22-03-23
36865851,PMC9971801,A Case of Desmoplastic Trichoepithelioma with a New Dermoscopy Finding.,Indian J Dermatol,2023-12-17-22-03-23
